id_restaurant,label,food_type,city,rest_county,rest_region,street_num,street_name,review
114,lyons restaurant,american,newark,alameda county,bay area,5989,mowry ave,2.3
115,red robin international inc,american,newark,alameda county,bay area,1031,newpark mall,2
116,carrows hickory chip restauran,american,oakland,alameda county,bay area,405,hegenberger rd,2
117,crogan's montclair,american,oakland,alameda county,bay area,1300,clay st ste 600,2.7
118,denny's restaurant,american,oakland,alameda county,bay area,1000,cotton st,2
119,denny's restaurant 296,american,oakland,alameda county,bay area,601,hegenberger rd,2
120,family affair,american,oakland,alameda county,bay area,1620,chestnut st,2
121,g gs family restaurant,american,oakland,alameda county,bay area,3017,san pablo ave,2
122,garys grill & bar,american,oakland,alameda county,bay area,6118,medau pl,2.7
123,golden bull restaurant,american,oakland,alameda county,bay area,412,14th st,2
124,grand oaks restaurant,american,oakland,alameda county,bay area,3701,grand ave,2
125,hunan restaurant,american,oakland,alameda county,bay area,1916,franklin st,2
126,hungry hunter,american,oakland,alameda county,bay area,1211,embarcadero,2
127,hungry hunter,american,oakland,alameda county,bay area,8475,edes ave,2
128,ike's rotisserie,american,oakland,alameda county,bay area,3859,piedmont ave,2.7
129,jack's restaurant & bar,american,oakland,alameda county,bay area,1,broadway,2.7
130,l j quinn's lighthouse,american,oakland,alameda county,bay area,51,embarcadero cv,2.3
131,mac's bar & grill,american,oakland,alameda county,bay area,495,embarcadero,2.3
132,montclair restaurant,american,oakland,alameda county,bay area,2477,monterey blvd,2
133,overland house grill,american,oakland,alameda county,bay area,101,broadway,2
134,soul brothers kitchen,american,oakland,alameda county,bay area,5239,telegraph ave,2
135,cookbook restaurant,american,palo alto,santa clara county,bay area,127,town and country vlg,3
136,left at albuquerque,american,palo alto,santa clara county,bay area,445,emerson st.,3
137,macarthur park restaurant,american,palo alto,santa clara county,bay area,27,university ave,2.4
138,peninsula fountain,american,palo alto,santa clara county,bay area,556,emerson,2.6
139,q cafe billiards,american,palo alto,santa clara county,bay area,529,alma st.,2.5
140,stars palo alto,american,palo alto,santa clara county,bay area,265,lytton ave,2.6
141,sundance mine company,american,palo alto,santa clara county,bay area,1921,el camino real,3.5
142,the good earth,american,palo alto,santa clara county,bay area,185,university ave,2.2
143,webster grill,american,piedmont,alameda county,bay area,34,dormidera ave,2
144,the persimmon tree restraunt,american,pinole,contra costa county,bay area,2454,san pablo ave,2.7
145,tommy's,american,pinole,contra costa county,bay area,2400,san pablo ave,2
146,snooker pete's bar & grill,american,pittsburg,contra costa county,bay area,3788,railroad,2
147,coco's 63 walnut creek,american,pleasant hill,contra costa county,bay area,3200,buskirk ave,2
148,denny's restaurant 162,american,pleasant hill,contra costa county,bay area,612,contra costa blvd,2
149,jojo's restaurant,american,pleasant hill,contra costa county,bay area,624,contra costa blvd,2
150,lyons restaurant,american,pleasant hill,contra costa county,bay area,2059,contra costa blvd,2
151,chili's,american,pleasanton,alameda county,bay area,4801,hopyard rd,3
152,denny's,american,pleasanton,alameda county,bay area,6455,owens dr,2
153,hungry hunter,american,pleasanton,alameda county,bay area,6464,owens dr,3.4
154,lyons restaurant,american,pleasanton,alameda county,bay area,4887,hopyard rd,2
155,velvet turtle,american,pleasanton,alameda county,bay area,5121,hopyard rd,2
156,big boy,american,richmond,contra costa county,bay area,12976,san pablo ave,2
157,edie's cafe,american,richmond,contra costa county,bay area,145,tweksbury ave.,2
158,general store at marina bay,american,richmond,contra costa county,bay area,1950,esplanade,2
159,great american hamburger & pie co.,american,richmond,contra costa county,bay area,35,e. richmond ave.,2
160,little louie's,american,richmond,contra costa county,bay area,49,washington ave.,2.5
161,hungry hunter,american,south san francisco,san mateo county,bay area,180,s airport blvd,2
162,cheri's a family restaurant,american,saint helena,napa county,napa valley,641,main st,2
163,spring street restaurant,american,saint helena,napa county,napa valley,1245,spring st,2.7
164,chuck e cheeses,american,san bruno,san mateo county,bay area,1270,el camino real # 1272,2
165,t g i  fridays,american,san bruno,san mateo county,bay area,1250,grundy ln,2.3
166,tgi fridays,american,san bruno,san mateo county,bay area,1250,grundy ln,2
167,amazing grace vegetarian restaurant,american,san francisco,san francisco county,bay area,216,church,2
168,bullshead restaurant,american,san francisco,san francisco county,bay area,840,ulloa,3.9
169,cafe 222,american,san francisco,san francisco county,bay area,222,mason,2.3
170,ella's restaurant,american,san francisco,san francisco county,bay area,500,presidion avenue,3.4
171,fairmont crown buffet,american,san francisco,san francisco county,bay area,NULL,the fairmont,3
172,fog city diner,american,san francisco,san francisco county,bay area,1300,battery st,3.1
173,harpoon louie's,american,san francisco,san francisco county,bay area,55,stevenson,2.3
174,harris' restaurant,american,san francisco,san francisco county,bay area,2100,van ness avenue,3.2
175,huckleberry finn restaurant,american,san francisco,san francisco county,bay area,339,"taylor, steak, prime rib",2
176,izzy's steaks & chops,american,san francisco,san francisco county,bay area,3349,steiner,4
177,joe's cable car restaurant,american,san francisco,san francisco county,bay area,4320,mission,3.3
178,lasavane west african restaurant & bar,american,san francisco,san francisco county,bay area,96,mc allister,2
179,m & m tavern,american,san francisco,san francisco county,bay area,198,5th,2
180,macarthur park restaurant,american,san francisco,san francisco county,bay area,607,front,3
181,perry's,american,san francisco,san francisco county,bay area,1944,union,3
182,sabella & la torre,american,san francisco,san francisco county,bay area,NULL,wharf,2.7
183,sugar broiler,american,san francisco,san francisco county,bay area,2197,fillmore,2
184,up & down club,american,san francisco,san francisco county,bay area,1151,folsom,3.3
185,vince'south san francisco,american,san francisco,san francisco county,bay area,395,hayes,2
186,broilerworks retaurants ltd,american,san jose,santa clara county,bay area,150,s 1st st,2
187,california kitchen,american,san jose,santa clara county,bay area,150,s 1st st ste 111,2
188,coco's,american,san jose,santa clara county,bay area,1753,n 1st st,2
189,enio's family restaurant,american,san jose,santa clara county,bay area,2820,s white rd,2
190,hobee's montague exp,american,san jose,santa clara county,bay area,NULL,exp/riveroaks,2.3
191,hungry hunter,american,san jose,santa clara county,bay area,1051,blossom hill rd,2.9
192,jim's family restaurant,american,san jose,santa clara county,bay area,3758,stevens creek blvd # 9,2
193,marie callender's,american,san jose,santa clara county,bay area,620,blossom hill rd,2
194,marie callender's pie shop,american,san jose,santa clara county,bay area,780,s winchester blvd,2.3
195,marie callenders,american,san jose,santa clara county,bay area,2831,meridian ave,2.3
196,marriott family restaurants,american,san jose,santa clara county,bay area,981,blossom hill rd,2
197,carrows hickory chip restauran,american,san leandro,alameda county,bay area,15011,hesperian blvd,2
198,denny's restaurant,american,san leandro,alameda county,bay area,1803,marina blvd,2
199,denny's restaurant,american,san leandro,alameda county,bay area,15015,freedom ave,2
200,lyons restaurant,american,san leandro,alameda county,bay area,201,davis st,2
201,nicks family restaurant,american,san leandro,alameda county,bay area,14660,washington ave,2.7
202,california kitchen,american,san mateo,san mateo county,bay area,105,w 25th ave,2
203,t g i  fridays,american,san mateo,san mateo county,bay area,3101,s el camino real,2.3
204,friday's of california,american,san ramon,contra costa county,bay area,2410,san ramon valley blvd #130,2
205,mudd's,american,san ramon,contra costa county,bay area,10,boardwalk pl,3.8
206,t g i  fridays,american,san ramon,contra costa county,bay area,2410,san ramon valley blvd #130,2.3
207,tommy t's,american,san ramon,contra costa county,bay area,2410,san ramon valley blvd,2.3
208,marriott family restaurants,american,santa clara,santa clara county,bay area,2570,el camino real,2
209,mcneils bar & grill,american,santa clara,santa clara county,bay area,2886,sycamore way,2
210,the good earth,american,santa clara,santa clara county,bay area,2705,the alameda,2
211,petes family restaurant,american,santa cruz,santa cruz county,bay area,2018,mission st,2
212,pontiac grill,american,santa cruz,santa cruz county,bay area,429,front st,2.4
213,mikayla at c.madrona,american,sausalito,unknown,bay area,801,bridgeway,3.4
214,denny's,american,suisun city,solano county,bay area,1879,rockville rd,2
215,golden grill restaurant,american,suisun city,solano county,bay area,108,g sunset shopping center,2
216,mullins pub & grill,american,suisun city,solano county,bay area,603,& 605 main st,2.3
217,country gourmet &,american,sunnyvale,santa clara county,bay area,1314,s mary ave,3
218,silver spoon cafe,american,sunnyvale,santa clara county,bay area,122,s. sunnyvale ave.,2
219,silver spoon cafe,american,sunnyvale,santa clara county,bay area,122,s. sunnyvale ave.,2
220,sunnyvale cattleman's,american,sunnyvale,santa clara county,bay area,NULL,mathilda at hwy 237,2.7
221,the silver spoon,american,sunnyvale,santa clara county,bay area,122,s. sunnyvale ave.,2
222,carrows hickory chip restauran,american,union city,alameda county,bay area,34396,alvarado niles rd,2
223,zaida's filipino-american cuis,american,union city,alameda county,bay area,31860,alvarado blvd,2
224,denny's restaurant,american,vallejo,solano county,bay area,4355,sonoma blvd,2
225,denny's restaurant,american,vallejo,solano county,bay area,250,fairgrounds dr,2
226,jamerican cuisine,american,vallejo,solano county,bay area,730,lincoln rd e,2
227,lyons restaurant,american,vallejo,solano county,bay area,980,admiral callaghan ln,2
228,rod's hickory pit restaurant,american,vallejo,solano county,bay area,199,lincoln rd w,2
229,tommy's,american,vallejo,solano county,bay area,950,sherwood ave,2
230,western restaurant,american,vallejo,solano county,bay area,44,admiral callaghan ln,2
231,abernathy's restaurant,american,walnut creek,contra costa county,bay area,1411,locust st,2
232,buttercup kitchen,american,walnut creek,contra costa county,bay area,2387,n main st,2.3
233,copper skillet,american,walnut creek,contra costa county,bay area,700,bancroft rd,2
234,crogan's bar & grill,american,walnut creek,contra costa county,bay area,1387,locust st,2.3
235,denny's restaurant,american,walnut creek,contra costa county,bay area,660,ygnacio valley rd,2
236,lyons restaurant,american,walnut creek,contra costa county,bay area,1750,n main st,1.7
237,marie callenders-walnut creek,american,walnut creek,contra costa county,bay area,1101,s california blvd,2
238,vic stewarts,american,walnut creek,contra costa county,bay area,850,s brd,2.5
239,yountville bar & grill,american,yountville,napa county,napa valley,6510,washington st,2
240,barbary coast,american,san francisco,san francisco county,bay area,215,west portal avenue,2.8
241,california cafe,american,los gatos,santa clara county,bay area,NULL,NULL,3.6
242,hawthorne lane,american,san francisco,san francisco county,bay area,22,hawthorne st,4.3
243,boulevard,american,san francisco,san francisco county,bay area,1,mission st,4
244,tgi fridays,american,oakland,alameda county,bay area,NULL,london square,1.5
245,gate five,american,sausalito,unknown,bay area,305,harbor dr.,2.8
246,cacti bar and mesquite grill,american,novato,marin county,bay area,1200,grant avenue,3.3
247,lark creek cafe,american,walnut creek,contra costa county,bay area,1360,locust st,3.1
248,the house,american,san francisco,san francisco county,bay area,1230,grant ave.,3.9
249,sylvia's country kitchen,american,antioch,contra costa county,bay area,2799,lone tree way,2.7
250,spurs,american,byron,unknown,bay area,NULL,st,2.5
251,baker's square,american,napa,napa county,napa valley,303,soscol ave,2
252,bakers square restaurant & pie shop,american,rohnert park,sonoma county,bay area,301,rohnert park expy w,2
253,bakers square restaurant & pie shop,american,santa rosa,sonoma county,bay area,1350,farmers ln,1.7
254,checkers pizza & frozen yogurt,american,santa rosa,sonoma county,bay area,NULL,NULL,2
255,marios family restaurant,american,santa rosa,sonoma county,bay area,1901,mendocino ave,2
256,union hotel restaurant,american,sebastopol,sonoma county,bay area,3703,main,2
257,bakers square restaurant & pie,american,san francisco,san francisco county,bay area,2353,lombard st,2
258,bakers square restaurant & pies,american,san bruno,san mateo county,bay area,2010,rollingwood drive,3
259,dunville market,american,hollister,san benito county,northern california,5970,san felipe rd,2.7
260,flames,american,san jose,santa clara county,bay area,NULL,teresa and bernal,2.3
261,birk's,american,santa clara,santa clara county,bay area,3955,freedom circle,2.3
262,mixx-an american bistro,american,santa rosa,sonoma county,bay area,NULL,NULL,2.8
263,empire tap room,american,palo alto,santa clara county,bay area,651,emerson st,3.1
264,94th aero squadron,american,san jose,santa clara county,bay area,1160,coleman ave.,3
265,t.g.i.friday,american,pleasanton,alameda county,bay area,NULL,rita rd.& rosewood dr.,2.8
266,applebees,american,livermore,alameda county,bay area,NULL,st,2.3
267,pleasanton hotel,american,pleasanton,alameda county,bay area,855,main st,3.5
268,sky kitchen,american,san carlos,san mateo county,bay area,620,airport drive,2
269,peggy sue's,american,san jose,santa clara county,bay area,163,w santa clara st,2
270,harbor 15,american,san rafael,marin county,bay area,NULL,drive,2
271,pearl's cafe,american,fremont,alameda county,bay area,4096,bay st,3.2
272,banta inn,american,banta,unknown,unknown,NULL,7th & west g,2
273,green mill inn,american,pengrove,sonoma county,bay area,10201,old redwood hwy,2.7
274,bagdad cafe,american,san francisco,san francisco county,bay area,NULL,corner 16th & market,3.2
275,little orphan andys,american,san francisco,san francisco county,bay area,3991,st,2.6
276,tuba garden,american,san francisco,san francisco county,bay area,3634,sacramento st. @ locust,2.3
277,sorci's restaurant,american,morgan hill,santa clara county,bay area,330,tennant station,2.5
279,tnn properties ,american,san francisco,san francisco county,bay area,340,division st,2
280,parkside restaurant,american,san francisco,san francisco county,bay area,2325,taraval st,2.7
281,ridge side cafe,american,portola valley,san mateo county,bay area,3140,alpine rd,2.7
282,kenwood restaurant & bar,american,kenwood,sonoma county,bay area,9900,sonoma hwy.,3
283,buckley lodge,american,kenwood,sonoma county,bay area,1717,adobe canyon rd,3.3
284,broiler express,american,san carlos,san mateo county,bay area,NULL,st,2.3
285,union hotel,american,benicia,solano county,bay area,NULL,st,3.4
286,planet hollywood,american,san francisco,san francisco county,bay area,NULL,square,2.3
287,harbor fifteen,american,san rafael,marin county,bay area,15,harbor st,2
288,villa coffee shop,american,san mateo,san mateo county,bay area,4000,s. el camino real,2.7
289,allied arts guild,american,menlo park,san mateo county,bay area,75,arbor rd.,2.7
290,red tractor cafe,american,oakland,alameda county,bay area,5634,college ave.,2.3
291,marie callender's restaurant & bakery,american,sunnyvale,santa clara county,bay area,751,e. el camino real,2.3
292,ricks,american,san francisco,san francisco county,bay area,1940,taraval,2.7
293,chili great chili,american,pacific grove,monterey county,monterey,620,lighthouse avenue,2
294,goodie goodie cafe,american,san francisco,san francisco county,bay area,822,irving st,2
295,bandera,american,los altos,santa clara county,bay area,NULL,antonio rd,3.6
296,sophie's cookhouse,american,san francisco,san francisco county,bay area,42,columbus ave.,2.3
297,big horn,american,san ramon,contra costa county,bay area,NULL,ramon blvd.,2.3
298,julie rings heart & soul,american,san francisco,san francisco county,bay area,1695,st @ clay,2.7
299,home plate,american,san francisco,san francisco county,bay area,2274,lombard st,3
300,brandon's of saratoga,american,saratoga,santa clara county,bay area,14515,big basin way,3.4
301,alexi's,american,san jose,santa clara county,bay area,445,blossom hill rd.,2.3
302,shelby's,american,orinda,contra costa county,bay area,2,theatre square,2
303,birks,american,santa clara,santa clara county,bay area,3955,freedom circle,2
304,julie rings heart & soul,american,san francisco,san francisco county,bay area,1695,polk st @ clay,3
305,max's opera cafe of burlingame,american,burlingame,san mateo county,bay area,1250,bayshore hwy,2.6
306,bill's cafe,american,san jose,santa clara county,bay area,1115,willow st,2.8
307,applebee's,american,gilroy,santa clara county,bay area,8200,arroyo circle,2
308,zuni cafe,american,san francisco,san francisco county,bay area,1658,market st. at franklin st.,2.3
309,friday's,american,oakland,alameda county,bay area,450,water st,2
310,jim's country style restaurant,american,pleasanton,alameda county,bay area,5400,sunol blvd,2.7
311,hobee's california restaurant,american,emeryville,alameda county,bay area,5765,christie ave.,2.3
312,lehr brothers bistro and grill,american,san francisco,san francisco county,bay area,740,sutter st,3.2
313,manka's inverness lodge,american,inverness,marin county,bay area,NULL,and callendar,3.5
314,the flying boar,american,napa,napa county,napa valley,4050,byway east,2
315,faz,american,pleasanton,alameda county,bay area,5121,hopyard rd,2
316,baker's square,american,concord,contra costa county,bay area,1680,willow pass rd,2.3
317,savoy at the boundry oak,american,walnut creek,contra costa county,bay area,3800,valley vista rd.,3
318,blue sky cafe,american,mountain view,santa clara county,bay area,336,bryant st.,3
319,country waffles,american,benicia,solano county,bay area,800,southampton rd,2.6
320,encore cafe,american,morgan hill,santa clara county,bay area,207,west main avenue,4.2
321,courtyard cafe,american,alameda,alameda county,bay area,1349,park st,2.7
322,star rockets,american,mountain view,santa clara county,bay area,550,showers dr. / walmart shopping center,2.3
323,john's grill,american,san francisco,san francisco county,bay area,63,ellis st,3.5
324,tadich grill,american,san francisco,san francisco county,bay area,240,california,2.6
325,hard rock cafe,american,san francisco,san francisco county,bay area,1699,van ness ave,2.3
326,max's opera cafe,american,san francisco,san francisco county,bay area,601,van ness ave,2.3
327,val's redwood room,american,daly city,san mateo county,bay area,2468,junipero serra bl.,2.5
328,max's opera cafe,american,walnut creek,contra costa county,bay area,1676,n. california blvd.,3.2
330,the restaurant at convict lake,american,mammoth lakes,unknown,yosemite and mono lake area,NULL,lake resort,2
331,the mogul,american,mammoth lakes,unknown,yosemite and mono lake area,1528,tavern rd,2.7
332,eugene's bay view bar and restaurant,american,larkspur,marin county,bay area,2421,larkspur landing circle,2.7
333,millie's kitchen,american,lafayette,contra costa county,bay area,NULL,NULL,2.6
334,bix,american,san francisco,san francisco county,bay area,56,gold st,3.3
335,powell's place,american,san francisco,san francisco county,bay area,511,hayes st,2.3
336,buttercup pantry,american,pleasanton,alameda county,bay area,NULL,rd. at i-580,2
337,buttercup pantry,american,pleasanton,alameda county,bay area,NULL,rd. at i-580,2.3
338,"bear republic brewing co., inc.",american,healdsburg,sonoma county,bay area,345,healdsburg avenue,2
339,mecca,american,san francisco,san francisco county,bay area,2029,market st,3.3
340,alex's restaurant & pub,american,calistoga,napa county,napa valley,1437,lincoln ave.,2
341,sneakers pub & grill,american,san carlos,san mateo county,bay area,1163,san carlos ave,3.3
342,cinnabar,american,calistoga,napa county,napa valley,1440,lincoln ave.,2
343,mimi's cafe,american,san jose,santa clara county,bay area,1200,el paseo de saratoga,2.7
344,del monte express,american,monterey,monterey county,monterey,2329,n. fremont,2
345,crescent park grill,american,palo alto,santa clara county,bay area,546,university ave.,2.7
346,caprices restaurant & cafe,american,burlingame,san mateo county,bay area,347,primrose rd,2.7
347,chili's grill & bar,american,san bruno,san mateo county,bay area,899,el camino real,2
348,meharry's,american,san francisco,san francisco county,bay area,1200,6th. st,2
349,two fools cafe & market,american,half moon bay,san mateo county,bay area,408,main st,2.6
350,tradewinds,american,fort bragg,mendocino county,northern california,400,s. main st. (highway one),2.5
351,elephant bar,american,burlingame,san mateo county,bay area,1600,old bayshore highway,2.3
352,claim jumper,american,concord,contra costa county,bay area,1981,diamond blvd.,2.7
353,the montclair eggshop,american,oakland,alameda county,bay area,6126,medaue place,2.3
354,cameron's restaurant and inn,american,half moon bay,san mateo county,bay area,1410,s. cabrillo hwy.,2
355,swan court cafe,american,milpitas,santa clara county,bay area,NULL,blvd,2
356,the hog's breath inn,american,carmel,monterey county,monterey,NULL,NULL,2.7
357,mission ranch,american,carmel,monterey county,monterey,26270,dolores,2.7
358,elysium cafe,american,san francisco,san francisco county,bay area,2434,mission st,3.6
359,spoons restaurant,arabic,fremont,alameda county,bay area,3340,mowry ave,2.9
360,noor's cafe,arabic,san francisco,san francisco county,bay area,1919,ocean avenue,2
361,pasha,arabic,san francisco,san francisco county,bay area,1516,broadway,2.1
362,the grapeleaf restaurant,arabic,san francisco,san francisco county,bay area,4031,balboa,3
363,sunrise deli,arabic,san francisco,san francisco county,bay area,2115,irving st,2.7
364,the armenian gourmet,armenian,sunnyvale,santa clara county,bay area,929,e duane ave,3.4
