id,atom_id,molecule_id,type,fpk_molecule_id
315,i103_23_1_23_2i,i103_23_1i,h,13
316,i103_23_1_24i,i103_23_1i,c,13
317,i103_23_1_24_1i,i103_23_1i,h,13
318,i103_23_1_24_2i,i103_23_1i,h,13
319,i103_23_1_24_3i,i103_23_1i,h,13
320,i103_23_1_25i,i103_23_1i,c,13
321,i103_23_1_25_1i,i103_23_1i,h,13
322,i103_23_1_25_2i,i103_23_1i,h,13
323,i103_23_1_26i,i103_23_1i,c,13
324,i103_23_1_26_1i,i103_23_1i,h,13
325,i103_23_1_26_2i,i103_23_1i,h,13
326,i103_23_1_26_3i,i103_23_1i,h,13
327,i103_23_1_2i,i103_23_1i,c,13
328,i103_23_1_3i,i103_23_1i,o,13
329,i103_23_1_4i,i103_23_1i,c,13
330,i103_23_1_4_1i,i103_23_1i,h,13
331,i103_23_1_4_2i,i103_23_1i,h,13
332,i103_23_1_5i,i103_23_1i,c,13
333,i103_23_1_5_1i,i103_23_1i,h,13
334,i103_23_1_6i,i103_23_1i,c,13
335,i103_23_1_6_1i,i103_23_1i,h,13
336,i103_23_1_6_2i,i103_23_1i,h,13
337,i103_23_1_7i,i103_23_1i,c,13
338,i103_23_1_7_1i,i103_23_1i,h,13
339,i103_23_1_7_2i,i103_23_1i,h,13
340,i103_23_1_8i,i103_23_1i,c,13
341,i103_23_1_8_1i,i103_23_1i,h,13
342,i103_23_1_8_2i,i103_23_1i,h,13
343,i103_23_1_9i,i103_23_1i,c,13
344,i103_23_1_9_1i,i103_23_1i,h,13
345,i103_23_1_9_2i,i103_23_1i,h,13
346,i103_23_1_9_3i,i103_23_1i,h,13
347,i104_94_9_1i,i104_94_9i,o,14
348,i104_94_9_2i,i104_94_9i,c,14
349,i104_94_9_3i,i104_94_9i,c,14
350,i104_94_9_3_1i,i104_94_9i,h,14
351,i104_94_9_4i,i104_94_9i,c,14
352,i104_94_9_4_1i,i104_94_9i,h,14
353,i104_94_9_5i,i104_94_9i,c,14
354,i104_94_9_6i,i104_94_9i,n,14
355,i104_94_9_6_1i,i104_94_9i,h,14
356,i104_94_9_6_2i,i104_94_9i,h,14
357,i104_94_9_7i,i104_94_9i,c,14
358,i104_94_9_7_1i,i104_94_9i,h,14
359,i104_94_9_8i,i104_94_9i,c,14
360,i104_94_9_8_1i,i104_94_9i,h,14
361,i104_94_9_9i,i104_94_9i,c,14
362,i104_94_9_9_1i,i104_94_9i,h,14
363,i104_94_9_9_2i,i104_94_9i,h,14
364,i104_94_9_9_3i,i104_94_9i,h,14
365,i105_67_9_1i,i105_67_9i,o,15
366,i105_67_9_1_1i,i105_67_9i,h,15
367,i105_67_9_2i,i105_67_9i,c,15
368,i105_67_9_3i,i105_67_9i,c,15
369,i105_67_9_4i,i105_67_9i,c,15
370,i105_67_9_4_1i,i105_67_9i,h,15
371,i105_67_9_5i,i105_67_9i,c,15
372,i105_67_9_6i,i105_67_9i,c,15
373,i105_67_9_6_1i,i105_67_9i,h,15
374,i105_67_9_7i,i105_67_9i,c,15
375,i105_67_9_7_1i,i105_67_9i,h,15
376,i105_67_9_7_2i,i105_67_9i,h,15
377,i105_67_9_7_3i,i105_67_9i,h,15
378,i105_67_9_8i,i105_67_9i,c,15
379,i105_67_9_8_1i,i105_67_9i,h,15
380,i105_67_9_8_2i,i105_67_9i,h,15
381,i105_67_9_8_3i,i105_67_9i,h,15
382,i105_67_9_9i,i105_67_9i,c,15
383,i105_67_9_9_1i,i105_67_9i,h,15
384,i106_42_3_1i,i106_42_3i,c,16
385,i106_42_3_2i,i106_42_3i,c,16
386,i106_42_3_2_1i,i106_42_3i,h,16
387,i106_42_3_3i,i106_42_3i,c,16
388,i106_42_3_3_1i,i106_42_3i,h,16
389,i106_42_3_4i,i106_42_3i,c,16
390,i106_42_3_5i,i106_42_3i,c,16
391,i106_42_3_5_1i,i106_42_3i,h,16
392,i106_42_3_6i,i106_42_3i,c,16
393,i106_42_3_6_1i,i106_42_3i,h,16
394,i106_42_3_6_2i,i106_42_3i,h,16
395,i106_42_3_6_3i,i106_42_3i,h,16
396,i106_42_3_7i,i106_42_3i,c,16
397,i106_42_3_7_1i,i106_42_3i,h,16
398,i106_42_3_8i,i106_42_3i,c,16
399,i106_42_3_8_1i,i106_42_3i,h,16
400,i106_42_3_8_2i,i106_42_3i,h,16
401,i106_42_3_8_3i,i106_42_3i,h,16
402,i106_44_5_1i,i106_44_5i,o,17
403,i106_44_5_1_1i,i106_44_5i,h,17
404,i106_44_5_2i,i106_44_5i,c,17
405,i106_44_5_3i,i106_44_5i,c,17
406,i106_44_5_3_1i,i106_44_5i,h,17
407,i106_44_5_4i,i106_44_5i,c,17
408,i106_44_5_4_1i,i106_44_5i,h,17
409,i106_44_5_5i,i106_44_5i,c,17
410,i106_44_5_6i,i106_44_5i,c,17
411,i106_44_5_6_1i,i106_44_5i,h,17
412,i106_44_5_7i,i106_44_5i,c,17
413,i106_44_5_7_1i,i106_44_5i,h,17
414,i106_44_5_7_2i,i106_44_5i,h,17
415,i106_44_5_7_3i,i106_44_5i,h,17
416,i106_44_5_8i,i106_44_5i,c,17
417,i106_44_5_8_1i,i106_44_5i,h,17
418,i106_46_7_1i,i106_46_7i,c,18
419,i106_46_7_2i,i106_46_7i,c,18
420,i106_46_7_2_1i,i106_46_7i,h,18
421,i106_46_7_3i,i106_46_7i,c,18
422,i106_46_7_3_1i,i106_46_7i,h,18
423,i106_46_7_4i,i106_46_7i,c,18
424,i106_46_7_5i,i106_46_7i,c,18
425,i106_46_7_5_1i,i106_46_7i,h,18
426,i106_46_7_6i,i106_46_7i,cl,18
427,i106_46_7_7i,i106_46_7i,c,18
428,i106_46_7_7_1i,i106_46_7i,h,18
429,i106_46_7_8i,i106_46_7i,cl,18
430,i106_50_3_1i,i106_50_3i,n,19
431,i106_50_3_1_1i,i106_50_3i,h,19
432,i106_50_3_1_2i,i106_50_3i,h,19
433,i106_50_3_2i,i106_50_3i,c,19
434,i106_50_3_3i,i106_50_3i,c,19
435,i106_50_3_3_1i,i106_50_3i,h,19
436,i106_50_3_4i,i106_50_3i,c,19
437,i106_50_3_4_1i,i106_50_3i,h,19
438,i106_50_3_5i,i106_50_3i,c,19
439,i106_50_3_6i,i106_50_3i,n,19
440,i106_50_3_6_1i,i106_50_3i,h,19
441,i106_50_3_6_2i,i106_50_3i,h,19
442,i106_50_3_7i,i106_50_3i,c,19
443,i106_50_3_7_1i,i106_50_3i,h,19
444,i106_50_3_8i,i106_50_3i,c,19
445,i106_50_3_8_1i,i106_50_3i,h,19
446,i106_51_4_1i,i106_51_4i,c,20
447,i106_51_4_2i,i106_51_4i,o,20
448,i106_51_4_3i,i106_51_4i,c,20
449,i106_51_4_3_1i,i106_51_4i,h,20
450,i106_51_4_4i,i106_51_4i,c,20
451,i106_51_4_4_1i,i106_51_4i,h,20
452,i106_51_4_5i,i106_51_4i,c,20
453,i106_51_4_6i,i106_51_4i,o,20
454,i106_51_4_7i,i106_51_4i,c,20
455,i106_51_4_7_1i,i106_51_4i,h,20
456,i106_51_4_8i,i106_51_4i,c,20
457,i106_51_4_8_1i,i106_51_4i,h,20
458,i106_88_7_1i,i106_88_7i,o,21
459,i106_88_7_2i,i106_88_7i,c,21
460,i106_88_7_2_1i,i106_88_7i,h,21
461,i106_88_7_3i,i106_88_7i,c,21
462,i106_88_7_3_1i,i106_88_7i,h,21
463,i106_88_7_3_2i,i106_88_7i,h,21
464,i106_88_7_4i,i106_88_7i,c,21
465,i106_88_7_4_1i,i106_88_7i,h,21
466,i106_88_7_4_2i,i106_88_7i,h,21
467,i106_88_7_4_3i,i106_88_7i,h,21
468,i106_88_7_5i,i106_88_7i,c,21
469,i106_88_7_5_1i,i106_88_7i,h,21
470,i106_88_7_5_2i,i106_88_7i,h,21
471,i106_89_8_1i,i106_89_8i,o,22
472,i106_89_8_2i,i106_89_8i,c,22
473,i106_89_8_2_1i,i106_89_8i,h,22
474,i106_89_8_3i,i106_89_8i,c,22
475,i106_89_8_3_1i,i106_89_8i,h,22
476,i106_89_8_3_2i,i106_89_8i,h,22
477,i106_89_8_4i,i106_89_8i,cl,22
478,i106_89_8_5i,i106_89_8i,c,22
479,i106_89_8_5_1i,i106_89_8i,h,22
480,i106_89_8_5_2i,i106_89_8i,h,22
481,i106_93_4_1i,i106_93_4i,br,23
482,i106_93_4_1_1i,i106_93_4i,h,23
483,i106_93_4_1_2i,i106_93_4i,h,23
484,i106_93_4_1_3i,i106_93_4i,h,23
485,i106_93_4_1_4i,i106_93_4i,h,23
486,i106_93_4_1_5i,i106_93_4i,h,23
487,i106_93_4_1_6i,i106_93_4i,h,23
488,i106_93_4_2i,i106_93_4i,c,23
489,i106_93_4_2_1i,i106_93_4i,h,23
490,i106_93_4_2_2i,i106_93_4i,h,23
491,i106_93_4_3i,i106_93_4i,c,23
492,i106_93_4_3_1i,i106_93_4i,h,23
493,i106_93_4_3_2i,i106_93_4i,h,23
494,i106_93_4_4i,i106_93_4i,br,23
495,i106_93_4_4_1i,i106_93_4i,h,23
496,i106_93_4_4_2i,i106_93_4i,h,23
497,i106_93_4_4_3i,i106_93_4i,h,23
498,i106_93_4_4_4i,i106_93_4i,h,23
499,i106_93_4_4_5i,i106_93_4i,h,23
500,i106_93_4_4_6i,i106_93_4i,h,23
501,i106_99_0_1i,i106_99_0i,c,24
502,i106_99_0_1_1i,i106_99_0i,h,24
503,i106_99_0_2i,i106_99_0i,c,24
504,i106_99_0_2_1i,i106_99_0i,h,24
505,i106_99_0_3i,i106_99_0i,c,24
506,i106_99_0_3_1i,i106_99_0i,h,24
507,i106_99_0_3_2i,i106_99_0i,h,24
508,i106_99_0_4i,i106_99_0i,c,24
509,i106_99_0_4_1i,i106_99_0i,h,24
510,i106_99_0_4_2i,i106_99_0i,h,24
511,i107_02_8_1i,i107_02_8i,o,25
512,i107_02_8_2i,i107_02_8i,c,25
513,i107_02_8_2_1i,i107_02_8i,h,25
514,i107_02_8_3i,i107_02_8i,c,25
515,i107_02_8_3_1i,i107_02_8i,h,25
516,i107_02_8_4i,i107_02_8i,c,25
517,i107_02_8_4_1i,i107_02_8i,h,25
518,i107_02_8_4_2i,i107_02_8i,h,25
519,i107_05_1_1i,i107_05_1i,c,26
520,i107_05_1_1_1i,i107_05_1i,h,26
521,i107_05_1_2i,i107_05_1i,c,26
522,i107_05_1_2_1i,i107_05_1i,h,26
523,i107_05_1_2_2i,i107_05_1i,h,26
524,i107_05_1_3i,i107_05_1i,c,26
525,i107_05_1_3_1i,i107_05_1i,h,26
526,i107_05_1_3_2i,i107_05_1i,h,26
527,i107_05_1_4i,i107_05_1i,cl,26
528,i107_06_2_1i,i107_06_2i,cl,27
529,i107_06_2_2i,i107_06_2i,c,27
530,i107_06_2_2_1i,i107_06_2i,h,27
531,i107_06_2_2_2i,i107_06_2i,h,27
532,i107_06_2_3i,i107_06_2i,c,27
533,i107_06_2_3_1i,i107_06_2i,h,27
534,i107_06_2_3_2i,i107_06_2i,h,27
535,i107_06_2_4i,i107_06_2i,cl,27
536,i107_13_1_1i,i107_13_1i,n,28
537,i107_13_1_2i,i107_13_1i,c,28
538,i107_13_1_3i,i107_13_1i,c,28
539,i107_13_1_3_1i,i107_13_1i,h,28
540,i107_13_1_4i,i107_13_1i,c,28
541,i107_13_1_4_1i,i107_13_1i,h,28
542,i107_13_1_4_2i,i107_13_1i,h,28
543,i107_18_6_1i,i107_18_6i,o,29
544,i107_18_6_1_1i,i107_18_6i,h,29
545,i107_18_6_2i,i107_18_6i,c,29
546,i107_18_6_2_1i,i107_18_6i,h,29
547,i107_18_6_2_2i,i107_18_6i,h,29
548,i107_18_6_3i,i107_18_6i,c,29
549,i107_18_6_3_1i,i107_18_6i,h,29
550,i107_18_6_4i,i107_18_6i,c,29
551,i107_18_6_4_1i,i107_18_6i,h,29
552,i107_18_6_4_2i,i107_18_6i,h,29
553,i107_21_1_1i,i107_21_1i,o,30
554,i107_21_1_1_1i,i107_21_1i,h,30
555,i107_21_1_2i,i107_21_1i,c,30
