id,group_id,type
215,g1190,benzene
216,g1191,benzene
217,g1192,benzene
218,g1193,benzene
219,g1194,benzene
220,g1195,benzene
221,g1196,benzene
222,g1197,benzene
223,g1198,benzene
224,g1199,benzene
225,g12,nitro
226,g120,methyl
227,g1200,benzene
228,g1201,benzene
229,g1202,benzene
230,g1203,benzene
231,g1204,benzene
232,g1205,benzene
233,g1206,benzene
234,g1207,benzene
235,g1208,benzene
236,g1209,benzene
237,g121,methyl
238,g1210,benzene
239,g1211,benzene
240,g1212,benzene
241,g1213,benzene
242,g1214,benzene
243,g1215,benzene
244,g1216,benzene
245,g1217,benzene
246,g1218,benzene
247,g1219,benzene
248,g122,methyl
249,g1220,benzene
250,g1221,benzene
251,g1222,benzene
252,g1223,benzene
253,g1224,benzene
254,g1225,benzene
255,g1226,benzene
256,g1227,benzene
257,g1228,benzene
258,g1229,benzene
259,g123,methyl
260,g1230,benzene
261,g1231,benzene
262,g1232,benzene
263,g1233,benzene
264,g1234,benzene
265,g1235,benzene
266,g1236,benzene
267,g1237,benzene
268,g1238,benzene
269,g1239,benzene
270,g124,methyl
271,g1240,benzene
272,g1241,benzene
273,g1242,benzene
274,g1243,benzene
275,g1244,benzene
276,g1245,benzene
277,g1246,benzene
278,g1247,benzene
279,g1248,benzene
280,g1249,benzene
281,g125,methyl
282,g1250,benzene
283,g1251,benzene
284,g1252,benzene
285,g1253,benzene
286,g1254,benzene
287,g1255,benzene
288,g1256,benzene
289,g1257,benzene
290,g1258,benzene
291,g1259,benzene
292,g126,methyl
293,g1260,benzene
294,g1261,benzene
295,g1262,benzene
296,g1263,benzene
297,g1264,benzene
298,g1265,benzene
299,g1266,benzene
300,g1267,benzene
301,g1268,benzene
302,g1269,benzene
303,g127,methyl
304,g1270,benzene
305,g1271,benzene
306,g1272,benzene
307,g1273,benzene
308,g1274,benzene
309,g1275,benzene
310,g1276,benzene
311,g1277,benzene
312,g1278,benzene
313,g1279,hetero_ar_6_ring
314,g128,methyl
315,g1280,hetero_ar_6_ring
316,g1281,hetero_ar_6_ring
317,g1282,hetero_ar_6_ring
318,g1283,hetero_ar_6_ring
319,g1284,non_ar_6c_ring
320,g1285,non_ar_6c_ring
321,g1286,non_ar_6c_ring
322,g1287,non_ar_6c_ring
323,g1288,non_ar_6c_ring
324,g1289,non_ar_6c_ring
325,g129,methyl
326,g1290,non_ar_6c_ring
327,g1291,non_ar_6c_ring
328,g1292,non_ar_6c_ring
329,g1293,non_ar_6c_ring
330,g1294,non_ar_6c_ring
331,g1295,non_ar_6c_ring
332,g1296,non_ar_6c_ring
333,g1297,non_ar_6c_ring
334,g1298,non_ar_6c_ring
335,g1299,non_ar_6c_ring
336,g13,nitro
337,g130,methyl
338,g1300,non_ar_6c_ring
339,g1301,non_ar_6c_ring
340,g1302,non_ar_6c_ring
341,g1303,non_ar_6c_ring
342,g1304,non_ar_6c_ring
343,g1305,non_ar_6c_ring
344,g1306,non_ar_6c_ring
345,g1307,non_ar_6c_ring
346,g1308,non_ar_hetero_6_ring
347,g1309,non_ar_hetero_6_ring
348,g131,methyl
349,g1310,non_ar_hetero_6_ring
350,g1311,non_ar_hetero_6_ring
351,g1312,non_ar_hetero_6_ring
352,g1313,non_ar_hetero_6_ring
353,g1314,non_ar_hetero_6_ring
354,g1315,non_ar_hetero_6_ring
355,g1316,non_ar_hetero_6_ring
356,g1317,non_ar_hetero_6_ring
357,g1318,non_ar_hetero_6_ring
358,g1319,non_ar_hetero_6_ring
359,g132,methyl
360,g1320,non_ar_hetero_6_ring
361,g1321,six_ring
362,g1322,six_ring
363,g1323,six_ring
364,g1324,six_ring
365,g1325,six_ring
366,g1326,six_ring
367,g1327,six_ring
368,g1328,six_ring
369,g1329,six_ring
370,g133,methyl
371,g1330,six_ring
372,g1331,six_ring
373,g1332,six_ring
374,g1333,six_ring
375,g1334,six_ring
376,g1335,six_ring
377,g1336,six_ring
378,g1337,six_ring
379,g1338,six_ring
380,g1339,six_ring
381,g134,methyl
382,g1340,six_ring
383,g1341,six_ring
384,g1342,six_ring
385,g1343,six_ring
386,g1344,six_ring
387,g1345,six_ring
388,g1346,six_ring
389,g1347,six_ring
390,g1348,six_ring
391,g1349,six_ring
392,g135,methyl
393,g1350,six_ring
394,g1351,six_ring
395,g1352,six_ring
396,g1353,six_ring
397,g1354,six_ring
398,g1355,six_ring
399,g1356,six_ring
400,g1357,six_ring
401,g1358,six_ring
402,g1359,six_ring
403,g136,methyl
404,g1360,six_ring
405,g1361,six_ring
406,g1362,six_ring
407,g1363,six_ring
408,g1364,six_ring
409,g1365,six_ring
410,g1366,six_ring
411,g1367,six_ring
412,g1368,six_ring
413,g1369,six_ring
414,g137,methyl
415,g1370,six_ring
416,g1371,six_ring
417,g1372,six_ring
418,g1373,six_ring
419,g1374,six_ring
420,g1375,six_ring
421,g1376,six_ring
422,g1377,six_ring
423,g1378,six_ring
424,g1379,six_ring
425,g138,methyl
426,g1380,six_ring
427,g1381,six_ring
428,g1382,six_ring
429,g1383,six_ring
430,g1384,six_ring
431,g1385,six_ring
432,g1386,six_ring
433,g1387,six_ring
434,g1388,six_ring
435,g1389,six_ring
436,g139,methyl
437,g1390,six_ring
438,g1391,six_ring
439,g1392,six_ring
440,g1393,six_ring
441,g1394,six_ring
442,g1395,six_ring
443,g1396,six_ring
444,g1397,six_ring
445,g1398,six_ring
446,g1399,six_ring
447,g14,nitro
448,g140,methyl
449,g1400,six_ring
450,g1401,six_ring
451,g1402,six_ring
452,g1403,six_ring
453,g1404,six_ring
454,g1405,six_ring
455,g1406,six_ring
456,g1407,six_ring
457,g1408,six_ring
458,g1409,six_ring
459,g141,methyl
460,g1410,six_ring
461,g1411,six_ring
462,g1412,six_ring
463,g1413,six_ring
464,g1414,six_ring
465,g1415,six_ring
466,g1416,six_ring
467,g1417,six_ring
468,g1418,six_ring
469,g1419,six_ring
470,g142,methyl
471,g1420,six_ring
472,g1421,six_ring
473,g1422,six_ring
474,g1423,six_ring
475,g1424,six_ring
476,g1425,six_ring
477,g1426,six_ring
478,g1427,six_ring
479,g1428,six_ring
480,g1429,six_ring
481,g143,methyl
482,g1430,six_ring
483,g1431,six_ring
484,g1432,six_ring
485,g1433,six_ring
486,g1434,six_ring
487,g1435,six_ring
488,g1436,six_ring
489,g1437,six_ring
490,g1438,six_ring
491,g1439,six_ring
492,g144,methyl
493,g1440,six_ring
494,g1441,six_ring
495,g1442,six_ring
496,g1443,six_ring
497,g1444,six_ring
498,g1445,six_ring
499,g1446,six_ring
500,g1447,six_ring
501,g1448,six_ring
502,g1449,six_ring
503,g145,methyl
504,g1450,six_ring
505,g1451,six_ring
506,g1452,six_ring
507,g1453,six_ring
508,g1454,six_ring
509,g1455,six_ring
510,g1456,six_ring
511,g1457,six_ring
512,g1458,six_ring
513,g1459,six_ring
514,g146,methyl
515,g1460,six_ring
516,g1461,six_ring
517,g1462,six_ring
518,g1463,six_ring
519,g1464,six_ring
520,g1465,six_ring
521,g1466,six_ring
522,g1467,six_ring
523,g1468,six_ring
524,g1469,six_ring
525,g147,methyl
526,g1470,six_ring
527,g1471,six_ring
528,g1472,six_ring
529,g1473,six_ring
530,g1474,six_ring
531,g1475,six_ring
532,g1476,six_ring
533,g1477,six_ring
534,g1478,six_ring
535,g1479,six_ring
536,g148,methyl
537,g1480,six_ring
538,g1481,six_ring
539,g1482,six_ring
540,g1483,six_ring
541,g1484,six_ring
542,g1485,six_ring
543,g1486,six_ring
544,g1487,six_ring
545,g1488,six_ring
546,g1489,six_ring
547,g149,methyl
548,g1490,six_ring
549,g1491,six_ring
550,g1492,six_ring
551,g1493,six_ring
552,g1494,six_ring
553,g1495,six_ring
554,g1496,six_ring
555,g1497,six_ring
556,g1498,six_ring
557,g1499,six_ring
558,g15,nitro
559,g150,methyl
560,g1500,six_ring
561,g1501,six_ring
562,g1502,six_ring
563,g1503,six_ring
564,g1504,six_ring
565,g1505,six_ring
566,g1506,six_ring
567,g1507,six_ring
568,g1508,six_ring
569,g1509,six_ring
570,g151,methyl
571,g1510,six_ring
572,g1511,six_ring
573,g1512,six_ring
574,g1513,six_ring
575,g1514,six_ring
576,g1515,six_ring
577,g1516,six_ring
578,g1517,six_ring
579,g1518,six_ring
580,g1519,six_ring
581,g152,methyl
582,g1520,six_ring
583,g1521,six_ring
584,g1522,six_ring
585,g1523,six_ring
586,g1524,six_ring
587,g1525,six_ring
588,g1526,six_ring
589,g1527,six_ring
590,g1528,six_ring
591,g1529,six_ring
592,g153,methyl
593,g1530,six_ring
594,g1531,six_ring
595,g1532,six_ring
596,g1533,six_ring
597,g1534,six_ring
598,g1535,six_ring
599,g1536,six_ring
600,g1537,six_ring
601,g1538,six_ring
602,g1539,six_ring
603,g154,methyl
604,g1540,six_ring
605,g1541,six_ring
606,g1542,six_ring
607,g1543,six_ring
608,g1544,six_ring
609,g1545,six_ring
610,g1546,six_ring
611,g1547,six_ring
612,g1548,six_ring
613,g1549,six_ring
614,g155,methyl
615,g1550,six_ring
616,g1551,six_ring
617,g1552,six_ring
618,g1553,six_ring
619,g1554,six_ring
620,g1555,six_ring
621,g1556,six_ring
622,g1557,six_ring
623,g1558,six_ring
624,g1559,six_ring
625,g156,methyl
626,g1560,six_ring
627,g1561,six_ring
628,g1562,six_ring
629,g1563,six_ring
630,g1564,six_ring
631,g1565,six_ring
632,g1566,six_ring
633,g1567,six_ring
634,g1568,six_ring
635,g1569,six_ring
636,g157,methyl
637,g1570,six_ring
638,g1571,six_ring
639,g1572,six_ring
640,g1573,six_ring
641,g1574,six_ring
642,g1575,six_ring
643,g1576,six_ring
644,g1577,six_ring
645,g1578,six_ring
646,g1579,six_ring
647,g158,methyl
648,g1580,six_ring
649,g1581,six_ring
650,g1582,six_ring
651,g1583,six_ring
652,g1584,six_ring
653,g1585,six_ring
654,g1586,six_ring
655,g1587,six_ring
656,g1588,six_ring
657,g1589,six_ring
658,g159,methyl
659,g1590,six_ring
660,g1591,six_ring
661,g1592,six_ring
662,g1593,six_ring
663,g1594,six_ring
664,g1595,six_ring
665,g1596,six_ring
666,g1597,six_ring
667,g1598,six_ring
668,g1599,six_ring
669,g16,nitro
670,g160,methyl
671,g1600,six_ring
672,g1601,six_ring
673,g1602,six_ring
674,g1603,six_ring
675,g1604,six_ring
676,g1605,six_ring
677,g1606,six_ring
678,g1607,six_ring
679,g1608,six_ring
680,g1609,six_ring
681,g161,methyl
682,g1610,six_ring
683,g1611,six_ring
684,g1612,six_ring
685,g1613,six_ring
686,g1614,six_ring
687,g1615,six_ring
688,g1616,six_ring
689,g1617,six_ring
690,g1618,six_ring
691,g1619,six_ring
692,g162,methyl
693,g1620,six_ring
694,g1621,six_ring
695,g1622,six_ring
696,g1623,six_ring
697,g1624,six_ring
698,g1625,six_ring
699,g1626,six_ring
700,g1627,six_ring
701,g1628,six_ring
702,g1629,six_ring
703,g163,methyl
704,g1630,six_ring
705,g1631,six_ring
706,g1632,six_ring
707,g1633,six_ring
708,g1634,six_ring
709,g1635,six_ring
710,g1636,six_ring
711,g1637,six_ring
712,g1638,six_ring
713,g1639,carbon_5_ar_ring
714,g164,methyl
715,g1640,carbon_5_ar_ring
716,g1641,carbon_5_ar_ring
717,g1642,carbon_5_ar_ring
718,g1643,carbon_5_ar_ring
719,g1644,hetero_ar_5_ring
720,g1645,non_ar_5c_ring
721,g1646,non_ar_5c_ring
722,g1647,non_ar_5c_ring
723,g1648,non_ar_5c_ring
724,g1649,non_ar_5c_ring
725,g165,methyl
726,g1650,non_ar_5c_ring
727,g1651,non_ar_5c_ring
728,g1652,non_ar_5c_ring
729,g1653,non_ar_5c_ring
730,g1654,non_ar_5c_ring
731,g1655,non_ar_5c_ring
732,g1656,non_ar_5c_ring
733,g1657,non_ar_5c_ring
734,g1658,non_ar_5c_ring
735,g1659,non_ar_5c_ring
736,g166,methyl
737,g1660,non_ar_5c_ring
738,g1661,non_ar_5c_ring
739,g1662,non_ar_5c_ring
740,g1663,non_ar_5c_ring
741,g1664,non_ar_5c_ring
742,g1665,non_ar_5c_ring
743,g1666,non_ar_5c_ring
744,g1667,non_ar_5c_ring
745,g1668,non_ar_5c_ring
746,g1669,non_ar_5c_ring
747,g167,methyl
748,g1670,non_ar_hetero_5_ring
749,g1671,non_ar_hetero_5_ring
750,g1672,non_ar_hetero_5_ring
751,g1673,non_ar_hetero_5_ring
752,g1674,non_ar_hetero_5_ring
753,g1675,non_ar_hetero_5_ring
754,g1676,non_ar_hetero_5_ring
755,g1677,non_ar_hetero_5_ring
756,g1678,non_ar_hetero_5_ring
757,g1679,non_ar_hetero_5_ring
758,g168,methyl
759,g1680,non_ar_hetero_5_ring
760,g1681,non_ar_hetero_5_ring
761,g1682,five_ring
762,g1683,five_ring
763,g1684,five_ring
764,g1685,five_ring
765,g1686,five_ring
766,g1687,five_ring
767,g1688,five_ring
768,g1689,five_ring
769,g169,methyl
770,g1690,five_ring
771,g1691,five_ring
772,g1692,five_ring
773,g1693,five_ring
774,g1694,five_ring
775,g1695,five_ring
776,g1696,five_ring
777,g1697,five_ring
778,g1698,five_ring
779,g1699,five_ring
780,g17,nitro
781,g170,methyl
782,g1700,five_ring
783,g1701,five_ring
784,g1702,five_ring
785,g1703,five_ring
786,g1704,five_ring
787,g1705,five_ring
788,g1706,five_ring
789,g1707,five_ring
790,g1708,five_ring
791,g1709,five_ring
792,g171,methyl
793,g1710,five_ring
794,g1711,five_ring
795,g1712,five_ring
796,g1713,five_ring
797,g1714,five_ring
798,g1715,five_ring
799,g1716,five_ring
800,g1717,five_ring
801,g1718,five_ring
802,g1719,five_ring
803,g172,methyl
804,g1720,five_ring
805,g1721,five_ring
806,g1722,five_ring
807,g1723,five_ring
808,g1724,five_ring
809,g1725,five_ring
810,g1726,five_ring
811,g1727,five_ring
812,g1728,five_ring
813,g1729,five_ring
814,g173,methyl
815,g1730,five_ring
816,g1731,five_ring
817,g1732,five_ring
818,g1733,five_ring
819,g1734,five_ring
820,g1735,five_ring
821,g174,methyl
822,g175,methyl
823,g176,methyl
824,g177,methyl
825,g178,methyl
826,g179,methyl
827,g18,nitro
828,g180,methyl
829,g181,methyl
830,g182,methyl
831,g183,methyl
832,g184,methyl
833,g185,methyl
834,g186,methyl
835,g187,methyl
836,g188,methyl
837,g189,methyl
838,g19,nitro
839,g190,methyl
840,g191,methyl
841,g192,methyl
842,g193,methyl
843,g194,methyl
844,g195,methyl
845,g196,methyl
846,g197,methyl
847,g198,methyl
848,g199,methyl
849,g2,sulfo
850,g20,nitro
851,g200,methyl
852,g201,methyl
853,g202,methyl
854,g203,methyl
855,g204,methyl
856,g205,methyl
857,g206,methyl
858,g207,methyl
859,g208,methyl
860,g209,methyl
861,g21,nitro
862,g210,methyl
863,g211,methyl
864,g212,methyl
865,g213,methyl
866,g214,methyl
867,g215,methyl
868,g216,methyl
869,g217,methyl
870,g218,methyl
871,g219,methyl
872,g22,nitro
873,g220,methyl
874,g221,methyl
875,g222,methyl
876,g223,methyl
877,g224,methyl
878,g225,methyl
879,g226,methyl
880,g227,methyl
881,g228,methyl
882,g229,methyl
883,g23,nitro
884,g230,methyl
885,g231,methyl
886,g232,methyl
887,g233,methyl
888,g234,methyl
889,g235,methyl
890,g236,methyl
891,g237,methyl
892,g238,methyl
893,g239,methyl
894,g24,nitro
895,g240,methyl
896,g241,methyl
897,g242,methyl
898,g243,methyl
899,g244,methyl
900,g245,methyl
901,g246,methyl
902,g247,methyl
903,g248,methyl
904,g249,methyl
905,g25,nitro
906,g250,methyl
907,g251,methyl
908,g252,methyl
909,g253,methyl
910,g254,methyl
911,g255,methyl
912,g256,methyl
913,g257,methyl
914,g258,methyl
915,g259,methyl
916,g26,nitro
917,g260,methyl
918,g261,methyl
919,g262,methyl
920,g263,methyl
921,g264,methyl
922,g265,methyl
923,g266,methyl
924,g267,methyl
925,g268,methyl
926,g269,methyl
927,g27,nitro
928,g270,methyl
929,g271,methyl
930,g272,methyl
931,g273,methyl
932,g274,methoxy
933,g275,methoxy
934,g276,methoxy
935,g277,methoxy
936,g278,methoxy
937,g279,methoxy
938,g28,nitro
939,g280,methoxy
940,g281,methoxy
941,g282,methoxy
942,g283,methoxy
943,g284,methoxy
944,g285,methoxy
945,g286,methoxy
946,g287,methoxy
947,g288,methoxy
948,g289,methoxy
949,g29,nitro
950,g290,methoxy
951,g291,methoxy
952,g292,methoxy
953,g293,methoxy
954,g294,methoxy
955,g295,methoxy
956,g296,methoxy
957,g297,methoxy
958,g298,methoxy
959,g299,methoxy
960,g3,sulfo
961,g30,nitro
962,g300,methoxy
963,g301,methoxy
964,g302,methoxy
965,g303,methoxy
966,g304,methoxy
967,g305,methoxy
968,g306,methoxy
969,g307,methoxy
970,g308,methoxy
971,g309,methoxy
972,g31,nitro
973,g310,amine
974,g311,amine
975,g312,amine
976,g313,amine
977,g314,amine
978,g315,amine
979,g316,amine
980,g317,amine
981,g318,amine
982,g319,amine
983,g32,nitro
984,g320,amine
985,g321,amine
986,g322,amine
987,g323,amine
988,g324,amine
989,g325,amine
990,g326,amine
991,g327,amine
992,g328,amine
993,g329,amine
994,g33,nitro
995,g330,amine
996,g331,amine
997,g332,amine
998,g333,amine
999,g334,amine
1000,g335,amine
1001,g336,amine
1002,g337,amine
1003,g338,amine
1004,g339,amine
1005,g34,nitro
1006,g340,amine
1007,g341,amine
1008,g342,amine
1009,g343,amine
1010,g344,amine
1011,g345,amine
1012,g346,amine
1013,g347,amine
1014,g348,amine
1015,g349,amine
1016,g35,nitro
1017,g350,amine
1018,g351,amine
1019,g352,amine
1020,g353,amine
1021,g354,amine
1022,g355,amine
1023,g356,amine
1024,g357,amine
1025,g358,amine
1026,g359,amine
1027,g36,nitro
1028,g360,amine
1029,g361,amine
1030,g362,amine
1031,g363,amine
1032,g364,amine
1033,g365,amine
1034,g366,amine
1035,g367,amine
1036,g368,amine
1037,g369,amine
1038,g37,nitro
1039,g370,amine
1040,g371,amine
1041,g372,amine
1042,g373,amine
1043,g374,amine
1044,g375,amine
1045,g376,amine
1046,g377,amine
1047,g378,amine
1048,g379,amine
1049,g38,nitro
1050,g380,amine
1051,g381,amine
1052,g382,amine
1053,g383,amine
1054,g384,amine
1055,g385,amine
1056,g386,amine
1057,g387,amine
1058,g388,amine
1059,g389,amine
1060,g39,nitro
1061,g390,amine
1062,g391,amine
1063,g392,amine
1064,g393,amine
1065,g394,amine
1066,g395,amine
1067,g396,amine
1068,g397,amine
1069,g398,amine
1070,g399,amine
1071,g4,sulfo
1072,g40,nitro
1073,g400,amine
1074,g401,amine
1075,g402,amine
1076,g403,amine
1077,g404,amine
1078,g405,amine
1079,g406,amine
1080,g407,amine
1081,g408,amine
1082,g409,amine
1083,g41,nitro
1084,g410,amine
1085,g411,amine
1086,g412,amine
1087,g413,amine
1088,g414,amine
1089,g415,amine
1090,g416,amine
1091,g417,amine
1092,g418,amine
1093,g419,amine
1094,g42,nitro
1095,g420,amine
1096,g421,amine
1097,g422,amine
1098,g423,amine
1099,g424,amine
1100,g425,amine
1101,g426,amine
1102,g427,amine
1103,g428,amine
1104,g429,amine
1105,g43,nitro
1106,g430,amine
1107,g431,amine
1108,g432,amine
1109,g433,amine
1110,g434,amine
1111,g435,amine
1112,g436,amine
1113,g437,amine
1114,g438,amine
1115,g439,amine
1116,g44,nitro
1117,g440,amine
1118,g441,amine
1119,g442,amine
1120,g443,aldehyde
1121,g444,aldehyde
1122,g445,aldehyde
1123,g446,aldehyde
1124,g447,aldehyde
1125,g448,aldehyde
1126,g449,aldehyde
1127,g45,nitro
1128,g450,aldehyde
1129,g451,aldehyde
1130,g452,ketone
1131,g453,ketone
1132,g454,ketone
1133,g455,ketone
1134,g456,ketone
1135,g457,ketone
1136,g458,ketone
1137,g459,ketone
1138,g46,nitro
1139,g460,ether
1140,g461,ether
1141,g462,ether
1142,g463,ether
1143,g464,ether
1144,g465,ether
1145,g466,ether
1146,g467,ether
1147,g468,ether
1148,g469,ether
1149,g47,nitro
1150,g470,ether
1151,g471,ether
1152,g472,ether
1153,g473,ether
1154,g474,ether
1155,g475,ether
1156,g476,ether
1157,g477,ether
1158,g478,ether
1159,g479,ether
1160,g48,methyl
1161,g480,ether
1162,g481,ether
1163,g482,ether
1164,g483,ether
1165,g484,ether
1166,g485,ether
1167,g486,ether
1168,g487,ether
1169,g488,ether
1170,g489,ether
1171,g49,methyl
1172,g490,sulfide
1173,g491,sulfide
1174,g492,sulfide
1175,g493,sulfide
1176,g494,sulfide
1177,g495,alcohol
1178,g496,alcohol
1179,g497,alcohol
1180,g498,alcohol
1181,g499,alcohol
1182,g5,sulfo
1183,g50,methyl
1184,g500,alcohol
1185,g501,alcohol
1186,g502,alcohol
1187,g503,alcohol
1188,g504,alcohol
1189,g505,alcohol
1190,g506,alcohol
1191,g507,alcohol
1192,g508,alcohol
1193,g509,alcohol
1194,g51,methyl
1195,g510,alcohol
1196,g511,alcohol
1197,g512,alcohol
1198,g513,alcohol
1199,g514,alcohol
1200,g515,alcohol
1201,g516,alcohol
1202,g517,alcohol
1203,g518,alcohol
1204,g519,alcohol
1205,g52,methyl
1206,g520,alcohol
1207,g521,alcohol
1208,g522,phenol
1209,g523,phenol
1210,g524,phenol
1211,g525,phenol
1212,g526,phenol
1213,g527,phenol
1214,g528,phenol
1215,g529,phenol
1216,g53,methyl
1217,g530,phenol
1218,g531,phenol
1219,g532,phenol
1220,g533,phenol
1221,g534,phenol
1222,g535,phenol
1223,g536,phenol
1224,g537,phenol
1225,g538,phenol
1226,g539,phenol
1227,g54,methyl
1228,g540,phenol
1229,g541,phenol
1230,g542,phenol
1231,g543,phenol
1232,g544,phenol
1233,g545,phenol
1234,g546,phenol
1235,g547,phenol
1236,g548,phenol
1237,g549,phenol
1238,g55,methyl
1239,g550,phenol
1240,g551,carboxylic_acid
1241,g552,carboxylic_acid
1242,g553,carboxylic_acid
1243,g554,carboxylic_acid
1244,g555,carboxylic_acid
1245,g556,carboxylic_acid
1246,g557,carboxylic_acid
1247,g558,carboxylic_acid
1248,g559,carboxylic_acid
1249,g56,methyl
1250,g560,carboxylic_acid
1251,g561,carboxylic_acid
1252,g562,carboxylic_acid
1253,g563,carboxylic_acid
1254,g564,carboxylic_acid
1255,g565,carboxylic_acid
1256,g566,carboxylic_acid
1257,g567,ester
1258,g568,ester
1259,g569,ester
1260,g57,methyl
1261,g570,ester
1262,g571,ester
1263,g572,ester
1264,g573,ester
1265,g574,ester
1266,g575,ester
1267,g576,ester
1268,g577,ester
1269,g578,ester
1270,g579,ester
1271,g58,methyl
1272,g580,ester
1273,g581,ester
1274,g582,ester
1275,g583,ester
1276,g584,ester
1277,g585,ester
1278,g586,ester
1279,g587,ester
1280,g588,ester
1281,g589,ester
1282,g59,methyl
1283,g590,ester
1284,g591,ester
1285,g592,ester
1286,g593,ester
1287,g594,ester
1288,g595,ester
1289,g596,ester
1290,g597,ester
1291,g598,ester
1292,g599,ester
1293,g6,sulfo
1294,g60,methyl
1295,g600,ester
1296,g601,ester
1297,g602,ester
1298,g603,ester
1299,g604,ester
1300,g605,ester
1301,g606,ester
1302,g607,ester
1303,g608,amide
1304,g609,amide
1305,g61,methyl
1306,g610,amide
1307,g611,amide
1308,g612,amide
1309,g613,amide
1310,g614,amide
1311,g615,amide
1312,g616,amide
1313,g617,amide
1314,g618,amide
1315,g619,amide
1316,g62,methyl
1317,g620,amide
1318,g621,amide
1319,g622,amide
1320,g623,amide
1321,g624,amide
1322,g625,amide
1323,g626,amide
1324,g627,amide
