id,molecule_id,activity,mweight,atom_id,type,bond_types,rela_atom_id,group_id,group_type,logp
11,i101_80_4i,7.82244,200.24,i101_80_4_10_1i|i101_80_4_10i|i101_80_4_11_1i|i101_80_4_11i|i101_80_4_12i|i101_80_4_13_1i|i101_80_4_13_2i|i101_80_4_13i|i101_80_4_14_1i|i101_80_4_14i|i101_80_4_15_1i|i101_80_4_15i|i101_80_4_1i|i101_80_4_2i|i101_80_4_3_1i|i101_80_4_3i|i101_80_4_4_1i|i101_80_4_4i|i101_80_4_5i|i101_80_4_6_1i|i101_80_4_6_2i|i101_80_4_6i|i101_80_4_7_1i|i101_80_4_7i|i101_80_4_8_1i|i101_80_4_8i|i101_80_4_9i,c|h|n|o,1|1|7|7,i101_80_4_10_1i|i101_80_4_11i|i101_80_4_10i|i101_80_4_15i|i101_80_4_11_1i|i101_80_4_12i|i101_80_4_13_1i|i101_80_4_13_2i|i101_80_4_13i|i101_80_4_14i|i101_80_4_14_1i|i101_80_4_15i|i101_80_4_15_1i|i101_80_4_2i|i101_80_4_9i|i101_80_4_3_1i|i101_80_4_4i|i101_80_4_3i|i101_80_4_8i|i101_80_4_4_1i|i101_80_4_5i|i101_80_4_6_1i|i101_80_4_6_2i|i101_80_4_6i|i101_80_4_7i|i101_80_4_7_1i|i101_80_4_8i|i101_80_4_8_1i,g1024|g1335|g1025|g1336|g317|g318|g460,amine|benzene|six_ring|ether,2.22
12,i1024_57_3i,8.85652,389.319,i1024_57_3_10i|i1024_57_3_11i|i1024_57_3_12i|i1024_57_3_13i|i1024_57_3_14i|i1024_57_3_15i|i1024_57_3_16i|i1024_57_3_17i|i1024_57_3_18i|i1024_57_3_1i|i1024_57_3_2_1i|i1024_57_3_2i|i1024_57_3_3_1i|i1024_57_3_3i|i1024_57_3_4i|i1024_57_3_5_1i|i1024_57_3_5i|i1024_57_3_6_1i|i1024_57_3_6i|i1024_57_3_7_1i|i1024_57_3_7i|i1024_57_3_8i|i1024_57_3_9i,c|cl|h|o,1|1|2,i1024_57_3_10i|i1024_57_3_15i|i1024_57_3_9i|i1024_57_3_11i|i1024_57_3_18i|i1024_57_3_12i|i1024_57_3_13i|i1024_57_3_13i|i1024_57_3_6_1i|i1024_57_3_7i|i1024_57_3_14i|i1024_57_3_15i|i1024_57_3_16i|i1024_57_3_17i|i1024_57_3_2_1i|i1024_57_3_3i|i1024_57_3_7i|i1024_57_3_2i|i1024_57_3_3_1i|i1024_57_3_4i|i1024_57_3_5i|i1024_57_3_5_1i|i1024_57_3_6i|i1024_57_3_5i|i1024_57_3_7_1i|i1024_57_3_8i,g1284|g1309|g1337|g1338|g1645|g1647|g1682|g1684|g1284|g1338|g1646|g1647|g1683|g1684|g1284|g1338|g1646|g1683|g1309|g1337|g1645|g1682|g1309|g1337|g1645|g1682|g986|g1309|g1337|g986|g1646|g1647|g1683|g1684|g649|g650|g651|g652|g653|g654|g655,alkyl_halide|epoxy|five_ring|non_ar_5c_ring|non_ar_hetero_6_ring|six_ring|epoxy|non_ar_hetero_6_ring|six_ring|five_ring|non_ar_5c_ring|five_ring|non_ar_5c_ring|non_ar_6c_ring|non_ar_hetero_6_ring|six_ring|five_ring|non_ar_5c_ring|non_ar_6c_ring|six_ring|five_ring|non_ar_5c_ring|non_ar_hetero_6_ring|six_ring,4.91
13,i103_23_1i,6.04025,370.57,i103_23_1_10_1i|i103_23_1_10_2i|i103_23_1_10i|i103_23_1_11_1i|i103_23_1_11_2i|i103_23_1_11_3i|i103_23_1_11i|i103_23_1_12_1i|i103_23_1_12_2i|i103_23_1_12i|i103_23_1_13_1i|i103_23_1_13_2i|i103_23_1_13i|i103_23_1_14_1i|i103_23_1_14_2i|i103_23_1_14i|i103_23_1_15_1i|i103_23_1_15_2i|i103_23_1_15i|i103_23_1_16i|i103_23_1_17i|i103_23_1_18i|i103_23_1_19_1i|i103_23_1_19_2i|i103_23_1_19i|i103_23_1_1i|i103_23_1_20_1i|i103_23_1_20i|i103_23_1_21_1i|i103_23_1_21_2i|i103_23_1_21i|i103_23_1_22_1i|i103_23_1_22_2i|i103_23_1_22i|i103_23_1_23_1i|i103_23_1_23_2i|i103_23_1_23i|i103_23_1_24_1i|i103_23_1_24_2i|i103_23_1_24_3i|i103_23_1_24i|i103_23_1_25_1i|i103_23_1_25_2i|i103_23_1_25i|i103_23_1_26_1i|i103_23_1_26_2i|i103_23_1_26_3i|i103_23_1_26i|i103_23_1_2i|i103_23_1_3i|i103_23_1_4_1i|i103_23_1_4_2i|i103_23_1_4i|i103_23_1_5_1i|i103_23_1_5i|i103_23_1_6_1i|i103_23_1_6_2i|i103_23_1_6i|i103_23_1_7_1i|i103_23_1_7_2i|i103_23_1_7i|i103_23_1_8_1i|i103_23_1_8_2i|i103_23_1_8i|i103_23_1_9_1i|i103_23_1_9_2i|i103_23_1_9_3i|i103_23_1_9i,c|h|o,1|1|2|2,i103_23_1_10_1i|i103_23_1_10_2i|i103_23_1_11i|i103_23_1_10i|i103_23_1_5_1i|i103_23_1_6i|i103_23_1_11_1i|i103_23_1_11_2i|i103_23_1_11_3i|i103_23_1_12_1i|i103_23_1_12_2i|i103_23_1_13i|i103_23_1_12i|i103_23_1_3i|i103_23_1_13_1i|i103_23_1_13_2i|i103_23_1_14i|i103_23_1_14_1i|i103_23_1_14_2i|i103_23_1_15i|i103_23_1_15_1i|i103_23_1_15_2i|i103_23_1_16i|i103_23_1_17i|i103_23_1_18i|i103_23_1_19_1i|i103_23_1_19_2i|i103_23_1_20i|i103_23_1_19i|i103_23_1_20_1i|i103_23_1_21i|i103_23_1_25i|i103_23_1_21_1i|i103_23_1_21_2i|i103_23_1_22i|i103_23_1_22_1i|i103_23_1_22_2i|i103_23_1_23i|i103_23_1_23_1i|i103_23_1_23_2i|i103_23_1_24i|i103_23_1_24_1i|i103_23_1_24_2i|i103_23_1_24_3i|i103_23_1_25_1i|i103_23_1_25_2i|i103_23_1_26i|i103_23_1_26_1i|i103_23_1_26_2i|i103_23_1_26_3i|i103_23_1_2i|i103_23_1_4_1i|i103_23_1_4_2i|i103_23_1_5i|i103_23_1_4i|i103_23_1_6_1i|i103_23_1_6_2i|i103_23_1_7i|i103_23_1_7_1i|i103_23_1_7_2i|i103_23_1_8i|i103_23_1_8_1i|i103_23_1_8_2i|i103_23_1_9i|i103_23_1_9_1i|i103_23_1_9_2i|i103_23_1_9_3i,g53|g54|g55|g56|g567|g568,ester|methyl,8.12
14,i104_94_9i,6.04025,123.154,i104_94_9_1i|i104_94_9_2i|i104_94_9_3_1i|i104_94_9_3i|i104_94_9_4_1i|i104_94_9_4i|i104_94_9_5i|i104_94_9_6_1i|i104_94_9_6_2i|i104_94_9_6i|i104_94_9_7_1i|i104_94_9_7i|i104_94_9_8_1i|i104_94_9_8i|i104_94_9_9_1i|i104_94_9_9_2i|i104_94_9_9_3i|i104_94_9_9i,c|h|n|o,1|1|7|7,i104_94_9_2i|i104_94_9_9i|i104_94_9_3_1i|i104_94_9_4i|i104_94_9_3i|i104_94_9_8i|i104_94_9_4_1i|i104_94_9_5i|i104_94_9_6_1i|i104_94_9_6_2i|i104_94_9_6i|i104_94_9_7i|i104_94_9_7_1i|i104_94_9_8i|i104_94_9_8_1i|i104_94_9_9_1i|i104_94_9_9_2i|i104_94_9_9_3i,g1026|g1339|g274|g274|g461|g319,amine|benzene|six_ring|ether|methoxy|methoxy,1.16
15,i105_67_9i,4.56435,122.166,i105_67_9_1_1i|i105_67_9_1i|i105_67_9_2i|i105_67_9_3i|i105_67_9_4_1i|i105_67_9_4i|i105_67_9_5i|i105_67_9_6_1i|i105_67_9_6i|i105_67_9_7_1i|i105_67_9_7_2i|i105_67_9_7_3i|i105_67_9_7i|i105_67_9_8_1i|i105_67_9_8_2i|i105_67_9_8_3i|i105_67_9_8i|i105_67_9_9_1i|i105_67_9_9i,c|h|o,1|1|7|7,i105_67_9_1_1i|i105_67_9_2i|i105_67_9_3i|i105_67_9_9i|i105_67_9_4_1i|i105_67_9_5i|i105_67_9_4i|i105_67_9_8i|i105_67_9_6_1i|i105_67_9_9i|i105_67_9_6i|i105_67_9_7i|i105_67_9_7_1i|i105_67_9_7_2i|i105_67_9_7_3i|i105_67_9_8_1i|i105_67_9_8_2i|i105_67_9_8_3i|i105_67_9_9_1i,g1027|g1340|g523|g57|g58,benzene|six_ring|methyl|phenol,2.61
16,i106_42_3i,6.04025,106.167,i106_42_3_1i|i106_42_3_2_1i|i106_42_3_2i|i106_42_3_3_1i|i106_42_3_3i|i106_42_3_4i|i106_42_3_5_1i|i106_42_3_5i|i106_42_3_6_1i|i106_42_3_6_2i|i106_42_3_6_3i|i106_42_3_6i|i106_42_3_7_1i|i106_42_3_7i|i106_42_3_8_1i|i106_42_3_8_2i|i106_42_3_8_3i|i106_42_3_8i,c|h,1|1|7,i106_42_3_2_1i|i106_42_3_3i|i106_42_3_2i|i106_42_3_7i|i106_42_3_8i|i106_42_3_3_1i|i106_42_3_4i|i106_42_3_5_1i|i106_42_3_7i|i106_42_3_5i|i106_42_3_6i|i106_42_3_6_1i|i106_42_3_6_2i|i106_42_3_6_3i|i106_42_3_7_1i|i106_42_3_8_1i|i106_42_3_8_2i|i106_42_3_8_3i,g1028|g1341|g59|g60,benzene|six_ring|methyl,3.09
17,i106_44_5i,2.14007,108.139,i106_44_5_1_1i|i106_44_5_1i|i106_44_5_2i|i106_44_5_3_1i|i106_44_5_3i|i106_44_5_4_1i|i106_44_5_4i|i106_44_5_5i|i106_44_5_6_1i|i106_44_5_6i|i106_44_5_7_1i|i106_44_5_7_2i|i106_44_5_7_3i|i106_44_5_7i|i106_44_5_8_1i|i106_44_5_8i,c|h|o,1|1|7|7,i106_44_5_1_1i|i106_44_5_2i|i106_44_5_3_1i|i106_44_5_4i|i106_44_5_3i|i106_44_5_8i|i106_44_5_4_1i|i106_44_5_5i|i106_44_5_6_1i|i106_44_5_8i|i106_44_5_6i|i106_44_5_7i|i106_44_5_7_1i|i106_44_5_7_2i|i106_44_5_7_3i|i106_44_5_8_1i,g1029|g1342|g524|g61,benzene|six_ring|methyl|phenol,2.06
18,i106_46_7i,7.82244,147.004,i106_46_7_1i|i106_46_7_2_1i|i106_46_7_2i|i106_46_7_3_1i|i106_46_7_3i|i106_46_7_4i|i106_46_7_5_1i|i106_46_7_5i|i106_46_7_6i|i106_46_7_7_1i|i106_46_7_7i|i106_46_7_8i,c|cl|h,1|1|7,i106_46_7_2_1i|i106_46_7_3i|i106_46_7_2i|i106_46_7_7i|i106_46_7_8i|i106_46_7_3_1i|i106_46_7_4i|i106_46_7_5_1i|i106_46_7_7i|i106_46_7_5i|i106_46_7_6i|i106_46_7_7_1i,g1030|g1343|g884|g885,ar_halide|benzene|six_ring,3.28
19,i106_50_3i,6.04025,108.143,i106_50_3_1_1i|i106_50_3_1_2i|i106_50_3_1i|i106_50_3_2i|i106_50_3_3_1i|i106_50_3_3i|i106_50_3_4_1i|i106_50_3_4i|i106_50_3_5i|i106_50_3_6_1i|i106_50_3_6_2i|i106_50_3_6i|i106_50_3_7_1i|i106_50_3_7i|i106_50_3_8_1i|i106_50_3_8i,c|h|n,1|1|7|7,i106_50_3_1_1i|i106_50_3_1_2i|i106_50_3_2i|i106_50_3_3_1i|i106_50_3_4i|i106_50_3_3i|i106_50_3_8i|i106_50_3_4_1i|i106_50_3_5i|i106_50_3_6_1i|i106_50_3_6_2i|i106_50_3_6i|i106_50_3_7i|i106_50_3_7_1i|i106_50_3_8i|i106_50_3_8_1i,g1031|g1344|g320|g321,amine|benzene|six_ring,-0.39
20,i106_51_4i,4.10264,108.096,i106_51_4_1i|i106_51_4_2i|i106_51_4_3_1i|i106_51_4_3i|i106_51_4_4_1i|i106_51_4_4i|i106_51_4_5i|i106_51_4_6i|i106_51_4_7_1i|i106_51_4_7i|i106_51_4_8_1i|i106_51_4_8i,c|h|o,1|1|2,i106_51_4_2i|i106_51_4_3i|i106_51_4_8i|i106_51_4_3_1i|i106_51_4_4i|i106_51_4_4_1i|i106_51_4_5i|i106_51_4_6i|i106_51_4_7i|i106_51_4_7_1i|i106_51_4_8i|i106_51_4_8_1i,g1285|g1345,non_ar_6c_ring|six_ring,0.25
21,i106_88_7i,6.04025,72.1062,i106_88_7_1i|i106_88_7_2_1i|i106_88_7_2i|i106_88_7_3_1i|i106_88_7_3_2i|i106_88_7_3i|i106_88_7_4_1i|i106_88_7_4_2i|i106_88_7_4_3i|i106_88_7_4i|i106_88_7_5_1i|i106_88_7_5_2i|i106_88_7_5i,c|h|o,1,i106_88_7_2_1i|i106_88_7_3i|i106_88_7_5i|i106_88_7_2i|i106_88_7_5i|i106_88_7_3_1i|i106_88_7_3_2i|i106_88_7_4i|i106_88_7_4_1i|i106_88_7_4_2i|i106_88_7_4_3i|i106_88_7_5_1i|i106_88_7_5_2i,g62|g987,epoxy|methyl,0.86
22,i106_89_8i,6.04025,92.5245,i106_89_8_1i|i106_89_8_2_1i|i106_89_8_2i|i106_89_8_3_1i|i106_89_8_3_2i|i106_89_8_3i|i106_89_8_4i|i106_89_8_5_1i|i106_89_8_5_2i|i106_89_8_5i,c|cl|h|o,1,i106_89_8_2_1i|i106_89_8_3i|i106_89_8_5i|i106_89_8_2i|i106_89_8_5i|i106_89_8_3_1i|i106_89_8_3_2i|i106_89_8_4i|i106_89_8_5_1i|i106_89_8_5_2i,g656|g988,alkyl_halide|epoxy,0.63
23,i106_93_4i,7.82244,199.956,i106_93_4_1_1i|i106_93_4_1_2i|i106_93_4_1_3i|i106_93_4_1_4i|i106_93_4_1_5i|i106_93_4_1_6i|i106_93_4_1i|i106_93_4_2_1i|i106_93_4_2_2i|i106_93_4_2i|i106_93_4_3_1i|i106_93_4_3_2i|i106_93_4_3i|i106_93_4_4_1i|i106_93_4_4_2i|i106_93_4_4_3i|i106_93_4_4_4i|i106_93_4_4_5i|i106_93_4_4_6i|i106_93_4_4i,br|c|h,1,i106_93_4_1_1i|i106_93_4_1_2i|i106_93_4_1_3i|i106_93_4_1_4i|i106_93_4_1_5i|i106_93_4_1_6i|i106_93_4_2i|i106_93_4_2_1i|i106_93_4_2_2i|i106_93_4_3i|i106_93_4_3_1i|i106_93_4_3_2i|i106_93_4_4i|i106_93_4_4_1i|i106_93_4_4_2i|i106_93_4_4_3i|i106_93_4_4_4i|i106_93_4_4_5i|i106_93_4_4_6i,g657|g658,alkyl_halide,2.01
24,i106_99_0i,6.04025,54.0914,i106_99_0_1_1i|i106_99_0_1i|i106_99_0_2_1i|i106_99_0_2i|i106_99_0_3_1i|i106_99_0_3_2i|i106_99_0_3i|i106_99_0_4_1i|i106_99_0_4_2i|i106_99_0_4i,c|h,1|1|2,i106_99_0_1_1i|i106_99_0_2i|i106_99_0_4i|i106_99_0_2_1i|i106_99_0_3i|i106_99_0_3_1i|i106_99_0_3_2i|i106_99_0_4_1i|i106_99_0_4_2i,,,2.03
25,i107_02_8i,6.04025,56.0636,i107_02_8_1i|i107_02_8_2_1i|i107_02_8_2i|i107_02_8_3_1i|i107_02_8_3i|i107_02_8_4_1i|i107_02_8_4_2i|i107_02_8_4i,c|h|o,1|1|2|2,i107_02_8_2_1i|i107_02_8_3i|i107_02_8_2i|i107_02_8_3_1i|i107_02_8_4i|i107_02_8_4_1i|i107_02_8_4_2i,g443,aldehyde,0.19
26,i107_05_1i,6.04025,76.5255,i107_05_1_1_1i|i107_05_1_1i|i107_05_1_2_1i|i107_05_1_2_2i|i107_05_1_2i|i107_05_1_3_1i|i107_05_1_3_2i|i107_05_1_3i|i107_05_1_4i,c|cl|h,1|1|2,i107_05_1_1_1i|i107_05_1_2i|i107_05_1_3i|i107_05_1_2_1i|i107_05_1_2_2i|i107_05_1_3_1i|i107_05_1_3_2i|i107_05_1_4i,g659,alkyl_halide,1.93
27,i107_06_2i,8.1197,98.9596,i107_06_2_1i|i107_06_2_2_1i|i107_06_2_2_2i|i107_06_2_2i|i107_06_2_3_1i|i107_06_2_3_2i|i107_06_2_3i|i107_06_2_4i,c|cl|h,1,i107_06_2_2_1i|i107_06_2_2_2i|i107_06_2_3i|i107_06_2_2i|i107_06_2_3_1i|i107_06_2_3_2i|i107_06_2_4i,g660|g661,alkyl_halide,1.83
