id,atom_id,group_id,fpk_group_id,fpk_atom_id
195,i101_77_9_10i,g1333,374,200
196,i101_77_9_11i,g1022,29,202
197,i101_77_9_11i,g1333,374,202
198,i101_77_9_12i,g316,979,203
199,i101_77_9_12_1i,g316,979,204
200,i101_77_9_12_2i,g316,979,205
201,i101_77_9_13i,g1022,29,206
202,i101_77_9_13i,g1333,374,206
203,i101_77_9_14i,g1022,29,208
204,i101_77_9_14i,g1333,374,208
205,i101_77_9_15i,g1023,30,210
206,i101_77_9_15i,g1334,375,210
207,i101_77_9_1i,g315,978,212
208,i101_77_9_1_1i,g315,978,213
209,i101_77_9_1_2i,g315,978,214
210,i101_77_9_2i,g1023,30,215
211,i101_77_9_2i,g1334,375,215
212,i101_77_9_3i,g1023,30,216
213,i101_77_9_3i,g1334,375,216
214,i101_77_9_4i,g1023,30,218
215,i101_77_9_4i,g1334,375,218
216,i101_77_9_5i,g1023,30,220
217,i101_77_9_5i,g1334,375,220
218,i101_77_9_6i,g1023,30,221
219,i101_77_9_6i,g1334,375,221
220,i101_77_9_8i,g1022,29,226
221,i101_77_9_8i,g1333,374,226
222,i101_77_9_9i,g1022,29,227
223,i101_77_9_9i,g1333,374,227
224,i101_80_4_10i,g1025,32,229
225,i101_80_4_10i,g1336,377,229
226,i101_80_4_11i,g1025,32,231
227,i101_80_4_11i,g1336,377,231
228,i101_80_4_12i,g1025,32,233
229,i101_80_4_12i,g1336,377,233
230,i101_80_4_13i,g318,981,234
231,i101_80_4_13_1i,g318,981,235
232,i101_80_4_13_2i,g318,981,236
233,i101_80_4_14i,g1025,32,237
234,i101_80_4_14i,g1336,377,237
235,i101_80_4_15i,g1025,32,239
236,i101_80_4_15i,g1336,377,239
237,i101_80_4_1i,g460,1139,241
238,i101_80_4_2i,g1024,31,242
239,i101_80_4_2i,g1335,376,242
240,i101_80_4_3i,g1024,31,243
241,i101_80_4_3i,g1335,376,243
242,i101_80_4_4i,g1024,31,245
243,i101_80_4_4i,g1335,376,245
244,i101_80_4_5i,g1024,31,247
245,i101_80_4_5i,g1335,376,247
246,i101_80_4_6i,g317,980,248
247,i101_80_4_6_1i,g317,980,249
248,i101_80_4_6_2i,g317,980,250
249,i101_80_4_7i,g1024,31,251
250,i101_80_4_7i,g1335,376,251
251,i101_80_4_8i,g1024,31,253
252,i101_80_4_8i,g1335,376,253
253,i101_80_4_9i,g1025,32,255
254,i101_80_4_9i,g1336,377,255
255,i1024_57_3_10i,g1284,319,256
256,i1024_57_3_10i,g1338,379,256
257,i1024_57_3_10i,g1646,721,256
258,i1024_57_3_10i,g1683,762,256
259,i1024_57_3_11i,g1284,319,257
260,i1024_57_3_11i,g1338,379,257
261,i1024_57_3_11i,g1646,721,257
262,i1024_57_3_11i,g1683,762,257
263,i1024_57_3_12i,g651,1351,258
264,i1024_57_3_13i,g1284,319,259
265,i1024_57_3_13i,g1338,379,259
266,i1024_57_3_13i,g1646,721,259
267,i1024_57_3_13i,g1647,722,259
268,i1024_57_3_13i,g1683,762,259
269,i1024_57_3_13i,g1684,763,259
270,i1024_57_3_14i,g652,1352,260
271,i1024_57_3_15i,g1646,721,261
272,i1024_57_3_15i,g1647,722,261
273,i1024_57_3_15i,g1683,762,261
274,i1024_57_3_15i,g1684,763,261
275,i1024_57_3_16i,g653,1353,262
276,i1024_57_3_17i,g654,1354,263
277,i1024_57_3_18i,g655,1355,264
278,i1024_57_3_1i,g649,1348,265
279,i1024_57_3_2i,g1309,347,266
280,i1024_57_3_2i,g1337,378,266
281,i1024_57_3_2i,g1645,720,266
282,i1024_57_3_2i,g1682,761,266
283,i1024_57_3_3i,g1309,347,268
284,i1024_57_3_3i,g1337,378,268
285,i1024_57_3_3i,g1645,720,268
286,i1024_57_3_3i,g1682,761,268
287,i1024_57_3_3i,g986,1722,268
288,i1024_57_3_4i,g1309,347,270
289,i1024_57_3_4i,g1337,378,270
290,i1024_57_3_4i,g986,1722,270
291,i1024_57_3_5i,g1309,347,271
292,i1024_57_3_5i,g1337,378,271
293,i1024_57_3_5i,g1645,720,271
294,i1024_57_3_5i,g1682,761,271
295,i1024_57_3_5i,g986,1722,271
296,i1024_57_3_6i,g1284,319,273
297,i1024_57_3_6i,g1309,347,273
298,i1024_57_3_6i,g1337,378,273
299,i1024_57_3_6i,g1338,379,273
300,i1024_57_3_6i,g1645,720,273
301,i1024_57_3_6i,g1647,722,273
302,i1024_57_3_6i,g1682,761,273
303,i1024_57_3_6i,g1684,763,273
304,i1024_57_3_7i,g1284,319,275
305,i1024_57_3_7i,g1309,347,275
306,i1024_57_3_7i,g1337,378,275
307,i1024_57_3_7i,g1338,379,275
308,i1024_57_3_7i,g1645,720,275
309,i1024_57_3_7i,g1647,722,275
310,i1024_57_3_7i,g1682,761,275
311,i1024_57_3_7i,g1684,763,275
312,i1024_57_3_8i,g1284,319,277
313,i1024_57_3_8i,g1338,379,277
314,i1024_57_3_8i,g1646,721,277
315,i1024_57_3_8i,g1647,722,277
316,i1024_57_3_8i,g1683,762,277
317,i1024_57_3_8i,g1684,763,277
318,i1024_57_3_9i,g650,1350,278
319,i103_23_1_11i,g54,1227,282
320,i103_23_1_11_1i,g54,1227,283
321,i103_23_1_11_2i,g54,1227,284
322,i103_23_1_11_3i,g54,1227,285
323,i103_23_1_16i,g568,1258,298
324,i103_23_1_17i,g568,1258,299
325,i103_23_1_18i,g568,1258,300
326,i103_23_1_1i,g567,1257,304
327,i103_23_1_24i,g55,1238,316
328,i103_23_1_24_1i,g55,1238,317
329,i103_23_1_24_2i,g55,1238,318
330,i103_23_1_24_3i,g55,1238,319
331,i103_23_1_26i,g56,1249,323
332,i103_23_1_26_1i,g56,1249,324
333,i103_23_1_26_2i,g56,1249,325
334,i103_23_1_26_3i,g56,1249,326
335,i103_23_1_2i,g567,1257,327
336,i103_23_1_3i,g567,1257,328
337,i103_23_1_9i,g53,1216,343
338,i103_23_1_9_1i,g53,1216,344
339,i103_23_1_9_2i,g53,1216,345
340,i103_23_1_9_3i,g53,1216,346
341,i104_94_9_1i,g274,932,347
342,i104_94_9_1i,g461,1140,347
343,i104_94_9_2i,g1026,33,348
344,i104_94_9_2i,g1339,380,348
345,i104_94_9_3i,g1026,33,349
346,i104_94_9_3i,g1339,380,349
347,i104_94_9_4i,g1026,33,351
348,i104_94_9_4i,g1339,380,351
349,i104_94_9_5i,g1026,33,353
350,i104_94_9_5i,g1339,380,353
351,i104_94_9_6i,g319,982,354
352,i104_94_9_6_1i,g319,982,355
353,i104_94_9_6_2i,g319,982,356
354,i104_94_9_7i,g1026,33,357
355,i104_94_9_7i,g1339,380,357
356,i104_94_9_8i,g1026,33,359
357,i104_94_9_8i,g1339,380,359
358,i104_94_9_9i,g274,932,361
359,i104_94_9_9_1i,g274,932,362
360,i104_94_9_9_2i,g274,932,363
361,i104_94_9_9_3i,g274,932,364
362,i105_67_9_1i,g523,1209,365
363,i105_67_9_1_1i,g523,1209,366
364,i105_67_9_2i,g1027,34,367
365,i105_67_9_2i,g1340,382,367
366,i105_67_9_3i,g1027,34,368
367,i105_67_9_3i,g1340,382,368
368,i105_67_9_4i,g1027,34,369
369,i105_67_9_4i,g1340,382,369
370,i105_67_9_5i,g1027,34,371
371,i105_67_9_5i,g1340,382,371
372,i105_67_9_6i,g1027,34,372
373,i105_67_9_6i,g1340,382,372
374,i105_67_9_7i,g57,1260,374
375,i105_67_9_7_1i,g57,1260,375
376,i105_67_9_7_2i,g57,1260,376
377,i105_67_9_7_3i,g57,1260,377
378,i105_67_9_8i,g58,1271,378
379,i105_67_9_8_1i,g58,1271,379
380,i105_67_9_8_2i,g58,1271,380
381,i105_67_9_8_3i,g58,1271,381
382,i105_67_9_9i,g1027,34,382
383,i105_67_9_9i,g1340,382,382
384,i106_42_3_1i,g1028,35,384
385,i106_42_3_1i,g1341,383,384
386,i106_42_3_2i,g1028,35,385
387,i106_42_3_2i,g1341,383,385
388,i106_42_3_3i,g1028,35,387
389,i106_42_3_3i,g1341,383,387
390,i106_42_3_4i,g1028,35,389
391,i106_42_3_4i,g1341,383,389
392,i106_42_3_5i,g1028,35,390
393,i106_42_3_5i,g1341,383,390
394,i106_42_3_6i,g59,1282,392
395,i106_42_3_6_1i,g59,1282,393
396,i106_42_3_6_2i,g59,1282,394
397,i106_42_3_6_3i,g59,1282,395
398,i106_42_3_7i,g1028,35,396
399,i106_42_3_7i,g1341,383,396
400,i106_42_3_8i,g60,1294,398
401,i106_42_3_8_1i,g60,1294,399
402,i106_42_3_8_2i,g60,1294,400
403,i106_42_3_8_3i,g60,1294,401
404,i106_44_5_1i,g524,1210,402
405,i106_44_5_1_1i,g524,1210,403
406,i106_44_5_2i,g1029,36,404
407,i106_44_5_2i,g1342,384,404
408,i106_44_5_3i,g1029,36,405
409,i106_44_5_3i,g1342,384,405
410,i106_44_5_4i,g1029,36,407
411,i106_44_5_4i,g1342,384,407
412,i106_44_5_5i,g1029,36,409
413,i106_44_5_5i,g1342,384,409
414,i106_44_5_6i,g1029,36,410
415,i106_44_5_6i,g1342,384,410
416,i106_44_5_7i,g61,1305,412
417,i106_44_5_7_1i,g61,1305,413
418,i106_44_5_7_2i,g61,1305,414
419,i106_44_5_7_3i,g61,1305,415
420,i106_44_5_8i,g1029,36,416
421,i106_44_5_8i,g1342,384,416
422,i106_46_7_1i,g1030,38,418
423,i106_46_7_1i,g1343,385,418
424,i106_46_7_2i,g1030,38,419
425,i106_46_7_2i,g1343,385,419
426,i106_46_7_3i,g1030,38,421
427,i106_46_7_3i,g1343,385,421
428,i106_46_7_4i,g1030,38,423
429,i106_46_7_4i,g1343,385,423
430,i106_46_7_5i,g1030,38,424
431,i106_46_7_5i,g1343,385,424
432,i106_46_7_6i,g884,1609,426
433,i106_46_7_7i,g1030,38,427
434,i106_46_7_7i,g1343,385,427
435,i106_46_7_8i,g885,1610,429
436,i106_50_3_1i,g320,984,430
437,i106_50_3_1_1i,g320,984,431
438,i106_50_3_1_2i,g320,984,432
439,i106_50_3_2i,g1031,39,433
440,i106_50_3_2i,g1344,386,433
441,i106_50_3_3i,g1031,39,434
442,i106_50_3_3i,g1344,386,434
443,i106_50_3_4i,g1031,39,436
444,i106_50_3_4i,g1344,386,436
445,i106_50_3_5i,g1031,39,438
446,i106_50_3_5i,g1344,386,438
447,i106_50_3_6i,g321,985,439
448,i106_50_3_6_1i,g321,985,440
449,i106_50_3_6_2i,g321,985,441
450,i106_50_3_7i,g1031,39,442
451,i106_50_3_7i,g1344,386,442
452,i106_50_3_8i,g1031,39,444
453,i106_50_3_8i,g1344,386,444
454,i106_51_4_1i,g1285,320,446
455,i106_51_4_1i,g1345,387,446
456,i106_51_4_3i,g1285,320,448
457,i106_51_4_3i,g1345,387,448
458,i106_51_4_4i,g1285,320,450
459,i106_51_4_4i,g1345,387,450
460,i106_51_4_5i,g1285,320,452
461,i106_51_4_5i,g1345,387,452
462,i106_51_4_7i,g1285,320,454
463,i106_51_4_7i,g1345,387,454
464,i106_51_4_8i,g1285,320,456
465,i106_51_4_8i,g1345,387,456
466,i106_88_7_1i,g987,1723,458
467,i106_88_7_2i,g987,1723,459
468,i106_88_7_4i,g62,1316,464
469,i106_88_7_4_1i,g62,1316,465
470,i106_88_7_4_2i,g62,1316,466
471,i106_88_7_4_3i,g62,1316,467
472,i106_88_7_5i,g987,1723,468
473,i106_89_8_1i,g988,1724,471
474,i106_89_8_2i,g988,1724,472
475,i106_89_8_4i,g656,1356,477
476,i106_89_8_5i,g988,1724,478
477,i106_93_4_1i,g657,1357,481
478,i106_93_4_4i,g658,1358,494
479,i107_02_8_1i,g443,1120,511
480,i107_02_8_2i,g443,1120,512
481,i107_02_8_2_1i,g443,1120,513
482,i107_05_1_4i,g659,1359,527
483,i107_06_2_1i,g660,1361,528
484,i107_06_2_4i,g661,1362,535
485,i107_18_6_1i,g495,1177,543
486,i107_18_6_1_1i,g495,1177,544
487,i107_21_1_1i,g496,1178,553
488,i107_21_1_1_1i,g496,1178,554
489,i107_21_1_4i,g497,1179,561
490,i107_21_1_4_1i,g497,1179,562
491,i107_30_2_1i,g275,933,563
492,i107_30_2_1i,g462,1141,563
493,i107_30_2_3i,g662,1363,567
494,i107_30_2_4i,g275,933,568
495,i107_30_2_4_1i,g275,933,569
496,i107_30_2_4_2i,g275,933,570
497,i107_30_2_4_3i,g275,933,571
498,i108_10_1_1i,g452,1130,572
499,i108_10_1_2i,g452,1130,573
500,i108_10_1_5i,g63,1327,579
501,i108_10_1_5_1i,g63,1327,580
502,i108_10_1_5_2i,g63,1327,581
503,i108_10_1_5_3i,g63,1327,582
504,i108_10_1_6i,g64,1338,583
505,i108_10_1_6_1i,g64,1338,584
506,i108_10_1_6_2i,g64,1338,585
507,i108_10_1_6_3i,g64,1338,586
508,i108_10_1_7i,g65,1349,587
509,i108_10_1_7_1i,g65,1349,588
510,i108_10_1_7_2i,g65,1349,589
511,i108_10_1_7_3i,g65,1349,590
512,i108_38_3_1i,g1032,40,591
513,i108_38_3_1i,g1346,388,591
514,i108_38_3_2i,g1032,40,592
515,i108_38_3_2i,g1346,388,592
516,i108_38_3_3i,g1032,40,594
517,i108_38_3_3i,g1346,388,594
518,i108_38_3_4i,g1032,40,596
519,i108_38_3_4i,g1346,388,596
520,i108_38_3_5i,g1032,40,598
521,i108_38_3_5i,g1346,388,598
522,i108_38_3_6i,g66,1360,599
523,i108_38_3_6_1i,g66,1360,600
524,i108_38_3_6_2i,g66,1360,601
525,i108_38_3_6_3i,g66,1360,602
526,i108_38_3_7i,g1032,40,603
527,i108_38_3_7i,g1346,388,603
528,i108_38_3_8i,g67,1371,605
529,i108_38_3_8_1i,g67,1371,606
530,i108_38_3_8_2i,g67,1371,607
531,i108_38_3_8_3i,g67,1371,608
532,i108_39_4_1i,g525,1211,609
533,i108_39_4_1_1i,g525,1211,610
534,i108_39_4_2i,g1033,41,611
535,i108_39_4_2i,g1347,389,611
536,i108_39_4_3i,g1033,41,612
537,i108_39_4_3i,g1347,389,612
538,i108_39_4_4i,g1033,41,614
539,i108_39_4_4i,g1347,389,614
540,i108_39_4_5i,g1033,41,616
541,i108_39_4_5i,g1347,389,616
542,i108_39_4_6i,g1033,41,618
543,i108_39_4_6i,g1347,389,618
544,i108_39_4_7i,g68,1382,619
545,i108_39_4_7_1i,g68,1382,620
546,i108_39_4_7_2i,g68,1382,621
547,i108_39_4_7_3i,g68,1382,622
548,i108_39_4_8i,g1033,41,623
549,i108_39_4_8i,g1347,389,623
550,i108_45_2_1i,g322,986,625
551,i108_45_2_1_1i,g322,986,626
552,i108_45_2_1_2i,g322,986,627
553,i108_45_2_2i,g1034,42,628
554,i108_45_2_2i,g1348,390,628
555,i108_45_2_3i,g1034,42,629
556,i108_45_2_3i,g1348,390,629
557,i108_45_2_4i,g1034,42,631
558,i108_45_2_4i,g1348,390,631
559,i108_45_2_5i,g1034,42,633
560,i108_45_2_5i,g1348,390,633
561,i108_45_2_6i,g1034,42,635
562,i108_45_2_6i,g1348,390,635
563,i108_45_2_7i,g323,987,636
564,i108_45_2_7_1i,g323,987,637
565,i108_45_2_7_2i,g323,987,638
566,i108_45_2_8i,g1034,42,639
567,i108_45_2_8i,g1348,390,639
568,i108_60_1_1i,g463,1142,641
569,i108_60_1_4i,g663,1364,647
570,i108_60_1_5i,g69,1393,648
571,i108_60_1_5_1i,g69,1393,649
572,i108_60_1_5_2i,g69,1393,650
573,i108_60_1_5_3i,g69,1393,651
574,i108_60_1_8i,g664,1365,657
575,i108_60_1_9i,g70,1405,658
576,i108_60_1_9_1i,g70,1405,659
577,i108_60_1_9_2i,g70,1405,660
578,i108_60_1_9_3i,g70,1405,661
579,i108_78_1_1i,g1279,313,662
580,i108_78_1_1i,g1349,391,662
581,i108_78_1_2i,g1279,313,663
582,i108_78_1_2i,g1349,391,663
583,i108_78_1_3i,g1279,313,664
584,i108_78_1_3i,g1349,391,664
585,i108_78_1_4i,g1279,313,665
586,i108_78_1_4i,g1349,391,665
587,i108_78_1_5i,g1279,313,666
588,i108_78_1_5i,g1349,391,666
589,i108_78_1_6i,g324,988,667
590,i108_78_1_6_1i,g324,988,668
591,i108_78_1_6_2i,g324,988,669
592,i108_78_1_7i,g325,989,670
593,i108_78_1_7_1i,g325,989,671
594,i108_78_1_7_2i,g325,989,672
595,i108_78_1_8i,g1279,313,673
596,i108_78_1_8i,g1349,391,673
597,i108_78_1_9i,g326,990,674
598,i108_78_1_9_1i,g326,990,675
599,i108_78_1_9_2i,g326,990,676
600,i108_88_3_1i,g1035,43,677
601,i108_88_3_1i,g1350,393,677
602,i108_88_3_2i,g1035,43,678
603,i108_88_3_2i,g1350,393,678
604,i108_88_3_3i,g1035,43,680
605,i108_88_3_3i,g1350,393,680
606,i108_88_3_4i,g1035,43,682
607,i108_88_3_4i,g1350,393,682
608,i108_88_3_5i,g1035,43,684
609,i108_88_3_5i,g1350,393,684
610,i108_88_3_6i,g1035,43,686
611,i108_88_3_6i,g1350,393,686
612,i108_88_3_7i,g71,1416,688
613,i108_88_3_7_1i,g71,1416,689
614,i108_88_3_7_2i,g71,1416,690
615,i108_88_3_7_3i,g71,1416,691
616,i108_90_7_1i,g1036,44,692
617,i108_90_7_1i,g1351,394,692
618,i108_90_7_2i,g1036,44,693
619,i108_90_7_2i,g1351,394,693
620,i108_90_7_3i,g1036,44,695
621,i108_90_7_3i,g1351,394,695
622,i108_90_7_4i,g1036,44,697
623,i108_90_7_4i,g1351,394,697
624,i108_90_7_5i,g1036,44,699
625,i108_90_7_5i,g1351,394,699
626,i108_90_7_6i,g1036,44,701
627,i108_90_7_6i,g1351,394,701
628,i108_90_7_7i,g886,1611,703
629,i108_95_2_1i,g526,1212,704
630,i108_95_2_1_1i,g526,1212,705
631,i108_95_2_2i,g1037,45,706
632,i108_95_2_2i,g1352,395,706
633,i108_95_2_3i,g1037,45,707
634,i108_95_2_3i,g1352,395,707
635,i108_95_2_4i,g1037,45,709
636,i108_95_2_4i,g1352,395,709
637,i108_95_2_5i,g1037,45,711
638,i108_95_2_5i,g1352,395,711
639,i108_95_2_6i,g1037,45,713
640,i108_95_2_6i,g1352,395,713
641,i108_95_2_7i,g1037,45,715
642,i108_95_2_7i,g1352,395,715
643,i109_86_4_1i,g276,934,717
644,i109_86_4_1i,g464,1143,717
645,i109_86_4_4i,g498,1180,724
646,i109_86_4_4_1i,g498,1180,725
647,i109_86_4_5i,g276,934,726
648,i109_86_4_5_1i,g276,934,727
649,i109_86_4_5_2i,g276,934,728
650,i109_86_4_5_3i,g276,934,729
651,i110_00_9_1i,g1670,748,730
652,i110_00_9_1i,g1685,764,730
653,i110_00_9_2i,g1670,748,731
654,i110_00_9_2i,g1685,764,731
655,i110_00_9_3i,g1670,748,733
656,i110_00_9_3i,g1685,764,733
657,i110_00_9_4i,g1670,748,735
658,i110_00_9_4i,g1685,764,735
659,i110_00_9_5i,g1670,748,737
660,i110_00_9_5i,g1685,764,737
661,i110_80_5_1i,g465,1144,739
662,i110_80_5_4i,g499,1181,746
663,i110_80_5_4_1i,g499,1181,747
664,i110_80_5_6i,g72,1427,751
665,i110_80_5_6_1i,g72,1427,752
666,i110_80_5_6_2i,g72,1427,753
667,i110_80_5_6_3i,g72,1427,754
668,i110_82_7_1i,g1286,321,755
669,i110_82_7_1i,g1353,396,755
670,i110_82_7_2i,g1286,321,758
671,i110_82_7_2i,g1353,396,758
672,i110_82_7_3i,g1286,321,761
673,i110_82_7_3i,g1353,396,761
674,i110_82_7_4i,g1286,321,764
675,i110_82_7_4i,g1353,396,764
676,i110_82_7_5i,g1286,321,767
677,i110_82_7_5i,g1353,396,767
678,i110_82_7_6i,g1286,321,770
679,i110_82_7_6i,g1353,396,770
680,i110_86_1_1i,g1280,315,773
681,i110_86_1_1i,g1354,397,773
682,i110_86_1_2i,g1280,315,774
683,i110_86_1_2i,g1354,397,774
684,i110_86_1_3i,g1280,315,776
