tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0050022	tvSeries	The Gumby Show	The Gumby Show	0.0	1956.0	1969.0	30	Adventure,Animation,Comedy
tt0050051	tvSeries	Perry Mason	Perry Mason	0.0	1957.0	1966.0	60	Crime,Drama,Mystery
tt0050063	tvSeries	Sugarfoot	Sugarfoot	0.0	1957.0	1961.0	60	Western
tt0051247	tvSeries	77 Sunset Strip	77 Sunset Strip	0.0	1958.0	1964.0	60	Action,Crime,Drama
tt0051257	tvSeries	Blue Peter	Blue Peter	0.0	1958.0		25	Family
tt0051267	tvSeries	The Donna Reed Show	The Donna Reed Show	0.0	1958.0	1966.0	30	Comedy,Family
tt0051272	tvSeries	From These Roots	From These Roots	0.0	1958.0	1961.0	30	Drama
tt0051276	tvSeries	The Garry Moore Show	The Garry Moore Show	0.0	1958.0	1967.0	60	Comedy,Family
tt0051297	tvSeries	Naked City	Naked City	0.0	1958.0	1963.0	60	Crime,Drama,Thriller
tt0052473	tvSeries	Hennesey	Hennesey	0.0	1959.0	1962.0	30	Comedy
tt0052492	tvSeries	Matty's Funnies with Beany and Cecil	Matty's Funday Funnies	0.0	1959.0	1962.0	30	Animation,Comedy,Family
tt0052507	tvSeries	The Bullwinkle Show	Rocky and His Friends	0.0	1959.0	1963.0	30	Action,Adventure,Animation
tt0053494	tvSeries	Coronation Street	Coronation Street	0.0	1960.0		30	Comedy,Drama,Romance
tt0053497	tvSeries	Dante	Dante	0.0	1960.0	1961.0	30	Adventure,Crime,Drama
tt0053525	tvSeries	My Three Sons	My Three Sons	0.0	1960.0	1972.0	30	Comedy,Family
tt0053543	tvSeries	Tales of the Vikings	Tales of the Vikings	0.0	1959.0	1960.0	30	Adventure
tt0054512	tvSeries	Acapulco	Acapulco	0.0	1961.0	1961.0	30	Adventure
tt0054560	tvSeries	Password	Password	0.0	1961.0	2024.0	30	Game-Show
tt0055671	tvSeries	Ensign O'Toole	Ensign O'Toole	0.0	1962.0	1963.0	30	Comedy
tt0055673	tvSeries	Fireball XL5	Fireball XL5	0.0	1962.0	1963.0	30	Action,Animation,Drama
tt0055682	tvSeries	Jackie Gleason: American Scene Magazine	Jackie Gleason: American Scene Magazine	0.0	1962.0	1966.0	60	Comedy,Music
tt0055691	tvSeries	The Merv Griffin Show	The Merv Griffin Show	0.0	1962.0	1986.0	60	Comedy,Family,Music
tt0055708	tvSeries	The Tonight Show Starring Johnny Carson	The Tonight Show Starring Johnny Carson	0.0	1962.0	1992.0	105	Comedy,Talk-Show
tt0056748	tvSeries	The Danny Kaye Show	The Danny Kaye Show	0.0	1963.0	1967.0	60	Comedy,Music
tt0056752	tvSeries	The Doctors	The Doctors	0.0	1963.0	1982.0	30	Drama,Romance
tt0056757	tvSeries	The Fugitive	The Fugitive	0.0	1963.0	1967.0	51	Adventure,Crime,Drama
tt0056758	tvSeries	General Hospital	General Hospital	0.0	1963.0		60	Crime,Drama,Romance
tt0056777	tvSeries	The Outer Limits	The Outer Limits	0.0	1963.0	1965.0	51	Drama,Fantasy,Horror
tt0057731	tvSeries	Another World	Another World	0.0	1964.0	1999.0	90	Drama,Romance
tt0057735	tvSeries	The Big Pull	The Big Pull	0.0	1962.0	1962.0	30	Sci-Fi
tt0057741	tvSeries	Crossroads	Crossroads	0.0	1964.0	1988.0	30	Drama
tt0057751	tvSeries	Gilligan's Island	Gilligan's Island	0.0	1964.0	1992.0	30	Comedy,Family
tt0057797	tvMiniSeries	Vízivárosi nyár	Vízivárosi nyár	0.0	1964.0			Drama
tt0058796	tvSeries	Days of Our Lives	Days of Our Lives	0.0	1965.0		60	Drama,Romance
tt0058815	tvSeries	I Dream of Jeannie	I Dream of Jeannie	0.0	1965.0	1970.0	25	Comedy,Family,Fantasy
tt0058827	tvSeries	Moment of Truth	Moment of Truth	0.0	1964.0	1965.0	30	Drama
tt0059975	tvSeries	Cool McCool	Cool McCool	0.0	1966.0	1969.0	30	Action,Adventure,Animation
tt0059978	tvSeries	Dark Shadows	Dark Shadows	0.0	1966.0	1971.0	30	Drama,Fantasy,Horror
tt0061268	tvSeries	The Joey Bishop Show	The Joey Bishop Show	0.0	1967.0	1969.0	90	Talk-Show
tt0061277	tvSeries	Mannix	Mannix	0.0	1967.0	1975.0	60	Action,Crime,Drama
tt0062562	tvSeries	Freewheelers	Freewheelers	0.0	1968.0	1973.0	30	Family
tt0062588	tvSeries	Mister Rogers' Neighborhood	Mister Rogers' Neighborhood	0.0	1968.0	2001.0	30	Family,Fantasy,Music
tt0063879	tvSeries	Bright Promise	Bright Promise	0.0	1969.0	1972.0	30	Drama
tt0063908	tvSeries	Hee Haw	Hee Haw	0.0	1969.0	1997.0	60	Comedy,Music
tt0063948	tvSeries	Room 222	Room 222	0.0	1969.0	1974.0	30	Comedy,Drama,Family
tt0065272	tvSeries	All My Children	All My Children	0.0	1970.0	2011.0	60	Drama,Mystery,Romance
tt0065288	tvSeries	Dinah's Place	Dinah's Place	0.0	1970.0	1974.0	30	Talk-Show
tt0065314	tvSeries	The Mary Tyler Moore Show	Mary Tyler Moore	0.0	1970.0	1977.0	30	Comedy
tt0065316	tvSeries	Matt Lincoln	Matt Lincoln	0.0	1970.0	1971.0	60	Drama
tt0065335	tvSeries	Donahue	The Phil Donahue Show	0.0	1967.0	1995.0	60	Talk-Show
tt0066630	tvSeries	The Beachcombers	The Beachcombers	0.0	1972.0	2004.0	30	Adventure,Comedy
tt0066633	tvSeries	Bless This House	Bless This House	0.0	1971.0	1976.0	30	Comedy
tt0068069	tvSeries	Emmerdale Farm	Emmerdale Farm	0.0	1972.0		30	Crime,Drama,Romance
tt0068103	tvSeries	Maude	Maude	0.0	1972.0	1978.0	30	Comedy
tt0068114	tvSeries	Number 96	Number 96	0.0	1972.0	1977.0	25	Comedy,Crime,Drama
tt0068120	tvSeries	The Price is Right	The New Price Is Right	0.0	1972.0		60	Family,Game-Show
tt0068128	tvSeries	Sanford and Son	Sanford and Son	0.0	1972.0	1978.0	30	Comedy
tt0069557	tvSeries	Barnaby Jones	Barnaby Jones	0.0	1973.0	1980.0	60	Crime,Drama,Mystery
tt0069576	tvSeries	Doraemon	Doraemon	0.0	1979.0	2005.0	25	Adventure,Animation,Comedy
tt0069602	tvSeries	Last of the Summer Wine	Last of the Summer Wine	0.0	1973.0	2010.0	30	Comedy
tt0069608	tvSeries	Match Game	Match Game 73	0.0	1973.0	1990.0	30	Comedy,Game-Show
tt0069629	tvSeries	Sesamstraße	Sesamstraße	0.0	1973.0		30	Animation,Comedy,Family
tt0069658	tvSeries	The Young and the Restless	The Young and the Restless	0.0	1973.0		37	Drama,Romance
tt0071574	tvEpisode	Graceless Go I	Graceless Go I	0.0	1974.0		90	Comedy,Drama
tt0072506	tvSeries	Good Morning America	Good Morning America	0.0	1975.0		120	News,Talk-Show
tt0072518	tvSeries	Ivor the Engine	Ivor the Engine	0.0	1976.0	1977.0	5	Animation,Family
tt0072559	tvSeries	Ryan's Hope	Ryan's Hope	0.0	1975.0	1989.0	30	Drama,Romance
tt0072561	tvSeries	Sammy and Company	Sammy and Company	0.0	1975.0	1977.0	90	Comedy,Music
tt0072562	tvSeries	Saturday Night Live	Saturday Night Live	0.0	1975.0		90	Comedy,Music
tt0072584	tvSeries	Wheel of Fortune	Wheel of Fortune	0.0	1983.0		30	Family,Game-Show
tt0072587	tvSeries	Yus My Dear	Yus My Dear	0.0	1976.0	1976.0	30	Comedy
tt0073968	tvSeries	Break the Bank	Break the Bank	0.0	1976.0	1977.0	30	Game-Show
tt0074077	tvSeries	The Young Doctors	The Young Doctors	0.0	1976.0	1983.0	25	Drama,Romance
tt0075281	tvSeries	The Sullivans	The Sullivans	0.0	1976.0	1983.0	30	Drama
tt0075512	tvSeries	Grange Hill	Grange Hill	0.0	1978.0	2008.0	30	Comedy,Drama,Family
tt0077000	tvSeries	Dallas	Dallas	0.0	1978.0	1991.0	60	Drama,Romance
tt0077058	tvSeries	The Paper Chase	The Paper Chase	0.0	1978.0	1986.0	60	Drama
tt0077064	tvSeries	Prisoner	Prisoner	0.0	1979.0	1986.0	50	Crime,Drama
tt0077082	tvSeries	The South Bank Show	The South Bank Show	0.0	1978.0	2023.0	53	Documentary
tt0077083	tvSeries	Spadla z oblakov	Spadla z oblakov	0.0	1978.0	1983.0	25	Adventure,Comedy,Family
tt0078673	tvMiniSeries	The Adventures of the Electronic	Priklyucheniya Elektronika	0.0	1979.0	1980.0	72	Adventure,Comedy,Crime
tt0081935	tvSeries	Sons and Daughters	Sons and Daughters	0.0	1982.0	1987.0	30	Drama,Romance
tt0081945	tvSeries	That's My Boy	That's My Boy	0.0	1981.0	1986.0	30	Comedy
tt0082201	tvSeries	Cop Shop	Cop Shop	0.0	1977.0	1984.0	50	Action,Crime,Drama
tt0083392	tvSeries	Brookside	Brookside	0.0	1982.0	2003.0	30	Drama
tt0083441	tvSeries	Late Night with David Letterman	Late Night with David Letterman	0.0	1982.0	1993.0	60	Comedy,Music,Talk-Show
tt0083452	tvSeries	Nature	Nature	0.0	1982.0		60	Documentary,Family
tt0083504	tvSeries	Wogan	Wogan	0.0	1982.0	1992.0	35	Talk-Show
tt0084967	tvSeries	The A-Team	The A-Team	0.0	1983.0	1987.0	60	Action,Adventure,Crime
tt0084987	tvSeries	The Bill	The Bill	0.0	1984.0	2010.0		Crime,Drama,Mystery
tt0085049	tvSeries	Loving	Loving	0.0	1983.0	1995.0	30	Drama,Romance
tt0085796	tvSeries	Kings	Kings	0.0	1983.0	1984.0	50	
tt0086689	tvSeries	A Country Practice	A Country Practice	0.0	1981.0	1993.0	60	Drama,Romance
tt0086729	tvSeries	Hey Dad..!	Hey Dad..!	0.0	1987.0	1994.0	23	Comedy
tt0086793	tvSeries	Santa Barbara	Santa Barbara	0.0	1984.0	1993.0	45	Drama,Romance
tt0086810	tvSeries	Surprise! Surprise!	Surprise! Surprise!	0.0	1984.0	2015.0	60	Documentary,Family,Game-Show
tt0086818	tvSeries	The Tripods	The Tripods	0.0	1984.0	1985.0	30	Adventure,Drama,Sci-Fi
tt0088512	tvSeries	EastEnders	EastEnders	0.0	1985.0		30	Crime,Drama,Romance
tt0088550	tvSeries	Larry King Live	Larry King Live	0.0	1985.0	2010.0	60	News,Talk-Show
tt0088554	tvSeries	Lindenstraße	Lindenstraße	0.0	1985.0	2020.0	30	Drama,Family
tt0088580	tvSeries	Neighbours	Neighbours	0.0	1985.0	2025.0	22	Drama,Romance
tt0088608	tvMiniSeries	Sagan om Skrotnisse och hans vänner	Sagan om Skrotnisse och hans vänner	0.0	1985.0	1985.0		Adventure,Animation,Family
tt0088625	tvSeries	Telly Addicts	Telly Addicts	0.0	1985.0	1998.0	30	Game-Show
tt0090440	tvSeries	Großstadtrevier	Großstadtrevier	0.0	1986.0		50	Comedy,Crime,Drama
tt0090444	tvSeries	Head of the Class	Head of the Class	0.0	1986.0	1991.0	30	Comedy
tt0090493	tvSeries	The Oprah Winfrey Show	The Oprah Winfrey Show	0.0	1986.0	2011.0	60	News,Talk-Show
tt0092323	tvSeries	Bionic Six	Bionic Six	0.0	1987.0	1987.0	22	Action,Animation,Family
tt0092325	tvSeries	The Bold and the Beautiful	The Bold and the Beautiful	0.0	1987.0		19	Drama,Romance
tt0092350	tvSeries	Fight Back with David Horowitz	Fight Back with David Horowitz	0.0	1976.0		30	News
tt0092379	tvSeries	Inspector Morse	Inspector Morse	0.0	1987.0	2000.0	90	Crime,Drama,Mystery
tt0092381	tvSeries	Jake and the Fatman	Jake and the Fatman	0.0	1987.0	1992.0	120	Crime,Drama
tt0092389	tvSeries	The Country Doctor	Der Landarzt	0.0	1987.0	2013.0	45	Drama,Romance
tt0092490	tvSeries	You Must Be the Husband	You Must Be the Husband	0.0	1987.0	1988.0	30	Comedy
tt0094423	tvMiniSeries	Die Bertinis	Die Bertinis	0.0	1988.0		436	Drama
tt0094481	tvSeries	Home and Away	Home and Away	0.0	1988.0		22	Drama,Romance
tt0094514	tvSeries	Murphy Brown	Murphy Brown	0.0	1988.0	2018.0	30	Comedy
tt0094531	tvSeries	A Pup Named Scooby-Doo	A Pup Named Scooby-Doo	0.0	1988.0	1991.0	30	Adventure,Animation,Comedy
tt0096537	tvSeries	The Arsenio Hall Show	The Arsenio Hall Show	0.0	1989.0	1994.0	60	Comedy,Music,Talk-Show
tt0096555	tvSeries	Casualty	Casualty	0.0	1986.0		50	Drama
tt0096592	tvSeries	G.P.	G.P.	0.0	1989.0	1996.0	58	Drama
tt0096597	tvSeries	Goede tijden, slechte tijden	Goede tijden, slechte tijden	0.0	1990.0		23	Drama,Romance
tt0096636	tvSeries	Live with Kelly and Mark	Live with Kelly and Mark	0.0	1988.0		61	Talk-Show
tt0096687	tvSeries	Reporter	Reporter	0.0	1989.0	1989.0	50	
tt0096697	tvSeries	The Simpsons	The Simpsons	0.0	1989.0		22	Animation,Comedy
tt0098805	tvSeries	Going Places	Going Places	0.0	1990.0	1991.0	30	Comedy
tt0098844	tvSeries	Law & Order	Law & Order	0.0	1990.0		45	Crime,Drama,Mystery
tt0103380	tvSeries	California Dreams	California Dreams	0.0	1992.0	1997.0	30	Comedy,Family,Music
tt0103396	tvSeries	Dateline NBC	Dateline	0.0	1992.0		60	Documentary,News
tt0103428	tvSeries	Goof Troop	Goof Troop	0.0	1992.0	1993.0	22	Adventure,Animation,Comedy
tt0103434	tvSeries	Gute Zeiten, schlechte Zeiten	Gute Zeiten, schlechte Zeiten	0.0	1992.0		25	Drama,Family,Romance
tt0103474	tvSeries	Lift Off	Lift Off	0.0	1992.0	1995.0	66	Comedy,Family
tt0103487	tvSeries	Marienhof	Marienhof	0.0	1992.0	2011.0	50	Drama
tt0103569	tvSeries	The Tonight Show with Jay Leno	The Tonight Show with Jay Leno	0.0	1992.0	2014.0	62	Comedy,Music,Talk-Show
tt0105950	tvSeries	Beavis and Butt-Head	Beavis and Butt-Head	0.0	1993.0	2011.0	15	Animation,Comedy,Music
tt0106038	tvSeries	John & Leeza from Hollywood	John & Leeza from Hollywood	0.0	1993.0	1994.0		Talk-Show
tt0106052	tvSeries	Late Night with Conan O'Brien	Late Night with Conan O'Brien	0.0	1993.0	2009.0	60	Comedy,Music,Talk-Show
tt0106053	tvSeries	Late Show with David Letterman	Late Show with David Letterman	0.0	1993.0	2015.0	60	Comedy,Music,Talk-Show
tt0106090	tvSeries	Onderweg naar morgen	Onderweg naar morgen	0.0	1994.0	2010.0		Drama
tt0106145	tvSeries	Star Trek: Deep Space Nine	Star Trek: Deep Space Nine	0.0	1993.0	1999.0	45	Action,Adventure,Drama
tt0106172	tvSeries	Where in the World Is Carmen Sandiego?	Where in the World Is Carmen Sandiego?	0.0	1991.0	1996.0	30	Comedy,Family,Game-Show
tt0108685	tvSeries	The Adventures of Dudley the Dragon	The Adventures of Dudley the Dragon	0.0	1994.0		30	Family,Fantasy
tt0108757	tvSeries	ER	ER	0.0	1994.0	2009.0	44	Drama,Romance
tt0108783	tvSeries	Gargoyles	Gargoyles	0.0	1994.0	1997.0	30	Action,Adventure,Animation
tt0108810	tvSeries	In the Name of the Law	Im Namen des Gesetzes	0.0	1994.0	2008.0	45	Crime,Drama
tt0108821	tvSeries	Jenny Jones	Jenny Jones	0.0	1991.0	2003.0	60	Drama,Talk-Show
tt0108894	tvSeries	Party of Five	Party of Five	0.0	1994.0	2000.0	60	Drama,Family
tt0108968	tvSeries	Touched by an Angel	Touched by an Angel	0.0	1994.0	2003.0	60	Drama,Family,Fantasy
tt0108975	tvSeries	Unser Lehrer Doktor Specht	Unser Lehrer Doktor Specht	0.0	1992.0	1999.0	90	Drama,Family
tt0108977	tvSeries	Between Us	Unter uns	0.0	1994.0		25	Drama,Romance
tt0108979	tvSeries	Verbotene Liebe	Verbotene Liebe	0.0	1995.0	2015.0	45	Drama,Romance
tt0108993	tvMiniSeries	A Year in Provence	A Year in Provence	0.0	1993.0	1993.0	360	Biography,Comedy,Drama
tt0111912	tvSeries	Castles	Castles	0.0	1995.0	1995.0	30	Drama
tt0111920	tvSeries	Cinema 3	Cinema 3	0.0	1984.0	2016.0		News
tt0111921	tvSeries	The City	The City	0.0	1995.0	1997.0	30	Drama,Romance
tt0111958	tvSeries	Father Ted	Father Ted	0.0	1995.0	1998.0	25	Comedy
tt0112028	tvSeries	Saint Tail	Kaitou Saint Tail	0.0	1995.0	1996.0	20	Adventure,Animation,Romance
tt0112044	tvSeries	Die Harald Schmidt Show	Die Harald Schmidt Show	0.0	1995.0	2004.0	60	Comedy,Talk-Show
tt0112052	tvSeries	London Bridge	London Bridge	0.0	1995.0	1999.0	25	Drama
tt0112071	tvSeries	Metal Fighter Miku	Metal Fighter Miku	0.0	1994.0	1994.0	25	Animation,Comedy,Sci-Fi
tt0112082	tvSeries	Montaña rusa, otra vuelta	Montaña rusa, otra vuelta	0.0	1996.0	1996.0	60	Comedy,Drama,Romance
tt0112111	tvSeries	The Outer Limits	The Outer Limits	0.0	1995.0	2002.0	44	Drama,Fantasy,Horror
tt0112113	tvSeries	Pacific Drive	Pacific Drive	0.0	1996.0	1997.0	45	Drama
tt0115092	tvSeries	Alle zusammen - Jeder für sich	Alle zusammen - Jeder für sich	0.0	1996.0	1997.0	25	
tt0115147	tvSeries	The Daily Show	The Daily Show	0.0	1996.0		22	Comedy,News,Talk-Show
tt0115227	tvSeries	Judge Judy	Judge Judy	0.0	1996.0	2021.0	30	Comedy,Crime,Reality-TV
tt0115267	tvSeries	Menudo es mi padre	Menudo es mi padre	0.0	1996.0	1998.0		Comedy,Drama
tt0115286	tvSeries	Never Mind the Buzzcocks	Never Mind the Buzzcocks	0.0	1996.0	2024.0	30	Comedy,Game-Show,Music
tt0115299	tvSeries	Nós os Ricos	Nós os Ricos	0.0	1996.0	1999.0		Comedy
tt0115338	tvSeries	The Rosie O'Donnell Show	The Rosie O'Donnell Show	0.0	1996.0	2002.0	60	Comedy,Talk-Show
tt0115347	tvSeries	Schloßhotel Orth	Schloßhotel Orth	0.0	1996.0		45	Drama
tt0115370	tvSeries	Springhill	Springhill	0.0	1996.0	1997.0	30	Drama,Fantasy
tt0115381	tvSeries	El súper	El súper	0.0	1996.0	1999.0		
tt0115415	tvSeries	Vänner och fiender	Vänner och fiender	0.0	1996.0	2000.0		Drama
tt0117367	tvSeries	Un posto al sole	Un posto al sole	0.0	1996.0			Drama
tt0118322	tvSeries	You Wish	You Wish	0.0	1997.0	1998.0	30	Comedy,Family,Fantasy
tt0118366	tvSeries	Jô Soares Onze e Meia	Jô Soares Onze e Meia	0.0	1989.0	1998.0		Talk-Show
tt0118376	tvMiniSeries	Knots Landing: Back to the Cul-de-Sac	Knots Landing: Back to the Cul-de-Sac	0.0	1997.0	1997.0	240	Drama,Romance
tt0118378	tvSeries	Coast Guard	Küstenwache	0.0	1997.0	2016.0	45	Crime,Drama
tt0118401	tvSeries	Midsomer Murders	Midsomer Murders	0.0	1997.0		90	Crime,Drama,Mystery
tt0118435	tvSeries	Port Charles	Port Charles	0.0	1997.0	2003.0	30	Drama,Fantasy,Romance
tt0120919	tvSeries	Almorzando con Mirtha Legrand	Almorzando con Mirtha Legrand	0.0	1968.0			Talk-Show
tt0120974	tvSeries	The Jerry Springer Show	The Jerry Springer Show	0.0	1991.0	2018.0	60	Comedy,Music,Talk-Show
tt0120986	tvSeries	Maury	The Maury Povich Show	0.0	1991.0	2022.0	60	Comedy,Drama,Talk-Show
tt0121220	tvSeries	Dragon Ball Z	Dragon Ball Z: Doragon bôru zetto	0.0	1989.0	1996.0	24	Action,Adventure,Animation
tt0121679	tvSeries	Regina auf den Stufen	Regina auf den Stufen	0.0	1990.0		45	Comedy,Drama
tt0121961	tvSeries	Who Said That?	Who Said That?	0.0	1948.0	1955.0	30	Family,Game-Show
tt0122335	tvSeries	Al salir de clase	Al salir de clase	0.0	1997.0	2002.0	35	Comedy,Drama,Romance
tt0123366	tvSeries	The View	The View	0.0	1997.0		60	Talk-Show
tt0124226	tvSeries	Acapulco, cuerpo y alma	Acapulco, cuerpo y alma	0.0	1995.0	1996.0		Drama,Romance
tt0124240	tvSeries	The Garry McDonald Show	The Garry McDonald Show	0.0	1977.0	1977.0		Comedy
tt0124955	tvSeries	Manos a la obra	Manos a la obra	0.0	1998.0	2001.0		Comedy
tt0127991	tvSeries	Card Sharks	Card Sharks	0.0	1978.0	2019.0	30	Family,Game-Show
tt0128176	tvSeries	Egoli: Place of Gold	Egoli: Place of Gold	0.0	1991.0			Drama,Romance
tt0129685	tvSeries	Homicide	Homicide	0.0	1964.0	1977.0	120	Action,Crime,Drama
tt0129723	tvSeries	Z Cars	Z Cars	0.0	1962.0	1978.0	50	Crime,Drama
tt0131157	tvSeries	Aktenzeichen XY... ungelöst!	Aktenzeichen XY... ungelöst!	0.0	1967.0		60	Crime,News
tt0131689	tvSeries	Virginie	Virginie	0.0	1996.0		30	Comedy,Drama
tt0135111	tvSeries	Verão Quente	Verão Quente	0.0	1993.0	1994.0		Drama,Romance
tt0136668	tvSeries	SportsCenter	SportsCenter	0.0	1979.0		60	News,Sport,Talk-Show
tt0138228	tvSeries	Countdown	Countdown	0.0	1982.0		45	Game-Show
tt0139803	tvSeries	Top of the Pops	Top of the Pops	0.0	1964.0	2024.0	60	Music
tt0143004	tvSeries	Yûsha keisatsu Jei-Decker	Yûsha keisatsu Jei-Decker	0.0	1994.0	1995.0		Action,Animation,Sci-Fi
tt0143005	tvSeries	Brave Command Dagwon	Yûsha shirei Dagwon	0.0	1996.0	1997.0		Action,Adventure,Animation
tt0143055	tvSeries	Play School	Play School	0.0	1966.0		28	Family
tt0144050	tvSeries	Hinter Gittern - Der Frauenknast	Hinter Gittern - Der Frauenknast	0.0	1997.0	2010.0	48	Crime,Drama
tt0144066	tvSeries	Selva de Pedra	Selva de Pedra	0.0	1986.0			Drama,Romance
tt0144724	tvSeries	Young Hearts	Malhação	0.0	1995.0	2020.0	30	Comedy,Drama,Music
tt0148286	tvEpisode	Britain Invades, America Fights Back	Britain Invades, America Fights Back	0.0	1995.0		60	Documentary,History,Music
tt0149434	tvSeries	Corners	Corners	0.0	1987.0	1991.0		
tt0149443	tvSeries	Despedida de Solteiro	Despedida de Solteiro	0.0	1992.0			Drama,Romance
tt0149453	tvSeries	F.C. De Kampioenen	F.C. De Kampioenen	0.0	1990.0	2020.0	33	Comedy,Romance,Sport
tt0149466	tvSeries	Gufol mysteriet	Gufol mysteriet	0.0	1997.0	1997.0	15	Mystery
tt0149541	tvSeries	A Viagem	A Viagem	0.0	1994.0	1994.0	45	Drama,Fantasy,Romance
tt0149546	tvSeries	Wittekerke	Wittekerke	0.0	1993.0	2008.0		Drama,Romance
tt0154053	tvSeries	ABC News Nightline	ABC News Nightline	0.0	1979.0		30	News,Talk-Show
tt0155429	tvSeries	Families	Families	0.0	1990.0	1993.0	30	Drama
tt0155443	tvSeries	Que Rei Sou Eu?	Que Rei Sou Eu?	0.0	1989.0			Adventure,Comedy
tt0155446	tvSeries	Samson en Gert	Samson en Gert	0.0	1990.0	2019.0		Comedy,Family
tt0159187	tvSeries	Mogul	The Troubleshooters	0.0	1965.0	1972.0	50	Drama
tt0159848	tvSeries	La antorcha encendida	La antorcha encendida	0.0	1996.0	1996.0		Drama,History,Romance
tt0159877	tvSeries	Home	Home	0.0	1954.0	1957.0	60	Family,Talk-Show
tt0159879	tvSeries	Howard Stern	Howard Stern	0.0	1994.0	2009.0	60	Comedy,Talk-Show
tt0159881	tvSeries	Jeopardy!	Jeopardy!	0.0	1984.0		30	Family,Game-Show
tt0159884	tvSeries	Knight Errant Limited	Knight Errant Limited	0.0	1959.0	1961.0	60	Crime,Drama
tt0160999	tvSeries	The Tourist Trap	The Tourist Trap	0.0	1998.0			Reality-TV
tt0161195	tvSeries	Special Investigation Unit	Tokusô saizensen	0.0	1977.0	1987.0	54	Action,Drama
tt0161203	tvSeries	Torre de Babel	Torre de Babel	0.0	1998.0	1999.0	55	Action,Comedy,Drama
tt0162076	tvSeries	Familie	Familie	0.0	1991.0		30	Drama,Family
tt0163499	tvSeries	Take the High Road	Take the High Road	0.0	1980.0	2003.0	30	Drama
tt0163958	tvSeries	The Riordans	The Riordans	0.0	1965.0	1979.0	30	Drama,Romance
tt0165001	tvSeries	CBS News Sunday Morning with Jane Pauley	CBS News Sunday Morning	0.0	1979.0		90	News,Talk-Show
tt0166034	tvSeries	Bellbird	Bellbird	0.0	1967.0	1977.0	60	Drama
tt0166064	tvSeries	Who Wants to Be a Millionaire	Who Wants to Be a Millionaire	0.0	1998.0		60	Game-Show
tt0166905	tvSeries	Camping Satumaa	Camping Satumaa	0.0	1998.0	1998.0	25	Comedy
tt0166909	tvSeries	Les cinq dernières minutes	Les cinq dernières minutes	0.0	1958.0	1996.0	90	Crime,Drama
