projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted
911ea2f83ab85ad374e1f75c6be92e31,0e5cd92592a845f4525cb8e7e37e16c2,db25a30f9c61339e923eb2ef20caa6f4,,41.647243,-83.604088,Toledo,OH,43607.0,,[County run],Lucas,t,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades 3-5,30.0,447.99,527.05,14.0,f,f,2013-12-15
d986c9f56f56c4ef2b9ed78f2612dc49,46fbbbde5fa662839853045a1eba880d,86d3c3a851554614a213a3ebbc5a6fcc,250279000229.0,42.265244,-71.117424,Hyde Park,MA,2136.0,urban,Boston Public School District,Suffolk,f,f,f,f,f,f,Ms.,f,f,Other,Applied Learning,,,Supplies,highest poverty,Grades 3-5,30.0,451.4,531.06,60.0,f,f,2013-12-15
8fcdbd57959922445cb2ffc2e4d2193f,c199fccf3119eeef89b3e1e4012055f1,051d1e3bb7c4c2f323de5d08d368e537,62271002954.0,34.12714,-118.227531,Los Angeles,CA,90065.0,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,f,f,f,f,Mrs.,f,f,Performing Arts,Music & The Arts,Literacy,Literacy & Language,Technology,high poverty,Grades 3-5,30.0,672.69,791.4,25.0,f,f,2013-12-14
3184c57ccefaf447dcc976a5cc6d8c79,9d9d0e9310d410b1bd1add9e86a35d84,8d8fcfc29c1432207474e66ab9831ace,,44.884201,-93.251663,Richfield,MN,55423.0,urban,Minnesota Dept of Education,Hennepin,t,f,f,f,f,f,Mr.,f,f,Applied Sciences,Math & Science,Environmental Science,Math & Science,Technology,high poverty,Grades 9-12,30.0,589.28,693.27,60.0,f,f,2013-12-14
3fe1140ccba4d04dbf24057aefd95ae6,9a87959842c33819b8fb69de005b70c8,f16c6c33419647a2492dd9037b3e9610,40232003079.0,33.184114,-111.607716,Queen Creek,AZ,85142.0,rural,Coolidge Unif School Dist 21,Maricopa,f,f,f,f,f,f,Mrs.,f,f,Visual Arts,Music & The Arts,Literature & Writing,Literacy & Language,Supplies,highest poverty,Grades 3-5,30.0,273.32,321.55,32.0,f,f,2013-12-14
dd841d6e5e6054f56d60a74a8397bafb,c07b81413c1b2202f42668bf9e8b0be7,66b841b26b8f92ea2471c13e9ef38c60,10276001818.0,33.927038,-85.613921,Piedmont,AL,36272.0,,Piedmont City School District,Calhoun,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,Social Sciences,History & Civics,Technology,highest poverty,Grades 6-8,30.0,1126.5,1325.29,30.0,f,f,2013-12-14
c111fcc95893d7508eef93ed78b60033,390b6dc1ff2fc9950a9aa1645210efc2,45f74e0b9e73c592acbef60605783b04,422004000840.0,40.330277,-75.918114,Reading,PA,19602.0,urban,Reading School District,Berks,f,f,f,f,f,f,Mrs.,f,f,ESL,Literacy & Language,Literacy,Literacy & Language,Books,highest poverty,Grades 3-5,30.0,160.62,188.96,25.0,f,f,2013-12-12
0ec55920d53cd3be7919c5d460972faa,b60432fda6d89f9ffa727e85a807402f,492081d52761655cf0ce99967ef981f0,320006000529.0,36.088378,-115.283953,Las Vegas,NV,89148.0,rural,Clark Co School District,Clark,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,,,Other,high poverty,Grades 3-5,30.0,368.88,433.98,28.0,f,f,2013-12-11
e9f5388e016860d56f004b05ed1e29e8,15e2d2a5324569a22c9799d0e8d328b6,6e1179ca78ca9c642577b338b60822bc,262954001076.0,43.279842,-86.223015,Muskegon,MI,49445.0,suburban,Reeths-puffer School District,Muskegon,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Books,high poverty,Grades 3-5,30.0,583.99,687.05,60.0,f,f,2013-12-11
30b4ea5947da448343cc0376af220c64,f17bebce53ec7ec07c2d13398aaa3d81,35afd9ca7d412b1ff400060315bab56a,130282002575.0,33.376031,-84.076878,Locust Grove,GA,30248.0,rural,Henry Co School District,Henry,f,f,t,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Environmental Science,Math & Science,Technology,high poverty,Grades PreK-2,30.0,833.3,980.35,24.0,f,f,2013-12-11
eaa1efbe553b8d7ab80134836f63bd57,a0e40e77406c09cafbc25732d16abd70,d236dbc8189412f9c434aa5c287e7390,62430003652.0,40.948747,-124.110404,Mckinleyville,CA,95519.0,,Mckinleyville Union Sch Dist,Humboldt,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,History & Geography,History & Civics,Technology,high poverty,Grades 3-5,30.0,331.61,390.13,50.0,f,f,2013-12-11
ce9c7540061d2571d09441e51cc1aa66,604e68ffc9bc3b7f220c9eb858ffff18,68d5d0dfd8b09c4a5fbc2551fdd06252,60002009289.0,37.67556,-121.882698,Pleasanton,CA,94566.0,urban,Pleasanton Unified School Dist,Alameda,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,Literacy,Literacy & Language,Other,low poverty,Grades PreK-2,30.0,514.61,605.42,12.0,f,f,2013-12-10
6ee91af99aa125b5b9154b48fd281f2b,9c2c5f4ac1b6b9a4daeaac634bbaec38,de27cfcfb052ecb7eef6e41d91a37853,360009106205.0,40.694538,-73.971642,Brooklyn,NY,11205.0,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,f,f,f,f,Ms.,t,f,Mathematics,Math & Science,,,Technology,highest poverty,Grades 6-8,30.0,1199.09,1410.69,100.0,f,f,2013-12-10
e50511004bbc09cda0b73a9cdbbbfdf5,9c70371bede0169e33a62dc775392e3b,e6442d860d5c0089b2c861ea0d6d37da,250279000277.0,42.348007,-71.06498,Boston,MA,2111.0,urban,Boston Public School District,Suffolk,f,f,f,f,f,f,Ms.,f,f,Early Development,Applied Learning,Special Needs,Special Needs,Supplies,highest poverty,Grades PreK-2,30.0,456.87,537.49,10.0,f,f,2013-12-10
1d559a253a3bd204dac0abbca1315233,65d410c50d3934784ef9201151a615a5,2dea8dcd0e98cb0446cb1f7eb953965a,120039000581.0,25.742291,-80.347515,Miami,FL,33165.0,suburban,Miami-dade Co Public Sch Dist,Miami-Dade,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,Mathematics,Math & Science,Technology,highest poverty,Grades 6-8,30.0,742.9,874.0,80.0,t,f,2013-12-10
4d21c84cd53dacdb5b3bf5521ecd6f42,aeb519f09b3143ee68c8325a3b2ad62a,e9a6772c5ae1fb82608e4dfeab5e95be,470051000152.0,36.192613,-82.052537,Roan Mountain,TN,37687.0,rural,Carter Co School District,Carter,f,f,f,f,f,f,Mr.,f,f,Mathematics,Math & Science,,,Technology,highest poverty,Grades 6-8,30.0,346.49,407.64,58.0,f,f,2013-12-10
90fccaae81ee7b63d7e4e5b566d89876,77f9c91c79644cf1bf46ee7c3eba15ec,5bfe4fdadae62be2334d61cb2c329738,421890002647.0,40.006951,-76.106106,Paradise,PA,17562.0,rural,Pequea Valley School Dist,Lancaster,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,Character Education,Applied Learning,Books,high poverty,Grades 3-5,30.0,150.59,177.16,20.0,f,f,2013-12-09
7d1e27807db36a1de0a6df7b3b95e1e9,76e65cf5e16b266310856bf6802381de,47c7ac301f6a7ed7d1ad3fe36b33e3b2,62271010856.0,33.948642,-118.218349,South Gate,CA,90280.0,suburban,Los Angeles Unif Sch Dist,Los Angeles,f,f,f,f,f,f,Mrs.,f,f,Music,Music & The Arts,Literacy,Literacy & Language,Books,highest poverty,Grades PreK-2,30.0,365.69,430.22,24.0,f,f,2013-12-09
e9370425a3e032126996e408c84789fb,69120c0db8d17e5c68b940a1eb5ef47f,7d7c24656db487f0c9b77560b7a57262,,39.232964,-84.549934,Cincinnati,OH,45231.0,suburban,Mt Healthy City School Dist,Hamilton,t,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,30.0,656.75,772.65,15.0,f,f,2013-12-09
ed3a0d4f1df61ef2f8793b36c7028d1f,7671d87b83874ef24f59f71f0b394a8b,6c845a8164e16d36b09bb11f8bc06b17,62271002868.0,34.044106,-118.462845,Los Angeles,CA,90025.0,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,f,f,f,f,Mrs.,f,f,Special Needs,Special Needs,,,Other,highest poverty,Grades 3-5,30.0,141.51,166.48,11.0,t,f,2013-12-09
9d62b5a65d060ac3be71385aebb0a797,86c731e913e73e322d1af642fe3b9769,e70879bf1d9440f277e06ed01c7c4f62,40240000014.0,32.669427,-114.674599,Yuma,AZ,85364.0,urban,Crane Elem School District 13,Yuma,f,f,t,f,f,f,Mr.,f,f,Applied Sciences,Math & Science,,,Other,highest poverty,Grades 6-8,30.0,300.55,353.59,130.0,f,f,2013-12-08
856eb1f155a2c3532cd8e24c893a5cb4,4a5bd8313788867768dc6072dc2e06fc,015e9bec7b7c6dabb7e6440a27367cc4,,34.07914,-118.218422,Los Angeles,CA,90031.0,urban,Los Angeles Unif Sch Dist,Los Angeles,t,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Books,high poverty,Grades 9-12,30.0,636.02,748.26,260.0,f,f,2013-12-08
4c3456706e996c8392d9e45d0308fda3,4a4b521f76dd556d902f5fc819563b0a,127c2797f6df0a7fac73e8807e0488ff,421899003620.0,39.914656,-75.176221,Philadelphia,PA,19145.0,urban,Philadelphia City School Dist,Philadelphia,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades 6-8,30.0,244.7,287.88,140.0,f,f,2013-12-08
8df385b3a06c5e5a217cff1d490361ae,794df955fee2f843390280198fec9e41,bd297e32783ca8ef3c0dd6ae4e97c72d,,44.261829,-105.499008,Gillette,WY,82717.0,,Campbell Co School District 1,Campbell,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Other,moderate poverty,Grades PreK-2,30.0,141.62,166.61,450.0,f,f,2013-12-08
ba52fec0534e1380eb2e1f08c2e4fa21,915db22072738a1692299dcb975bf000,c0ebc97e4ee16fe8caabc50f89f3855b,63186004913.0,37.476116,-122.160609,Menlo Park,CA,94025.0,suburban,Ravenswood City Elem Sch Dist,San Mateo,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,30.0,686.91,808.13,22.0,f,f,2013-12-08
4644dc558256a605342c221e35ffe928,aaaf38b43a07ae72d5adf6f052fbee7d,395d8aeaf9e75f30d045a4cb0f3728db,50942000687.0,35.527702,-90.42057,Marked Tree,AR,72365.0,rural,Marked Tree School Dist 28,Poinsett,f,f,f,f,f,f,Ms.,t,f,Visual Arts,Music & The Arts,,,Supplies,highest poverty,Grades 9-12,30.0,406.66,478.42,200.0,f,f,2013-12-08
6f9600e5291d70e13b938b6d3ff6e16f,4f0bf85f555e8231d6bc1a1d598943b9,ac7bddef0880e161d5097f0786507ce2,550255000637.0,44.948486,-91.396629,Chippewa Fls,WI,54729.0,suburban,Chippewa Falls Area Usd,Chippewa,f,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Supplies,high poverty,Grades 3-5,30.0,363.9,428.12,18.0,f,f,2013-12-07
2d3d03fdf3737c1bb62e2aa35ed5316b,f21dbdc078dbb61b5b3ac10023e39549,689b96efac70c14dfeaf11bb2906642c,530771001183.0,47.525612,-122.348656,Seattle,WA,98106.0,urban,Seattle School District 1,King,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Books,highest poverty,Grades 3-5,30.0,421.99,496.46,26.0,f,f,2013-12-06
8f0a19ee1bfa11fe25d116a31747b1a5,033d0c0e1cc990663e9c4c7f8c82911c,aa0ead737bd9eb9643a1b40d397aa98c,180375002409.0,39.667054,-86.009208,Indianapolis,IN,46259.0,rural,Franklin Twp Cmty School Corp,Marion,f,f,f,f,f,f,Ms.,f,f,Health & Life Science,Math & Science,,,Other,moderate poverty,Grades PreK-2,30.0,364.87,429.26,25.0,f,f,2013-12-06
77f98f13db78c07b0ac89f486b8c1431,1e0d5e9cfaf244d1638fd5cf3bac3a3c,5a0aed1ea0672842f2b1eacd6c6e45ad,40340001838.0,33.370865,-111.800171,Gilbert,AZ,85233.0,suburban,Gilbert Unified Sch Dist 41,Maricopa,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,,,Technology,high poverty,Grades 3-5,30.0,367.94,432.87,10.0,f,f,2013-12-04
dba1014cd115c6b94d4dc883f71df7c3,ddbd410a542f432a4303036c8816cd07,0b24cce3d6a84654d4bc3a925d3efdf9,302595000735.0,46.791778,-105.308103,Terry,MT,59349.0,rural,Terry School District 5,Prairie,f,f,f,f,f,f,Ms.,f,f,History & Geography,History & Civics,College & Career Prep,Applied Learning,Supplies,high poverty,Grades 3-5,30.0,636.23,748.51,10.0,f,f,2013-12-04
d1be5af3cf78adaec8d239c2710b694e,797144e29721ea097a6084f69334dd8e,ea9bf1a8c05042f36836871cb7ae0e9d,250279001296.0,42.348512,-71.069114,Boston,MA,2116.0,urban,Boston Public School District,Suffolk,f,f,f,f,f,f,Mr.,f,f,Applied Sciences,Math & Science,Visual Arts,Music & The Arts,Technology,highest poverty,Grades 6-8,30.0,131.88,155.15,500.0,f,f,2013-12-04
add2b143abe54c27aa80c9220100a263,20b57c03e43111af462da996ace38666,07d711a9b29c73aab7da1ed4ce61021c,390449001796.0,41.611469,-83.591537,Toledo,OH,43614.0,urban,Toledo Public Schools,Lucas,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Early Development,Applied Learning,Supplies,high poverty,Grades PreK-2,30.0,326.15,383.71,26.0,f,f,2013-12-01
cfb3386d7a005d508e257ff78ae0bce2,07fa5729519b1142f5e77713c5418499,f030f61a2cac7cb0c6bb3436aeeb788a,172478002688.0,41.929359,-88.064445,Glendale Hts,IL,60139.0,suburban,Marquardt School District 15,Du Page,f,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,high poverty,Grades 6-8,30.0,1170.72,1377.32,51.0,f,f,2013-12-01
849a6d7521010c7e38a74320aa914d87,11c747fc59e8c283b11a40d94f5507d6,5bdf8d6ebe5d5b26ea19a6e20a291ee0,480809000132.0,29.417449,-95.250973,Alvin,TX,77511.0,suburban,Alvin Ind School District,Brazoria,f,f,f,f,f,f,Ms.,f,f,Visual Arts,Music & The Arts,Special Needs,Special Needs,Supplies,high poverty,Grades 9-12,30.0,162.44,191.11,100.0,t,f,2013-12-01
a7277b124b0f7792dd3b1866bce9dfa0,9c2af9809cdcf818eedcb63409ba07eb,82e7232e20739f1fdde84427e9b351bc,130102002054.0,32.040197,-81.009564,Savannah,GA,31410.0,suburban,Savannah-chatham Co Sch Dist,Chatham,f,t,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Supplies,moderate poverty,Grades PreK-2,30.0,298.86,351.6,23.0,f,f,2013-12-01
