projectid,is_exciting,at_least_1_teacher_referred_donor,fully_funded,at_least_1_green_donation,great_chat,three_or_more_non_teacher_referred_donors,one_non_teacher_referred_donor_giving_100_plus,donation_from_thoughtful_donor,great_messages_proportion,teacher_referred_count,non_teacher_referred_count
bafa278947bf02747396f69ca147c4e7,f,f,t,f,f,f,t,f,0.0,0.0,1.0
c5d0d2d430c52dd6c344da7654035d34,t,t,t,t,t,t,f,f,80.0,5.0,6.0
de8db2116725411ac69cb6bf47820957,f,f,t,f,f,f,t,f,0.0,0.0,1.0
21d56f2da52d6942fc51bd8dd1baf021,t,t,t,t,t,t,f,f,100.0,1.0,4.0
5e4b4ceb90994b42e414fee101529833,t,t,t,t,t,t,f,f,66.0,7.0,9.0
8cb13a859a5168da52788eff46e2076e,t,t,t,t,t,t,t,f,84.0,1.0,10.0
f2dcf88aeaa59ff877795f38a4843216,f,f,t,t,f,f,t,f,,0.0,1.0
1851c8d784af5e1ef2ec4af080b8df0e,f,,f,,f,,,,,,
fc3f756b864737ed9e8b0622dd1e374c,t,t,t,t,t,t,t,f,90.0,2.0,11.0
40134038e09549696a207bb524cef692,f,f,f,t,f,f,f,f,50.0,0.0,1.0
ce6a385b0d6583b8de21659a8ac29320,f,f,t,t,f,t,t,f,33.0,0.0,3.0
12fae74906b1ba6191ce68264eba7c28,t,t,t,t,t,t,t,f,77.0,9.0,4.0
92dad61e78364e7ca8ba3873a142404b,f,f,t,f,t,t,t,f,66.0,0.0,5.0
79d6e8a317ca7523f69980898e6c8598,f,f,t,t,f,t,f,f,22.0,0.0,10.0
4b9b60d118378640e1d5a401627d3b1d,f,t,t,t,f,t,t,f,57.0,1.0,4.0
2097d133c4feacf7663c2474e2f2d00a,f,t,t,t,f,t,f,f,47.0,1.0,21.0
63f9dd42c58274f186a879abd44fa0d3,t,t,t,t,t,f,t,f,75.0,3.0,1.0
ab9917b7f2db9730ee777fa153099b57,t,t,t,t,t,t,t,f,83.0,4.0,3.0
c35996f64a70be9d676cf369325f4f50,f,f,f,t,f,t,t,f,,0.0,3.0
258fd25c7a484637d8e9e3776b572b4c,t,t,t,t,t,t,f,f,71.0,4.0,5.0
f984a48a11aece5badaf4526f6473cef,f,f,t,t,f,t,f,f,45.0,0.0,11.0
85b84045b8715bc268540515a1a26001,f,f,t,f,t,t,t,f,100.0,0.0,3.0
fe25a965cd0d2bce6c75ea53d80a7bf7,t,t,t,t,t,f,t,f,83.0,2.0,1.0
01d9f7d8b7ae9724ec634cd14e83acf9,t,t,t,t,t,t,f,f,63.0,3.0,10.0
02d9bb6c9062b79716bd6c7f4f48cdfa,t,t,t,t,t,t,t,f,94.0,8.0,10.0
dc9fd050aae6df551b13d6afc213787b,t,t,t,t,t,t,t,f,81.0,6.0,11.0
8a057c27eb18b2ce292991f021e69762,f,t,t,t,f,t,t,f,20.0,1.0,16.0
e7f1e8c089314c50bc8dbce2cc3aa8ee,t,t,t,t,t,t,t,f,71.0,4.0,3.0
8dd907e401c499c450472c19d5c7ccf7,f,t,t,t,f,t,t,f,33.0,1.0,6.0
b1e4d3a13ccc172b6b6dba3278d7bd47,t,t,t,t,t,t,t,f,80.0,1.0,5.0
dab2bbbddbc1ea994ad95aacf9dc96a7,t,t,t,t,t,f,t,f,83.0,1.0,2.0
66b251dfccd574c16c76dc7882a4498a,t,t,t,t,t,f,t,f,100.0,1.0,2.0
d37def746dfa8effe68a238a3a9da688,t,t,t,t,t,t,t,f,100.0,1.0,3.0
a395da37a08e68a2a3d47f98c39efc48,f,,f,,f,,,,,,
45a50bb2ff03aae3974916597ad30df5,t,t,t,t,t,t,f,t,64.0,2.0,14.0
850f816bb15fe308f642ffdd0d20a6c4,f,f,t,t,t,t,t,f,100.0,0.0,6.0
6e78941a2474db68ad54e92d6c3661ce,t,t,t,t,t,t,t,f,100.0,3.0,6.0
97af53ec05d55a0ec5f875d6cc3e5d33,t,t,t,t,t,f,t,f,100.0,1.0,2.0
d92a71847ea0de4fec7610622341f46f,f,f,t,t,t,t,t,f,100.0,0.0,7.0
2354fb501444892dede503e826d8a341,t,t,t,t,t,t,t,f,75.0,1.0,3.0
d4f7a2d12eee24a02b3cb74c365321a0,t,t,t,t,t,t,t,f,75.0,2.0,5.0
6d914ae4cd4a73a3ee661d99c5c4f4ba,f,f,t,t,f,t,f,f,0.0,0.0,4.0
459541e9e978e1e8c519525117a1536d,f,,f,,f,,,,,,
482a0d1ba36f70c58b4bead2c03930b4,t,t,t,t,t,f,t,f,100.0,1.0,2.0
aa77421ce380d414b6f611babd7a1b4b,f,,f,,f,,,,,,
5cb31ecb508a71e7fc6ef054ef4573a0,f,f,t,t,t,f,t,f,100.0,0.0,2.0
fbee6032387789dca17445ccda33f7a3,t,t,t,t,t,t,t,f,66.0,1.0,8.0
b2e9600290054a5e9c99ce670db25ae4,f,f,t,t,f,f,t,f,50.0,0.0,2.0
78825b86ab54aea1eaa26d35bdde0151,f,f,f,t,t,t,f,f,75.0,0.0,5.0
a65621a062bffca71d689373cd8cf4be,t,t,t,t,t,t,t,f,66.0,1.0,10.0
31ae8204dc52847c804d341905900751,t,t,t,t,t,t,t,f,63.0,5.0,8.0
a810e4de518430c538ccc42d8c96843a,t,t,t,t,t,t,f,f,92.0,7.0,5.0
f5bd877f939e0a547427baab2ea4029f,t,t,t,t,t,t,t,f,85.0,1.0,10.0
0b5607d13c9e4ad6330eab31cb354476,t,t,t,t,t,t,t,f,70.0,9.0,19.0
4ffc2b2746734defa8b37e3d8a69704d,f,t,t,t,f,f,t,f,42.0,7.0,2.0
ce93b219db91100ebbf88f60f807cb4d,f,f,f,t,f,f,t,f,,0.0,1.0
964b151abd380ef68bff7445f89cf3b8,t,t,t,t,t,f,t,f,100.0,1.0,1.0
a6e0d1e00572c41b532ac8e600e8f450,t,t,t,t,t,f,t,f,85.0,8.0,1.0
d2f7be45f8357244cd7d22a4be0b2159,t,t,t,t,t,t,t,f,62.0,4.0,6.0
70a78df2a6aaaefb4d5bee444a8abf4a,f,,f,,f,,,,,,
501cc9686902a47834f09256c6e8c85e,f,t,t,t,f,t,t,f,58.0,4.0,6.0
63228ccd1e037b08572d798083981131,t,t,t,t,t,t,t,f,75.0,4.0,7.0
7a1b33ba4361387872ff1e6b78cf7b92,t,t,t,t,t,t,t,f,80.0,3.0,8.0
f0cf8b62850ba3e09ba6f496154aee08,f,f,t,t,t,t,t,f,100.0,0.0,7.0
d07be6af189410e5ea5ece18526d6601,t,t,t,t,t,t,t,f,66.0,2.0,8.0
2d04836da0a8ee23d2c55ac0e89c8aca,t,t,t,t,t,t,t,f,100.0,1.0,11.0
a6c5166b88cb4418d49e8964bdd7d5b8,t,t,t,t,t,t,f,f,63.0,5.0,5.0
a9cc82db59517b1a879b9d982ab846b6,f,,f,,f,,,,,,
694f8ba79f5df1ec5a8fd8b81bf5aade,f,f,f,t,t,f,t,f,100.0,0.0,1.0
df51fff8df53fb0f42c6dd8224f78d61,f,,f,,f,,,,,,
c111fcc95893d7508eef93ed78b60033,t,t,t,t,t,f,t,f,100.0,1.0,1.0
16c19e49bbec4e600a85886fe7cc20c6,f,f,f,f,t,f,f,f,100.0,0.0,2.0
382588efb51762c80b0d4115b23746a9,f,f,t,f,t,f,t,f,100.0,0.0,1.0
94b9d4b38560de60629621dd4338e5e1,f,f,f,f,t,f,f,f,100.0,0.0,1.0
84fc42ddd5da4d029b6c14dc00834e9d,f,t,t,t,f,t,t,f,0.0,2.0,4.0
fd6e2353e1ca83b59cae3a7dd43be723,f,f,t,f,f,f,t,f,,0.0,1.0
904f0110c75236118089bdd9f6cc3c72,f,f,t,f,f,f,t,f,,0.0,2.0
334be152d9f9506c30263ba42f512473,f,f,t,t,f,f,t,f,,0.0,1.0
400e751d56e661f82859af79563fec76,t,t,t,t,t,f,t,f,75.0,2.0,2.0
37ec0625b84c77523bc3764933e8e42e,t,t,t,t,t,t,t,f,75.0,1.0,3.0
b7df9c8cf65b77bd93360e2bf6ea254c,t,t,t,t,t,t,t,f,100.0,2.0,3.0
0767e836a56ae8c13feeefcb8af0ce58,f,f,t,f,f,f,t,f,0.0,0.0,1.0
22f7aadd4a21c2f4a879c9043dcba388,f,f,t,f,f,f,t,f,33.0,0.0,2.0
d43de7ec72a4c0bbc463cbd6051d172a,t,t,t,t,t,t,t,f,66.0,2.0,5.0
836a5f4cdb5c145f12c18443d4763bbe,f,f,t,t,f,t,t,f,50.0,0.0,4.0
56a1212dff1dd0d2c46c496ae7abf74c,f,f,f,f,f,f,f,f,0.0,0.0,1.0
569ab4589dba228269c1a1c2c0159c73,t,t,t,t,t,t,t,f,75.0,2.0,3.0
429ff1132fc35b94e662141f833c6bb8,t,t,t,t,t,f,t,f,100.0,1.0,2.0
478c8c19873fd81e9665686ab19e0538,t,t,t,t,t,t,t,f,71.0,1.0,6.0
b7cac9352fad6589cbabbb17cbf472f9,t,t,t,t,t,t,t,f,75.0,1.0,4.0
0f0809720d8e49b76efac0d5948979e6,f,f,t,t,t,f,t,f,100.0,0.0,1.0
5a0fa7731be2e176d160de64864e7fd5,f,f,t,t,f,t,t,f,50.0,0.0,9.0
0a67833896044f157e6e9d498f3bd84b,t,t,t,t,t,t,t,f,66.0,1.0,9.0
6cc73c3394061b98421ae05fb0a962e8,f,f,t,t,t,t,t,f,80.0,0.0,6.0
5fc6e97409be114bca8f74524d7df5c0,f,f,t,t,t,f,t,f,100.0,0.0,1.0
dac0f3d7c58706a4f571b2cc10a47489,t,t,t,t,t,f,t,f,100.0,2.0,1.0
3a9e94f18bdde4d21d7419b6f75c0953,f,,f,,f,,,,,,
e6bc0845c32f14fa9d59aad970169fb5,t,t,t,t,t,t,f,f,75.0,3.0,4.0
d3a4950a20175a2ac28cb36cd19c8eb2,t,t,t,t,t,t,t,f,75.0,1.0,4.0
c31854f7dd77a53f52db4625fc288b4a,f,f,t,f,f,f,t,f,0.0,0.0,2.0
8cd7ac45a1d28407c038e892dd38c7e1,f,f,t,t,t,t,t,f,66.0,0.0,3.0
e2cc584e5e42ec969eae007f040ea9fa,f,f,t,t,f,f,t,f,,0.0,1.0
74137280126c8c804afe11d8393046ca,t,t,t,t,t,t,t,f,85.0,3.0,5.0
bc3a825bbedbf443d13fcf7805ebe3fc,t,t,t,t,t,f,t,f,66.0,3.0,2.0
578c05d931750141129e1d325019b483,t,t,t,t,t,t,t,f,80.0,2.0,3.0
658b3d567d148eb182cb4b81a41c5363,t,t,t,t,t,t,t,f,88.0,1.0,8.0
c677473ded73f36e3164f4e00e5aa384,t,t,t,t,t,t,t,f,100.0,11.0,4.0
5b0894507fea10d52285d386880bdb18,t,t,t,t,t,t,t,f,80.0,2.0,6.0
12467f29f2921b0801192cf529dc9e54,f,,f,,f,,,,,,
f8ef1367d2ec165f91e772bb7b04a3ec,t,t,t,t,t,t,t,f,100.0,1.0,6.0
8f1d225879245a5d04c1ead95f1767f3,f,f,t,f,f,t,t,f,0.0,0.0,4.0
44e963e2dfce0e8257071cd0994e6af2,t,t,t,t,t,t,f,f,64.0,4.0,8.0
42e4f67c0135c48232bd8895a2335503,f,t,t,t,f,t,f,f,50.0,3.0,11.0
2b97ac582c82ee8b77e71bf4f41fb9dd,f,t,f,t,t,f,f,f,100.0,1.0,1.0
abc8f0d2cd4b51c61a0ac85fccb57dab,t,t,t,t,t,t,t,f,100.0,1.0,3.0
5c84646355be3245172146882f1544d2,f,f,t,t,f,t,t,f,,0.0,3.0
a7fd441442ad16a37bcdfc2f3f1458f5,f,t,t,t,f,t,t,f,40.0,2.0,3.0
1868f8b1b4c5b5b2585bc89655bc0fdd,t,t,t,t,t,t,f,f,88.0,4.0,3.0
bde99bad4e774235137adba49bfda68f,f,f,f,t,t,t,f,f,75.0,0.0,5.0
ec15d3ce72888ff12ca6e857c1ca037f,f,,f,,f,,,,,,
1eb133d707c7d232d4666c851b1d46e5,t,t,t,t,t,t,t,f,100.0,1.0,3.0
39a3c0b7153982f65bf12703b3a52fd7,f,f,t,t,t,t,t,f,100.0,0.0,7.0
c030c8bd733ba509c6f6ba915538f927,f,,t,,f,,,,,,
b830c6585ec931526264b033f971d860,f,t,f,t,f,f,t,f,50.0,2.0,2.0
78af11b170ffa2c093fcd22215037528,t,t,t,t,t,t,t,f,84.0,1.0,27.0
9beca68fddd88e58812e0c702f0e4298,f,f,t,f,f,f,t,f,,0.0,1.0
3fa6094931df8a291e64e7cfdd334d36,t,t,t,t,t,t,t,f,78.0,1.0,25.0
e9f5388e016860d56f004b05ed1e29e8,f,t,t,t,f,t,f,f,46.0,14.0,4.0
5c4aa5f652d294f61bfad18185f600b5,f,f,t,f,f,f,t,f,0.0,0.0,1.0
220e8001fa0b62f5e8667ba9dec3ef32,f,f,t,t,f,f,t,f,,0.0,1.0
acdff415a7fdfa3c83e8c97e781547e2,t,t,t,t,t,f,t,f,63.0,7.0,2.0
0a6ed9019958fa38a3e320fa8047360e,t,t,t,t,t,t,t,f,85.0,3.0,5.0
2006747d6d529420616fb821fcb2206a,t,t,t,t,t,t,t,f,66.0,5.0,4.0
7dbb274c2e47e91378371432a04275e7,t,t,t,t,t,t,t,f,70.0,6.0,15.0
61987299c30df765303543006e1cc737,t,t,t,t,t,t,f,f,69.0,2.0,8.0
61c93a8f5eb8ebbbe446918e00e66f3a,f,f,f,t,t,f,f,f,100.0,0.0,1.0
c0a3e6084338133c202285a137da6869,t,t,t,t,t,t,f,f,100.0,1.0,3.0
551765497fc2e57fb63c98eda6c8b772,t,t,t,t,t,t,f,f,71.0,1.0,5.0
b8ad5d73fa11ed87da257c2d53e3b76f,f,f,t,f,f,f,t,f,0.0,0.0,2.0
49a768784ebf8e12800fc5a089416ec3,t,t,t,t,t,t,t,f,66.0,2.0,10.0
eea69fcc49f006f92ef538f8335e2e8f,t,t,t,t,t,f,t,f,66.0,1.0,2.0
7cd5b84f9b0aee3b13cb32837984a484,f,f,t,t,f,f,t,f,,0.0,1.0
f02154c9bfff5ea5c30a88fa2ec42ee6,t,t,t,t,t,t,f,f,92.0,1.0,12.0
b58a9b566ae02785ddd6ed892d834bb9,f,f,t,t,t,t,t,f,100.0,0.0,5.0
cd35c7a6d73e192018a567fb1931ce96,t,t,t,t,t,t,f,f,72.0,4.0,6.0
6fefedeff4a7c70080a766f4dc9cacd6,f,f,t,t,f,t,f,f,,0.0,4.0
2bd5efd2b18d6b184a9839b6471dce40,t,t,t,t,t,t,t,f,85.0,1.0,5.0
391fbd730182b7be60d29c68f06273b7,t,t,t,t,t,f,t,f,100.0,1.0,2.0
92bfb7cc7c2c0bfbb18f232c2719e138,f,,f,,f,,,,,,
8c61b67decafacf686473ebf06d02215,t,t,t,t,t,f,t,f,100.0,1.0,1.0
b6e318a4b414bccaa1d735024bccd296,t,t,t,t,t,t,f,f,81.0,16.0,25.0
0ad20dfec74b35e080d8f658b2aa40dc,f,t,t,t,f,f,f,f,50.0,4.0,2.0
309675e0cdbd54d2ea5670fc98cc63e9,f,t,t,t,f,f,f,f,37.0,4.0,2.0
4ede8166e4d9db8b52c7d28839618227,t,t,t,t,t,t,f,f,75.0,2.0,3.0
903db7c207213c6c4fc27c52d5fccaca,t,t,t,t,t,f,t,f,100.0,4.0,1.0
7c6df98e1cdbe23982ebfa871f634faf,t,t,t,t,t,t,t,f,66.0,2.0,5.0
5cb6369533548711b74c65837a754c42,t,t,t,t,t,t,t,f,75.0,6.0,6.0
cdfc2d3454b3ff234dc6a86322aecd85,f,,f,,f,,,,,,
3dc4d985368e634b09a985e49010c60c,f,f,f,t,t,t,f,f,85.0,0.0,7.0
d67fed741111cafd543a604e82c4050e,t,t,t,t,t,t,t,f,64.0,2.0,14.0
2ba9657125ac98f08c5df1979dfc997a,f,,f,,f,,,,,,
0d4ccf0f40bd8053da1a8ac2e69f4626,f,f,t,t,t,t,t,f,82.0,0.0,20.0
da8dbf51256906da13fb25363fa63b8b,f,t,t,t,t,f,f,f,85.0,5.0,2.0
1c5fbb638e5212c1db349ceda91e300e,t,t,t,t,t,t,t,f,78.0,6.0,15.0
62bcc8cfac5fc931148a9a8afc2bade3,f,,f,,f,,,,,,
95a37ccfd84f81b3031fdcbdfa05d1a5,f,f,t,t,t,t,t,f,71.0,0.0,21.0
74ea86fa6b8ea076dbc20fa369eaf4eb,t,t,t,t,t,t,f,f,80.0,6.0,4.0
bbe1aaa5da52240cc667b6f4a21909df,t,t,t,t,t,t,t,f,75.0,1.0,4.0
edf7b09c0182c4bbf7738367531b5c1f,f,f,t,f,f,f,t,f,0.0,0.0,2.0
2e7ace0be91a97d39a013539cd45e9d9,f,f,f,t,t,f,t,f,100.0,0.0,1.0
1db3e15ca8acd0a9031deb8677b91bb3,f,,f,,f,,,,,,
c7e0e3ec1ca6b4e2aa9389a3c5b87ea6,f,f,t,f,t,f,t,f,100.0,0.0,1.0
673a39d63fb00ca071e70f22f5b73b7b,f,f,t,t,f,f,t,f,,0.0,2.0
1d7650797a576868e3da5b49458313f8,t,t,t,t,t,t,t,f,63.0,3.0,10.0
68bc712ca7d49786fdde5378018b82f3,t,t,t,t,t,f,t,f,80.0,3.0,2.0
8dc516ffe6a3a0e559892e2a422652e4,t,t,t,t,t,t,t,f,66.0,6.0,6.0
e7ccd180b0a8ed52ce3f1a6a482dcd44,f,f,t,t,f,f,t,f,0.0,0.0,2.0
816efd79cb9c0ba9705f39e2c41d91a2,t,t,t,t,t,t,t,f,66.0,3.0,6.0
b8f2e6eb27321c7cfd780ca89c6a1529,f,f,t,t,t,t,f,f,83.0,0.0,7.0
86057946e60ed1b550e25964d45f2785,f,f,t,t,t,t,t,f,100.0,0.0,3.0
be8a8dd035ea4807b369036948380aea,f,t,t,t,f,f,t,f,50.0,5.0,2.0
1d47a40bafc4744272ef75b7f4efe443,f,f,t,t,t,f,t,f,100.0,0.0,2.0
2f098573c4f5cbb687ca3abb0723fe12,t,t,t,t,t,t,f,f,66.0,1.0,13.0
59dc0a5b224cf51128573f063655819c,t,t,t,t,t,t,t,f,66.0,4.0,3.0
1d9cf61e0cf467416f1be8b8b2627f47,f,f,t,t,t,t,t,f,100.0,0.0,5.0
2934a08f14b9c572855663c38d01e291,f,t,f,t,f,f,f,f,,1.0,0.0
98d97263c5cca3bdac259004cce6a3b1,t,t,t,t,t,t,t,f,81.0,2.0,13.0
1bd1484b344f170174c384d575afe60d,f,f,t,t,f,f,t,f,,0.0,2.0
e69e883c4674998c4175f496d02957f7,f,f,t,f,f,f,t,f,0.0,0.0,2.0
272e40ec68bcffd20022e35cda1ecda4,f,f,t,t,f,t,f,f,,0.0,4.0
f40eff312f41b1b5939e2051daa22eab,t,t,t,t,t,t,f,f,66.0,3.0,8.0
a8c6b6458db1394cef190809d34cb7d3,t,t,t,t,t,f,t,f,80.0,3.0,2.0
18dd355c237298af31414eeb4781438c,t,t,t,t,t,t,t,f,85.0,1.0,4.0
377bcd339ca7464250d749d0ad77aace,f,f,f,f,t,f,t,f,100.0,0.0,1.0
26fd6f1b3e21ea619da339d214a155cb,f,f,t,t,f,f,t,f,,0.0,2.0
b55d76752beb312158e06367dc494a66,t,t,t,t,t,t,t,f,75.0,1.0,3.0
d74e79f31a319559a88006234923bbc9,f,f,t,t,t,t,t,f,75.0,0.0,5.0
1439e88c09c9e9272f57d075e1cbfb63,t,t,t,t,t,t,t,f,100.0,1.0,5.0
06b3b453994ce7024af1d834ac1fa06b,f,t,t,t,f,f,t,f,0.0,2.0,2.0
a98147f240abb9f734b5796c575d44a6,t,t,t,t,t,t,t,f,100.0,1.0,7.0
0d09f6f6113d4786359103a4dc58f1cc,t,t,t,t,t,t,t,t,74.0,1.0,40.0
940e694bb73ba7e07bb5ae84474fe765,t,t,t,t,t,t,f,f,78.0,10.0,5.0
4f62943643e97e201c44608a666e3c2f,f,,f,,f,,,,,,
40ebfdc9fd4f0fac29bcf4bd26a28bb0,t,t,t,t,t,t,t,f,80.0,3.0,3.0
ccb2498bf349cc7be979b3031b33adfa,f,t,t,t,f,t,t,f,50.0,4.0,4.0
9515cb8bb92a44568d11cc9e8eef56f4,t,t,t,t,t,t,t,f,80.0,1.0,3.0
097024a1221c77c68e56024da7092266,f,f,f,t,t,f,f,f,100.0,0.0,2.0
f05ebdb6031d7da4a353ce5a44e60ed8,f,f,f,t,t,t,f,f,66.0,0.0,3.0
376d0011b47cf8bcb0ea32a81292048b,t,t,t,t,t,f,t,f,66.0,1.0,2.0
feedd86d7276eac5513cc923432e89d5,f,f,t,t,f,f,t,f,,0.0,2.0
814328f82788ac8292b6bcc250f9cfcf,f,t,t,t,f,f,f,f,55.0,7.0,2.0
1c4c83fb7d990ccfe480eea8e98bc5ff,t,t,t,t,t,t,t,f,90.0,1.0,13.0
8afdb2d4aceb97b4e0822d8689f0968d,f,f,t,t,f,f,f,f,50.0,0.0,2.0
4ef15b6713fc7531f5afb1c75fdf0646,f,t,t,t,f,t,t,f,33.0,4.0,3.0
b742b60dda88b497f1ccf9cce0ad06fd,t,t,t,t,t,f,t,f,70.0,7.0,2.0
aa1caf72820dc3a7596ea15c594ac743,f,,f,,f,,,,,,
8811c04cdbb7e38896e8f631c7dc4777,t,t,t,t,t,f,t,f,100.0,1.0,1.0
cd54a6f59e2dcda23695e7292d8af695,t,t,t,t,t,t,t,f,66.0,4.0,5.0
05bdf4034262f7647c01212020dbde5c,f,,f,,f,,,,,,
5f229ae9e5312155b1dc35f47c4cd7c8,t,t,t,t,t,t,f,f,100.0,1.0,4.0
4e632ff9c15e17d0f7f5dba89c94a4f5,f,f,f,t,t,f,f,f,100.0,0.0,1.0
6029fc82a089840f7aa118389e8178fd,t,t,t,t,t,t,t,f,72.0,4.0,6.0
5201c362451ca22db64ce9fa2e44c983,t,t,t,t,t,t,t,f,66.0,2.0,6.0
c901a75470b89fd1a9c8069c39b85fc1,f,f,t,f,t,t,t,f,66.0,0.0,3.0
0667f5ecf47ebaf2707e6824dce18047,f,f,t,t,f,f,f,f,50.0,0.0,2.0
8ec24962d17ffb46c76d426dff151334,t,t,t,t,t,f,t,f,66.0,1.0,2.0
cc0b04a79703759056923e42a62cbd79,t,t,t,t,t,t,t,f,71.0,4.0,7.0
75e0996129aea3ea534993531b054dd1,f,,f,,f,,,,,,
20e819f83f1d2472408576a88c12d536,t,t,t,t,t,t,t,f,75.0,1.0,14.0
8e6826bb10814e77b7c193872d094234,f,f,t,t,f,f,t,f,50.0,0.0,2.0
e9564bf53792818e7daef46919396a02,t,t,t,t,t,t,t,f,89.0,6.0,12.0
2072b39386aad80288e81424eb76124a,t,t,t,t,t,t,t,f,100.0,3.0,4.0
8248b1791608e5fe5d47fbf6cf7b5b32,t,t,t,t,t,t,f,f,70.0,4.0,5.0
92db8fd0e7893bff197ab5107b076293,f,,f,,f,,,,,,
b9a9ea05d6f66338db72a5669144546b,f,f,t,t,f,t,t,f,25.0,0.0,4.0
0ec55920d53cd3be7919c5d460972faa,f,f,t,f,f,t,t,f,50.0,0.0,4.0
f75ac5205f6cc19512638a6521bbd4e7,t,t,t,t,t,f,t,f,66.0,2.0,1.0
c6a827248bc2d388cfe93271d7ac0ba4,t,t,t,t,t,t,t,f,80.0,1.0,5.0
17ed9f1d8c760ce6e41b10178296868a,t,t,t,t,t,t,t,f,72.0,1.0,29.0
f3db660a1c4569db4b3d11095826ac80,f,f,t,f,f,t,t,f,0.0,0.0,3.0
6e3294922cc73427bc20300d2baa430d,t,t,t,t,t,t,t,f,90.0,4.0,10.0
961080afe8679e9341c91c04d0cac596,t,t,t,t,t,t,t,f,75.0,1.0,5.0
24aaa43368bf2f8d07343971acf70581,t,t,t,t,t,t,f,f,87.0,3.0,6.0
fda9e04327c1486bfb63c0be571ca84d,f,f,t,f,f,f,t,f,0.0,0.0,2.0
ce7d0bbfbec8f1a985518e8017bb76a5,f,t,t,t,f,t,t,f,44.0,2.0,8.0
dabba6eedb29d837314629093a68992f,t,t,t,t,t,t,t,f,81.0,26.0,11.0
8817ecadf25d6885cf5ff7fea26e0b96,f,f,t,t,f,t,t,f,33.0,0.0,3.0
57a8317e9b3a310bcf0678bf675822c8,t,t,t,t,t,f,t,f,75.0,2.0,2.0
a058875a0917e67d4a1848975a8276b7,t,t,t,t,t,t,f,f,75.0,3.0,8.0
83970fda6a09aec091f49b61e3d9ea90,f,f,t,t,t,t,t,f,100.0,0.0,6.0
