id,authorized_flag,card_id,city_id,category_1,installments,category_3,merchant_category_id,merchant_id,month_lag,purchase_amount,purchase_date,category_2,state_id,subsector_id
149,Y,C_ID_db5c329a05,42,N,1,B,278,M_ID_7f31444e32,1,-0.58707079,422317,3.0,19,37
150,Y,C_ID_db5c329a05,147,N,1,B,705,M_ID_5154015383,2,-0.41183161,422962,3.0,19,33
151,Y,C_ID_db5c329a05,-1,Y,1,B,574,M_ID_6f274b9340,2,-0.74089719,423488,,-1,22
152,Y,C_ID_db5c329a05,331,N,1,B,307,M_ID_3d775a00f7,1,-0.46685869,422308,1.0,16,19
153,Y,C_ID_db5c329a05,147,N,1,B,307,M_ID_b69a420fa5,1,-0.55156314,422769,3.0,19,19
154,Y,C_ID_db5c329a05,148,N,1,B,80,M_ID_96de49e9f2,1,-0.32111656,422684,3.0,19,37
155,Y,C_ID_db5c329a05,148,N,1,B,491,M_ID_ee3c2b40ad,1,-0.6266957,422689,3.0,19,3
156,Y,C_ID_db5c329a05,137,N,1,B,703,M_ID_e2145cb946,1,-0.05568825,422223,3.0,19,29
157,Y,C_ID_db5c329a05,137,N,1,B,705,M_ID_1691e83915,2,-0.70167799,423326,3.0,19,33
158,Y,C_ID_db5c329a05,148,N,1,B,307,M_ID_66fbadb1d9,1,-0.59664268,422677,3.0,19,19
159,Y,C_ID_db5c329a05,137,N,1,B,80,M_ID_b205fd864e,1,-0.69987481,422190,3.0,19,37
160,Y,C_ID_db5c329a05,137,N,4,C,705,M_ID_b1fc88154d,2,2.25538926,423496,3.0,19,33
161,Y,C_ID_db5c329a05,137,N,1,B,80,M_ID_01bd81a96b,1,-0.72136273,422337,3.0,19,37
162,Y,C_ID_db5c329a05,-1,Y,1,B,302,M_ID_3700a4ec5f,2,-0.14584732,423465,,-1,22
163,Y,C_ID_db5c329a05,113,N,1,B,705,M_ID_3823cd7e16,2,-0.73641929,423499,3.0,19,33
164,Y,C_ID_db5c329a05,137,N,1,B,795,M_ID_44a7a08094,2,-0.31113895,423375,3.0,19,29
165,Y,C_ID_db5c329a05,137,N,1,B,307,M_ID_031acd56e5,2,-0.65073812,423131,3.0,19,19
166,Y,C_ID_db5c329a05,211,N,1,B,195,M_ID_dfe4391676,1,-0.73413526,422197,3.0,19,34
167,Y,C_ID_db5c329a05,137,N,1,B,367,M_ID_3421caaf3a,1,-0.72436803,422190,3.0,19,16
168,Y,C_ID_db5c329a05,113,N,1,B,683,M_ID_9ebc09ac48,1,-0.69626845,422692,3.0,19,34
169,Y,C_ID_db5c329a05,137,N,1,B,683,M_ID_3c44c89cb5,1,-0.73188128,422341,3.0,19,34
170,Y,C_ID_db5c329a05,137,N,1,B,307,M_ID_9761205196,2,-0.68469804,423377,3.0,19,19
171,Y,C_ID_db5c329a05,137,N,1,B,309,M_ID_413383867a,1,-0.6883044,422342,3.0,19,21
172,Y,C_ID_db5c329a05,148,N,1,B,80,M_ID_df2709040d,1,-0.64944584,422652,3.0,19,37
173,Y,C_ID_db5c329a05,137,N,1,B,544,M_ID_a5e5e3e2cc,2,-0.14990448,423492,3.0,19,29
174,Y,C_ID_db5c329a05,211,N,1,B,278,M_ID_410cf0f6dd,1,-0.63120365,422196,3.0,19,37
175,Y,C_ID_db5c329a05,69,N,1,B,561,M_ID_50f575c681,1,-0.64773282,422694,1.0,9,7
176,Y,C_ID_db5c329a05,137,N,1,B,179,M_ID_223f70933b,2,-0.71039337,423473,3.0,19,8
177,Y,C_ID_db5c329a05,148,N,1,B,278,M_ID_7c245da5f2,1,-0.28312954,422659,3.0,19,37
178,Y,C_ID_db5c329a05,137,N,1,B,278,M_ID_f7377c9cd7,1,-0.63120365,422701,3.0,19,37
179,Y,C_ID_db5c329a05,211,N,1,B,607,M_ID_07edacbccd,1,-0.59664268,422192,3.0,19,29
180,Y,C_ID_49e43a157c,57,N,0,A,278,M_ID_ff958c9b95,2,-0.72436803,423313,5.0,5,37
181,Y,C_ID_49e43a157c,-1,N,0,A,507,M_ID_f4928c68d3,2,-0.39108,423584,,-1,14
182,Y,C_ID_49e43a157c,181,N,0,A,80,M_ID_25adab779b,2,-0.72587068,423300,5.0,5,37
183,Y,C_ID_49e43a157c,181,N,0,A,422,M_ID_8440368d30,1,-0.49449245,422654,5.0,5,27
184,Y,C_ID_49e43a157c,149,N,0,A,278,M_ID_bfa4319b7b,2,-0.68788366,423489,5.0,20,37
185,Y,C_ID_49e43a157c,181,N,0,A,367,M_ID_eea8d62368,1,-0.29476006,422626,5.0,5,16
186,Y,C_ID_49e43a157c,181,N,0,A,373,M_ID_07471c6d73,2,-0.71685477,423300,5.0,5,18
187,Y,C_ID_49e43a157c,57,N,0,A,307,M_ID_6a922fd542,1,-0.59664268,422749,5.0,5,19
188,Y,C_ID_49e43a157c,181,N,0,A,705,M_ID_5bae84e7d0,1,-0.32711214,422610,5.0,5,33
189,Y,C_ID_49e43a157c,181,N,0,A,630,M_ID_6b74a3fd13,1,0.1396564,422655,5.0,5,36
190,Y,C_ID_49e43a157c,143,N,0,A,705,M_ID_5634fd83e0,2,-0.55105224,423609,5.0,5,33
191,Y,C_ID_49e43a157c,143,N,0,A,45,M_ID_11d776d726,1,0.60547827,422319,5.0,5,18
192,Y,C_ID_49e43a157c,143,N,0,A,651,M_ID_32288ef47a,2,-0.14584732,422989,5.0,5,2
193,Y,C_ID_49e43a157c,143,N,0,A,458,M_ID_ab30954c3b,1,-0.64172221,422461,5.0,5,20
194,Y,C_ID_49e43a157c,143,N,0,A,307,M_ID_737a3f4e23,2,-0.42834575,423590,5.0,5,19
195,Y,C_ID_49e43a157c,149,N,0,A,307,M_ID_fda02f2539,2,-0.49500335,423494,5.0,20,19
196,Y,C_ID_49e43a157c,169,N,0,A,307,M_ID_51b4a616bb,2,-0.34295008,423488,5.0,20,19
197,Y,C_ID_49e43a157c,231,N,0,A,491,M_ID_b8d9ef1ac7,2,-0.65674872,423250,1.0,9,3
198,Y,C_ID_49e43a157c,57,N,0,A,19,M_ID_6e4dd54907,1,-0.65689899,422848,5.0,5,36
199,Y,C_ID_57914e262a,116,N,0,A,57,M_ID_c96e94e22d,1,-0.73443579,422197,1.0,9,7
200,Y,C_ID_57914e262a,188,N,0,A,278,M_ID_de68864494,1,-0.71416503,422793,1.0,9,37
201,Y,C_ID_57914e262a,69,N,0,A,561,M_ID_50f575c681,1,-0.6659149,422831,1.0,9,7
202,Y,C_ID_57914e262a,244,N,0,A,367,M_ID_01f3980256,1,-0.72289543,422387,3.0,2,16
203,Y,C_ID_57914e262a,69,N,0,A,80,M_ID_c03b62d83d,2,-0.71685477,423078,1.0,9,37
204,Y,C_ID_57914e262a,116,N,0,A,307,M_ID_038353dae3,1,-0.70182826,422252,1.0,9,19
205,Y,C_ID_57914e262a,231,N,0,A,278,M_ID_4ccdd39e31,1,-0.68680175,422434,1.0,9,37
206,Y,C_ID_57914e262a,244,N,0,A,842,M_ID_70b99273ee,2,-0.73037863,423187,3.0,2,37
207,Y,C_ID_57914e262a,244,N,0,A,705,M_ID_a1a516f196,1,-0.71359402,422415,3.0,2,33
208,Y,C_ID_57914e262a,244,N,0,A,683,M_ID_e5667e0a6c,1,-0.69656898,422900,3.0,2,34
209,Y,C_ID_57914e262a,244,N,0,A,705,M_ID_b98db225f5,1,-0.73188128,422348,3.0,2,33
210,Y,C_ID_9b2600d907,4,N,1,B,706,M_ID_3c8482dcee,1,-0.52601807,422602,2.0,10,26
211,Y,C_ID_9b2600d907,25,N,1,B,705,M_ID_d5d1bf246c,1,-0.53700245,422191,3.0,7,33
212,Y,C_ID_9b2600d907,-1,Y,1,B,491,M_ID_79692349d6,2,-0.33250665,423118,,-1,3
213,Y,C_ID_9b2600d907,25,N,-1,,309,M_ID_366c36bd03,2,2.70903965,423083,3.0,7,21
214,Y,C_ID_9b2600d907,87,N,1,B,792,M_ID_22a0c2e017,1,-0.59679294,422208,3.0,11,9
215,Y,C_ID_9b2600d907,-1,Y,1,B,550,M_ID_09d7a200d1,2,0.18499139,423118,,-1,3
216,Y,C_ID_35c69e0633,248,N,0,A,222,M_ID_b438cc73b7,2,-0.67928849,423131,1.0,15,21
217,Y,C_ID_35c69e0633,248,N,0,A,705,M_ID_d763c5ba93,2,-0.64041491,423344,1.0,15,33
218,Y,C_ID_35c69e0633,33,N,0,A,557,M_ID_f6b58c51a5,1,-0.69281235,422919,1.0,15,29
219,Y,C_ID_03ef764f46,212,N,2,C,650,M_ID_7991ee82e6,1,0.00441779,419966,4.0,4,29
220,Y,C_ID_03ef764f46,69,N,3,C,642,M_ID_725a60d404,2,0.30494803,420351,1.0,9,33
221,Y,C_ID_7efe2311b7,21,N,0,A,690,M_ID_cdb28116ab,1,-0.67242138,420228,1.0,9,1
222,Y,C_ID_7efe2311b7,21,N,0,A,705,M_ID_e8ec9aca3c,1,-0.70065619,420277,1.0,9,33
223,Y,C_ID_7efe2311b7,21,N,0,A,278,M_ID_7820531345,1,-0.69656898,420214,1.0,9,37
224,Y,C_ID_7efe2311b7,21,N,0,A,180,M_ID_7389bcb8b8,1,-0.69386421,420323,1.0,9,20
225,Y,C_ID_7efe2311b7,21,N,0,A,506,M_ID_4fba07ac2f,1,-0.56118011,420211,1.0,9,30
226,Y,C_ID_7efe2311b7,69,N,0,A,80,M_ID_5ba019a379,1,-0.70032561,420513,1.0,9,37
227,Y,C_ID_f2ff275b30,158,N,1,B,557,M_ID_f80e9af72b,2,-0.57575583,420661,1.0,15,29
228,Y,C_ID_f2ff275b30,19,N,1,B,307,M_ID_7879e5a980,2,0.26421116,420566,1.0,9,19
229,Y,C_ID_f2ff275b30,90,N,-1,,45,M_ID_28bd6c0414,2,-0.10076779,420704,1.0,15,18
230,Y,C_ID_f2ff275b30,158,N,1,B,307,M_ID_6cdf2d673f,2,-0.18390948,420322,1.0,15,19
