merchant_id,merchant_group_id,merchant_category_id,subsector_id,numerical_1,numerical_2,category_1,most_recent_sales_range,most_recent_purchases_range,avg_sales_lag3,avg_purchases_lag3,active_months_lag3,avg_sales_lag6,avg_purchases_lag6,active_months_lag6,avg_sales_lag12,avg_purchases_lag12,active_months_lag12,category_4,city_id,state_id,category_2
M_ID_3de17ccd0f,3328,705,33,-0.05747065,-0.05747065,N,E,E,73.11,36.0,3,152.64,65.66666667,6,221.38,84.375,12,N,146,19,3.0
M_ID_3393255951,93039,560,34,-0.05747065,-0.05747065,N,E,E,32.1,11.55555556,3,278.91,93.5,6,377.01,132.05555556,12,N,308,16,1.0
M_ID_0908e8f8a5,21437,278,37,-0.05747065,-0.05747065,N,E,E,67.96,48.66666667,3,112.64,85.0,6,103.12,69.41666667,12,Y,251,8,3.0
M_ID_e7aff61d57,6482,367,16,-0.05747065,-0.05747065,N,E,E,20.45,4.0,3,44.63,14.33333333,6,96.04,32.33333333,12,N,-1,9,1.0
M_ID_ee6146f2aa,3143,705,33,-0.05747065,-0.05747065,N,E,E,119.63,80.5,3,157.87,108.0,6,160.91,110.41666667,12,Y,277,13,4.0
M_ID_64d6454b00,7859,705,33,-0.05747065,-0.05747065,N,E,E,136.18,42.33333333,3,171.2,52.66666667,6,192.94,55.83333333,12,Y,143,5,5.0
M_ID_4eb5a9747a,5945,560,34,-0.05747065,-0.05747065,N,E,E,7.73,1.33333333,3,117.2,92.33333333,6,194.61,147.5,12,Y,69,9,1.0
M_ID_5d7cc44c60,21987,705,33,-0.05747065,-0.05747065,N,E,E,3.16,2.11111111,3,9.71,7.44444444,6,53.88,29.88888889,12,N,-1,9,1.0
M_ID_b364fb927f,65689,557,29,-0.05747065,-0.05747065,N,E,E,35.17,24.66666667,3,48.03,32.66666667,6,58.9,39.75,12,N,113,19,3.0
M_ID_3fae90aa57,3737,420,31,-0.05747065,-0.05747065,N,E,E,9.49,3.33333333,3,11.57,3.5,6,13.82,3.5,12,N,296,15,1.0
M_ID_e123b4089c,50931,506,30,-0.05747065,-0.05747065,N,E,E,13.21,4.66666667,3,17.72,6.83333333,6,17.79,6.58333333,12,N,-1,9,1.0
M_ID_7e854e98ab,10462,278,37,-0.05747065,-0.05747065,N,E,E,13.63,7.33333333,3,18.41,10.83333333,6,20.11,13.77777778,9,Y,69,9,1.0
M_ID_06792bcc9f,11767,278,37,-0.05747065,-0.05747065,N,E,E,5.64,6.66666667,3,24.0,35.16666667,6,50.5,73.83333333,12,N,6,9,1.0
M_ID_d346af5e4a,63191,278,37,-0.05747065,-0.05747065,N,E,E,21.76,27.0,3,28.35,33.16666667,6,32.94,37.83333333,12,Y,87,11,3.0
M_ID_77c8ac1ddb,69853,367,16,-0.05747065,-0.05747065,N,E,E,16.86,16.33333333,3,31.42,26.5,6,40.25,33.66666667,12,Y,212,4,4.0
M_ID_8f74dca813,2145,278,37,-0.05747065,-0.05747065,N,E,E,68.38,41.66666667,3,81.66,54.75,6,68.39,45.75,12,Y,161,3,3.0
M_ID_147a25c86c,18823,278,37,-0.05747065,-0.05747065,N,E,E,65.41,135.0,3,126.33,290.0,6,120.22,291.08333333,12,N,-1,13,4.0
M_ID_47b12e721f,3273,705,33,-0.05747065,-0.05747065,N,E,E,27.57,7.16666667,3,85.66,21.41666667,6,107.16,34.29166667,12,N,-1,2,3.0
M_ID_e8785ec8c5,40911,278,37,-0.05747065,-0.05747065,N,E,E,21.92,40.0,3,31.32,56.0,6,38.59,66.41666667,12,Y,212,4,4.0
M_ID_1e0e517192,23189,68,27,-0.05747065,-0.05747065,N,E,E,116.86,76.33333333,3,153.63,99.66666667,6,238.85,119.38888889,12,N,-1,9,1.0
M_ID_e8d506f76b,29655,367,16,-0.05747065,-0.05747065,N,E,E,19.16,16.83333333,3,16.06,15.4,5,16.06,15.4,5,N,-1,18,2.0
M_ID_a083285503,62968,68,27,-0.05747065,-0.05747065,N,E,E,1049.14,620.66666667,3,2079.25,1324.5,6,2126.66,1369.28571429,7,N,-1,9,1.0
M_ID_cd825ea8a2,26832,171,34,-0.05747065,-0.05747065,N,E,E,1.86,2.33333333,3,5.9,6.33333333,6,88.46,89.66666667,12,N,279,9,1.0
M_ID_8cf93f9dc1,49650,884,27,-0.05747065,-0.05747065,N,E,E,2.4,1.66666667,3,15.11,7.58333333,6,34.29,17.25,12,Y,87,11,3.0
M_ID_b0df2e2063,35,154,25,-0.05747065,-0.05747065,N,E,E,28.98,24.66666667,3,21.17,23.66666667,6,19.9,22.14285714,7,N,38,7,3.0
M_ID_303b6088a1,7613,307,19,-0.05747065,-0.05747065,N,E,E,73.84,69.33333333,3,288.56,277.66666667,6,383.99,369.25,12,Y,143,5,5.0
M_ID_252740d8d7,3089,307,19,-0.05747065,-0.05747065,N,E,E,337.61,166.16666667,3,526.07,266.75,6,606.28,309.16666667,12,N,24,9,1.0
M_ID_04d8978ccb,85356,63,27,-0.05747065,-0.05747065,N,E,E,14.63,7.5,3,26.68,12.0,6,33.07,15.66666667,12,Y,69,9,1.0
M_ID_65c928e8fd,81413,80,37,-0.05747065,-0.05747065,N,E,E,0.72,0.91666667,3,1.35,1.625,6,76.3,53.66666667,12,Y,30,17,3.0
M_ID_0f63bb368b,42592,554,25,-0.05747065,-0.05747065,N,E,E,82.11,71.11111111,3,248.08,207.66666667,6,392.84,329.41666667,12,N,24,9,1.0
M_ID_c2c4d2abe9,21342,80,37,-0.05747065,-0.05747065,N,E,E,17.83,17.55555556,3,12.63,12.38888889,6,19.66,18.63888889,12,N,-1,20,5.0
M_ID_3c747d94aa,3284,781,7,-0.05747065,-0.05747065,N,E,E,1385.3,1690.0,3,1765.57,2113.16666667,6,2073.75,2326.88888889,9,N,230,9,1.0
M_ID_bb9d376b57,24672,557,29,-0.05747065,-0.05747065,N,E,E,0.83,1.33333333,3,7.11,13.83333333,6,9.19,17.0,7,N,314,9,1.0
M_ID_855c6abd07,55047,273,20,-0.05747065,-0.05747065,N,E,E,2.59,1.2,3,2.09,1.2,6,2.59,1.4,12,N,151,9,1.0
M_ID_dcbe85151d,28996,80,37,-0.05747065,-0.05747065,N,E,E,28.31,19.53333333,3,45.56,30.56,5,45.56,30.56,5,Y,53,20,5.0
M_ID_8806504adb,8771,80,37,-0.05747065,-0.05747065,N,E,E,104.03,242.0,3,157.86,358.83333333,6,162.67,376.66666667,12,Y,25,7,3.0
M_ID_3437c3b76b,8033,412,18,-0.05747065,-0.05747065,N,E,E,8.99,7.33333333,3,8.74,7.33333333,6,6.75,5.75,12,N,-1,19,3.0
M_ID_9a035bee57,17746,560,34,-0.05747065,-0.05747065,N,E,E,0.88,0.94444444,3,1.71,1.47222222,6,35.08,29.26388889,12,Y,69,9,1.0
M_ID_c9ae7469f5,2464,836,5,-0.05747065,-0.05747065,N,E,E,10.75,6.4,3,16.2,9.0,6,21.48,10.86666667,12,N,253,15,1.0
M_ID_f9c57fa126,40835,278,37,-0.05747065,-0.05747065,N,E,E,118.22,253.66666667,3,212.12,443.33333333,6,215.42,438.5,12,N,-1,9,1.0
M_ID_94cb19f35a,10550,842,37,-0.05747065,-0.05747065,N,E,E,34.12,27.66666667,3,54.63,41.66666667,6,66.45,49.81818182,11,Y,88,16,1.0
M_ID_5da0eafdf5,58591,248,8,-0.05747065,-0.05747065,Y,E,E,0.48,0.5,3,0.45,0.375,6,0.45,0.375,6,Y,-1,-1,
M_ID_d6b0552a98,29434,560,34,-0.05747065,-0.05747065,N,E,E,6.27,8.25,3,13.94,15.70833333,6,25.85,24.16666667,12,N,119,21,5.0
M_ID_cd5cdbbcce,755,703,29,-0.05747065,-0.05747065,N,E,E,0.69,0.75,3,82.64,43.91666667,6,123.21,68.89583333,12,N,340,9,1.0
M_ID_c199fb37a3,26835,309,21,-0.05747065,-0.05747065,N,E,E,1.16,1.33333333,3,2.68,2.0,6,3.39,2.25,12,N,-1,12,1.0
M_ID_a503062f65,3789,497,27,-0.05747065,-0.05747065,N,E,E,1.62,2.33333333,3,2.04,3.0,4,2.04,3.0,4,Y,53,20,5.0
M_ID_7a805f8720,2379,166,29,-0.05747065,-0.05747065,N,E,E,9.23,6.33333333,3,30.5,17.77777778,6,70.58,32.97222222,12,Y,160,21,5.0
M_ID_6b427e4d06,635,703,29,-0.05747065,-0.05747065,N,E,E,1.51,1.11111111,3,5.38,3.27777778,6,46.94,20.33333333,12,N,90,15,1.0
M_ID_cf6cb8fa7a,4813,705,33,-0.04755575,-0.05747065,N,E,E,3.47,4.5,3,1740.73,1546.33333333,6,2061.2,1839.14285714,7,N,157,13,4.0
M_ID_36af4db1d0,42943,823,25,-0.05747065,-0.05747065,N,E,E,20.83,19.66666667,3,23.66,26.66666667,6,28.69,33.5,12,N,-1,21,5.0
M_ID_0ba2435c41,84058,480,24,-0.05747065,-0.05747065,N,E,E,14.09,4.83333333,3,28.91,20.41666667,6,36.58,33.08333333,12,Y,143,5,5.0
M_ID_db61ae00d1,8217,68,27,-0.05747065,-0.05747065,N,E,E,65.83,42.0,3,61.59,45.41666667,6,86.0,60.66666667,12,N,-1,9,1.0
M_ID_bd58ddf549,7144,68,27,-0.05747065,-0.05747065,N,E,E,2.37,2.66666667,3,2.68,2.33333333,6,4.94,5.5,12,N,-1,20,5.0
M_ID_15f534b4ff,21306,80,37,-0.05747065,-0.05747065,N,E,E,6.58,5.11111111,3,7.18,5.33333333,6,7.84,5.72222222,12,N,300,15,1.0
M_ID_072eec67b5,13733,842,37,-0.05747065,-0.05747065,N,E,E,12.61,11.11111111,3,18.88,28.61111111,6,28.14,48.66666667,12,N,-1,20,5.0
M_ID_d3ffb36c52,34429,560,34,-0.05747065,-0.05747065,N,E,E,25.96,3.33333333,3,17.19,3.16666667,6,23.45,4.41666667,12,Y,30,17,3.0
M_ID_a4f0be18e8,8245,68,27,-0.05747065,-0.05747065,N,E,E,6.42,2.0,3,6.83,2.16666667,6,7.01,2.45833333,12,N,-1,13,4.0
M_ID_3d10acdd34,780,278,37,-0.05747065,-0.05747065,N,E,E,12.64,10.41666667,3,17.93,13.04166667,6,20.79,14.83333333,12,Y,17,22,4.0
M_ID_e783a0ce87,45409,705,33,-0.04755575,-0.05747065,N,E,E,184.78,182.33333333,3,833.64,636.16666667,6,1716.85,1100.94444444,12,N,6,9,1.0
M_ID_d95a69d39f,11946,307,19,-0.05747065,-0.05747065,N,E,E,34.11,25.5,3,223.85,237.83333333,6,748.13,858.66666667,12,N,260,5,5.0
M_ID_8bc4a5ee22,30088,307,19,-0.05747065,-0.05747065,N,E,E,3.08,1.66666667,3,128.22,56.66666667,6,316.49,146.58333333,12,N,242,9,1.0
M_ID_5b8be7edc4,12994,369,27,-0.05747065,-0.05747065,N,E,E,15.1,7.16666667,3,12.47,5.58333333,6,8.05,3.625,12,Y,17,22,4.0
M_ID_44d08edca9,20006,108,34,-0.05747065,-0.05747065,N,E,E,39.98,21.83333333,3,48.92,26.97222222,6,61.64,32.04166667,12,Y,212,4,4.0
M_ID_dde55e870e,18015,178,29,-0.05747065,-0.05747065,N,E,E,0.67,0.76190476,3,0.56,0.5952381,6,0.64,0.61904762,12,Y,69,9,1.0
M_ID_60b7c5d9fd,84242,420,31,-0.05747065,-0.05747065,N,E,E,42.54,59.83333333,3,56.82,90.91666667,6,64.38,107.0,8,Y,212,4,4.0
M_ID_32938a2208,19666,278,37,-0.05747065,-0.05747065,N,E,E,4.06,4.33333333,3,111.13,120.66666667,6,169.46,181.25,12,Y,160,21,5.0
M_ID_22a60c13a6,39408,560,34,-0.05747065,-0.05747065,N,E,E,14.88,32.11111111,3,81.23,172.72222222,6,134.1,294.36111111,12,Y,25,7,3.0
M_ID_2bef52e2e2,27182,278,37,-0.05747065,-0.05747065,N,E,E,1.43,1.6,3,32.73,38.4,6,50.25,55.91666667,12,N,14,20,5.0
M_ID_130624bdfe,32904,80,37,-0.05747065,-0.05747065,N,E,E,4.8,5.4,3,8.33,7.76666667,6,8.33,7.76666667,6,Y,212,4,4.0
M_ID_4f5a4a58fb,36437,419,1,-0.05747065,-0.05747065,N,E,E,8.83,2.0,3,16.01,6.9,6,21.16,9.86666667,12,N,-1,9,1.0
M_ID_bb2be136eb,6027,818,12,-0.05747065,-0.05747065,N,E,E,5.62,3.66666667,3,14.4,8.83333333,6,20.45,13.125,12,N,-1,4,4.0
M_ID_4eb73d6263,47428,884,27,-0.05747065,-0.05747065,N,E,E,4.16,3.5,3,5.42,5.25,6,8.01,6.875,12,N,-1,21,5.0
M_ID_92fdf88be6,5428,884,27,-0.05747065,-0.05747065,N,E,E,14.76,8.08333333,3,19.07,9.33333333,6,19.07,9.33333333,6,N,131,9,1.0
M_ID_ca68016ec6,19894,454,39,-0.05747065,-0.05747065,N,E,E,8.71,40.0,3,18.43,83.16666667,6,23.66,101.41666667,12,N,226,16,1.0
M_ID_c470fbcfb9,35,574,22,-0.04755575,-0.04755575,Y,E,E,1.06,0.91666667,3,1.06,0.91666667,6,1.03,0.88888889,9,Y,-1,-1,
M_ID_6ea897adb9,6765,278,37,-0.05747065,-0.05747065,N,E,E,1.07,1.58333333,3,3.08,4.16666667,6,12.07,15.375,12,N,-1,9,1.0
M_ID_3b25d8478e,46003,332,2,-0.05747065,-0.05747065,N,E,E,8.21,5.5,3,10.0,6.33333333,6,10.77,5.54166667,12,N,-1,1,3.0
M_ID_3f483ad439,38128,68,27,-0.05747065,-0.05747065,N,E,E,2.58,6.0,3,2.08,5.16666667,6,3.53,6.58333333,12,N,-1,2,3.0
M_ID_daff7db25e,46224,373,18,-0.05747065,-0.05747065,N,E,E,5.83,2.66666667,3,7.16,3.16666667,6,8.33,3.41666667,12,N,297,9,1.0
M_ID_ec7e187ee3,35,573,25,-0.04755575,-0.04755575,N,E,E,1.47,1.41666667,3,1.33,1.20833333,6,1.76,1.35,12,N,340,9,1.0
M_ID_49a6e7a475,9618,705,33,-0.05747065,-0.05747065,N,E,E,0.94,0.82222222,3,1.11,0.84444444,6,1.01,0.75,12,Y,69,9,1.0
M_ID_795d2a5758,45797,108,34,-0.05747065,-0.05747065,N,E,E,1.23,1.03333333,3,6.45,5.65,6,7.35,6.625,12,Y,137,19,3.0
M_ID_0fe4524275,24835,884,27,-0.05747065,-0.05747065,N,E,E,30.58,24.33333333,3,32.5,27.33333333,4,32.5,27.33333333,4,N,288,20,5.0
M_ID_13b41b25db,46174,80,37,-0.05747065,-0.05747065,N,E,E,9.18,11.66666667,3,6.51,8.29166667,6,16.26,20.8125,12,N,56,20,5.0
M_ID_95d91fcffb,5058,836,5,-0.04755575,-0.04755575,N,E,E,8.92,3.83333333,3,27.25,4.5,6,26.61,4.20833333,12,N,157,13,4.0
M_ID_a1159cd163,51022,705,33,-0.05747065,-0.05747065,N,E,E,4.81,4.41666667,3,10.9,8.5625,6,15.61,11.69791667,12,N,206,23,2.0
M_ID_7881d17d68,13316,87,27,-0.05747065,-0.05747065,N,E,E,1.55,1.33333333,3,2.81,1.7,6,3.85,2.21666667,12,N,-1,1,3.0
M_ID_9d1ea617de,35615,40,21,-0.05747065,-0.05747065,N,E,E,0.63,1.0,3,1.2,1.20833333,6,3.19,2.89583333,12,Y,158,15,1.0
M_ID_48d6a4a461,4190,278,37,-0.05747065,-0.05747065,N,E,E,7.33,5.05555556,2,7.33,5.05555556,2,7.33,5.05555556,2,N,-1,21,5.0
M_ID_f9cb8adb2a,839,307,19,-0.05747065,-0.05747065,N,E,E,23.71,43.0,3,50.94,95.66666667,6,56.58,106.14285714,7,N,145,5,5.0
M_ID_6da2e3e32d,35,105,7,-0.05747065,-0.05747065,N,E,E,4.44,3.0,3,3.45,2.5,6,2.58,1.83333333,12,N,226,16,1.0
M_ID_7e92604e22,3101,367,16,-0.05747065,-0.05747065,N,E,E,1.84,1.14814815,3,1.68,1.12962963,6,1.24,0.97222222,12,N,-1,1,3.0
M_ID_92a0ec6f9f,24214,34,38,-0.05747065,-0.05747065,N,E,E,7.24,6.66666667,3,13.9,13.0,6,18.96,18.41666667,12,Y,212,4,4.0
M_ID_e34e5b711e,37328,278,37,-0.05747065,-0.05747065,N,E,E,118.0,106.5,3,131.46,118.41666667,6,137.61,122.6875,12,N,-1,9,1.0
M_ID_45c7cd18ee,88788,529,20,-0.05747065,-0.05747065,N,E,E,0.77,1.0,3,11.66,10.97619048,6,28.92,25.96428571,12,Y,69,9,1.0
M_ID_8fcc0fbf01,34451,360,34,-0.05747065,-0.05747065,N,E,E,1.9,1.57142857,3,5.93,4.30952381,6,7.08,5.25,12,Y,69,9,1.0
M_ID_80d29d10f6,2368,216,7,-0.05747065,-0.05747065,N,E,E,64.54,71.66666667,3,93.41,107.0,6,109.0,132.64583333,12,Y,277,13,4.0
M_ID_b1c9d90131,9517,518,27,-0.05747065,-0.05747065,N,E,E,2.33,1.33333333,3,2.25,1.94444444,6,1.98,1.75,12,N,41,20,5.0
M_ID_b8484ca405,34043,422,27,-0.05747065,-0.05747065,N,E,E,1.92,3.66666667,3,3.18,6.0,6,3.6,6.58333333,12,N,47,16,1.0
M_ID_b10d5ebce8,5609,34,38,-0.05747065,-0.05747065,N,E,E,4.59,2.5,3,15.67,5.41666667,6,17.23,7.3,10,N,174,9,1.0
M_ID_b427c3d35d,8671,363,18,-0.05747065,-0.05747065,N,E,E,15.11,4.0,3,19.59,5.66666667,6,29.31,7.91666667,12,N,233,9,1.0
M_ID_7991592c8e,21085,884,27,-0.05747065,-0.05747065,N,E,E,1.01,1.5,3,6.18,4.33333333,6,6.33,4.33333333,12,Y,143,5,5.0
M_ID_0dcf9facdd,28801,307,19,-0.05747065,-0.05747065,N,E,E,0.74,1.33333333,3,31.55,88.5,6,43.4,129.66666667,12,N,-1,12,1.0
M_ID_9831a5d148,20590,437,15,-0.05747065,-0.05747065,Y,E,E,39.19,23.33333333,3,54.14,37.83333333,6,52.98,41.33333333,12,Y,-1,-1,
M_ID_508ecbdcde,35,650,29,-0.05747065,-0.05747065,N,E,E,45.61,173.66666667,3,71.74,261.16666667,6,74.14,299.08333333,12,Y,158,15,1.0
M_ID_e5956745bf,2066,560,34,-0.05747065,-0.05747065,N,E,E,2.54,1.91666667,3,5.39,4.02083333,6,20.57,14.47916667,12,N,333,9,1.0
M_ID_0d5b7f6f74,19967,373,18,-0.05747065,-0.05747065,N,E,E,2.84,2.0,3,3.87,2.5,6,5.44,3.125,12,Y,137,19,3.0
M_ID_8861ee63fc,13238,637,37,-0.05747065,-0.05747065,N,E,E,0.91,1.375,3,0.69,1.02083333,6,0.65,0.85227273,11,N,-1,16,1.0
M_ID_9b3a59d5ae,6670,278,37,-0.05747065,-0.05747065,N,E,E,0.64,0.61111111,3,1.26,1.33333333,6,6.94,7.43055556,12,Y,30,17,3.0
M_ID_438ad95a59,24232,427,27,-0.05747065,-0.05747065,N,E,E,1.04,1.55555556,3,1.87,3.0,6,10.91,19.41666667,12,N,326,15,1.0
M_ID_0057d39ec0,15444,19,36,-0.05747065,-0.05747065,N,E,E,1.43,1.41666667,3,1.21,1.15,5,1.21,1.15,5,N,285,9,1.0
M_ID_4c6c11efcb,57254,19,36,-0.05747065,-0.05747065,N,E,E,0.93,0.81481481,3,0.95,0.85185185,6,0.74,0.74074074,12,N,-1,15,1.0
M_ID_f0cf6c5c29,12968,561,7,-0.05747065,-0.05747065,N,E,E,0.83,1.0,3,1.0,1.22222222,6,1.18,1.22222222,12,Y,1,12,1.0
M_ID_d5b5fe1389,38955,560,34,-0.05747065,-0.05747065,N,E,E,3.0,2.02564103,3,3.94,2.42307692,6,42.34,25.62179487,12,Y,17,22,4.0
M_ID_38e4a93e5f,31083,703,29,-0.05747065,-0.05747065,N,E,E,1.0,0.58333333,3,0.68,0.41666667,6,1.23,0.58333333,12,N,6,9,1.0
M_ID_f2f240b7d3,6859,307,19,-0.05747065,-0.05747065,N,E,E,53.34,29.56410256,3,82.97,43.97435897,6,79.65,43.67307692,12,N,156,7,3.0
M_ID_d5a67ab98f,1443,108,34,-0.05747065,-0.05747065,N,E,E,1.17,1.33333333,3,1.44,1.45238095,6,1.33,1.38571429,10,N,-1,9,1.0
M_ID_16ecfd4c8b,30656,506,30,-0.04755575,-0.05747065,N,E,E,4.82,5.0,3,3.85,4.83333333,6,13.67,15.87121212,12,N,142,19,3.0
M_ID_6299883a51,46715,705,33,-0.05747065,-0.05747065,N,E,E,1.9,2.25,3,3.46,4.79166667,6,4.23,5.92708333,12,N,-1,15,1.0
M_ID_6e64bf2153,17597,111,36,-0.05747065,-0.05747065,N,E,E,4.14,3.66666667,3,12.68,6.25,6,6.87,4.0,12,Y,137,19,3.0
M_ID_d5e466415d,10591,651,2,-0.05747065,-0.05747065,N,E,E,3.66,0.83333333,3,4.49,1.16666667,6,2.74,1.04166667,12,Y,137,19,3.0
M_ID_8006c80beb,1097,884,27,-0.05747065,-0.05747065,N,E,E,9.92,11.16666667,3,14.62,16.16666667,6,14.98,17.66666667,12,N,86,7,3.0
M_ID_503ec2380f,95451,278,37,-0.05747065,-0.05747065,N,E,E,2.99,2.22222222,3,3.11,2.33333333,6,6.48,3.97222222,12,Y,69,9,1.0
M_ID_ea446e49c1,4229,307,19,-0.05747065,-0.05747065,N,E,E,5.99,3.51515152,3,22.38,12.65151515,6,23.29,14.53787879,12,N,274,9,1.0
M_ID_66244eaad9,3093,195,34,-0.05747065,-0.05747065,N,E,E,1.35,1.13333333,3,1.3,1.03333333,6,1.46,1.09,12,Y,17,22,4.0
M_ID_fd3070d337,45520,68,27,-0.05747065,-0.05747065,N,E,E,1.91,1.91666667,3,7.81,4.79166667,6,9.24,5.16666667,12,N,-1,16,1.0
M_ID_7c6c70a3a8,29631,705,33,-0.05747065,-0.05747065,N,E,E,0.81,0.60606061,3,0.9,0.5,6,0.94,0.54545455,12,N,347,20,5.0
M_ID_c059598694,32972,834,27,-0.05747065,-0.05747065,N,E,E,0.99,0.94444444,3,0.67,0.77777778,6,0.94,1.08333333,12,N,-1,16,1.0
M_ID_f81df4df39,29420,651,2,-0.05747065,-0.05747065,N,E,E,2.28,1.83333333,3,2.65,2.08333333,6,2.57,1.91666667,12,N,-1,19,3.0
M_ID_10003ef0eb,16735,419,1,-0.05747065,-0.05747065,N,E,E,1.47,1.38888889,3,2.39,2.19444444,6,3.16,2.65277778,12,N,-1,19,3.0
M_ID_3edee605c4,77896,683,34,-0.05747065,-0.05747065,N,E,E,16.14,13.22222222,3,19.31,14.52777778,6,18.51,14.77777778,9,N,245,14,4.0
M_ID_70b6af7767,51269,422,27,-0.05747065,-0.05747065,N,E,E,2.18,2.25,3,3.51,3.0,6,4.7,3.58333333,12,N,82,23,2.0
M_ID_62094b4e1a,1515,34,38,-0.05747065,-0.05747065,N,E,E,2.19,0.88888889,3,1.72,0.64814815,6,2.53,0.75,12,N,66,19,3.0
M_ID_bf8dae5d47,23609,557,29,-0.05747065,-0.05747065,N,E,E,2.43,1.77777778,3,2.52,1.88888889,6,3.04,2.15972222,12,N,62,9,1.0
M_ID_bccebaafd3,32535,884,27,-0.05747065,-0.05747065,N,E,E,3.96,2.77777778,3,6.51,6.33333333,6,4.89,4.41666667,12,N,-1,21,5.0
M_ID_d9001322c4,28509,884,27,-0.05747065,-0.05747065,N,E,E,0.6,0.5,3,0.89,0.69444444,6,0.63,0.55555556,12,N,-1,15,1.0
M_ID_4422195906,100848,683,34,-0.05747065,-0.05747065,N,E,E,0.99,0.82905983,3,23.43,5.05128205,6,40.22,8.78917379,9,Y,69,9,1.0
M_ID_3083d94056,9505,690,1,-0.05747065,-0.05747065,N,E,E,15.09,5.9047619,3,16.05,6.64285714,6,13.29,5.20238095,12,N,-1,20,5.0
M_ID_9b488e55de,35,504,25,-0.05747065,-0.05747065,N,E,E,7.56,4.08333333,3,32.35,22.77083333,6,58.12,41.29166667,12,N,159,9,1.0
M_ID_c41abfed77,53599,80,37,-0.05747065,-0.05747065,N,E,E,2.51,3.14814815,3,2.59,3.51851852,6,2.0,2.90740741,12,N,105,9,1.0
M_ID_2ae742912b,2230,278,37,-0.05747065,-0.05747065,N,E,E,7.92,6.59259259,3,14.65,10.96296296,6,15.39,11.30864198,9,N,66,19,3.0
M_ID_49ebed81bd,89141,80,37,-0.05747065,-0.05747065,N,E,E,5.66,6.06060606,3,6.77,7.13636364,6,7.09,7.03787879,12,N,-1,9,1.0
M_ID_bf97db57f4,69118,278,37,-0.05747065,-0.05747065,N,E,E,4.1,4.4,3,10.91,15.9,6,18.9,31.36666667,12,N,238,9,1.0
